"effect_sizes","power","omega2","runtime"
0.01,62,0,14.7051906297604
0.02,58,0,14.7051906297604
0.03,86,0,14.7051906297604
0.04,85,0,14.7051906297604
0.05,105,0,14.7051906297604
0.06,108,0,14.7051906297604
0.07,116,0,14.7051906297604
0.08,146,0,14.7051906297604
0.09,137,0,14.7051906297604
0.1,172,0,14.7051906297604
0.11,214,0,14.7051906297604
0.12,247,0,14.7051906297604
0.13,303,0,14.7051906297604
0.14,346,0,14.7051906297604
0.15,385,0.000117895548592741,14.7051906297604
0.16,464,0.00297422126036075,14.7051906297604
0.17,518,0.00599694806732393,14.7051906297604
0.18,626,0.00918290649827162,14.7051906297604
0.19,688,0.012528787650043,14.7051906297604
0.2,775,0.016031151425077,14.7051906297604
0.21,875,0.0196864349643558,14.7051906297604
0.22,966,0.0234909612392075,14.7051906297604
0.23,1046,0.0274409477656322,14.7051906297604
0.24,1262,0.031532515405244,14.7051906297604
0.25,1392,0.0357616972175621,14.7051906297604
0.26,1452,0.0401244473292318,14.7051906297604
0.27,1600,0.0446166497867902,14.7051906297604
0.28,1815,0.0492341273608003,14.7051906297604
0.29,1995,0.0539726502705387,14.7051906297604
0.3,2199,0.0588279447999252,14.7051906297604
0.31,2349,0.0637957017770065,14.7051906297604
0.32,2538,0.068871584891028,14.7051906297604
0.33,2826,0.0740512388229417,14.7051906297604
0.34,3007,0.0793302971670686,14.7051906297604
0.35,3273,0.0847043901235631,14.7051906297604
0.36,3520,0.0901691519432794,14.7051906297604
0.37,3667,0.0957202281086114,14.7051906297604
0.38,4040,0.101353282235849,14.7051906297604
0.39,4243,0.107064002686547,14.7051906297604
0.4,4530,0.112848108877333,14.7051906297604
0.41,4739,0.118701357279459,14.7051906297604
0.42,4991,0.124619547101246,14.7051906297604
0.43,5299,0.130598525648328,14.7051906297604
0.44,5529,0.136634193358319,14.7051906297604
0.45,5747,0.142722508508116,14.7051906297604
0.46,6092,0.148859491593641,14.7051906297604
0.47,6282,0.155041229383196,14.7051906297604
0.48,6467,0.161263878647031,14.7051906297604
0.49,6726,0.167523669566919,14.7051906297604
0.5,6988,0.173816908830723,14.7051906297604
0.51,7218,0.180139982417977,14.7051906297604
0.52,7436,0.186489358083449,14.7051906297604
0.53,7674,0.192861587546539,14.7051906297604
0.54,7802,0.199253308395076,14.7051906297604
0.55,8008,0.205661245712778,14.7051906297604
0.56,8208,0.212082213440177,14.7051906297604
0.57,8376,0.218513115479314,14.7051906297604
0.58,8511,0.224950946552865,14.7051906297604
0.59,8609,0.231392792828705,14.7051906297604
0.6,8791,0.237835832321135,14.7051906297604
0.61,8845,0.24427733508013,14.7051906297604
0.62,9055,0.250714663180112,14.7051906297604
0.63,9115,0.257145270519717,14.7051906297604
