"word","valence_condition","set","run","seed"
"boring","negative",1,1,82
"mean","negative",1,1,82
"stupid","negative",1,1,82
"bitter","negative",1,1,82
"angry","negative",1,1,82
"lonely","negative",1,1,82
"troubled","negative",1,1,82
"inadequate","negative",1,1,82
"ugly","negative",1,1,82
"detached","negative",1,1,82
"helpless","negative",1,1,82
"selfish","negative",1,1,82
"inconsistent","negative",1,1,82
"unwise","negative",1,1,82
"careless","negative",1,1,82
"unjust","negative",1,1,82
"unreliable","negative",1,1,82
"ruthless","negative",1,1,82
"sour","negative",1,1,82
"untidy","negative",1,1,82
"moody","negative",1,1,82
"envious","negative",1,1,82
"unhealthy","negative",1,1,82
"unfriendly","negative",1,1,82
"morbid","negative",1,1,82
"abusive","negative",1,1,82
"unruly","negative",1,1,82
"impractical","negative",1,1,82
"lifeless","negative",1,1,82
"dreary","negative",1,1,82
"friendly","positive",1,1,82
"positive","positive",1,1,82
"happy","positive",1,1,82
"capable","positive",1,1,82
"secure","positive",1,1,82
"social","positive",1,1,82
"experienced","positive",1,1,82
"proud","positive",1,1,82
"sweet","positive",1,1,82
"efficient","positive",1,1,82
"satisfied","positive",1,1,82
"honest","positive",1,1,82
"productive","positive",1,1,82
"ambitious","positive",1,1,82
"clever","positive",1,1,82
"reliable","positive",1,1,82
"accurate","positive",1,1,82
"engaged","positive",1,1,82
"organized","positive",1,1,82
"precious","positive",1,1,82
"devoted","positive",1,1,82
"imaginative","positive",1,1,82
"versatile","positive",1,1,82
"humble","positive",1,1,82
"terrific","positive",1,1,82
"amusing","positive",1,1,82
"hopeful","positive",1,1,82
"orderly","positive",1,1,82
"entertaining","positive",1,1,82
"decisive","positive",1,1,82
"shallow","negative",1,2,82
"wicked","negative",1,2,82
"rejected","negative",1,2,82
"vicious","negative",1,2,82
"depressed","negative",1,2,82
"harsh","negative",1,2,82
"hostile","negative",1,2,82
"disturbed","negative",1,2,82
"sad","negative",1,2,82
"foul","negative",1,2,82
"annoying","negative",1,2,82
"incompetent","negative",1,2,82
"reckless","negative",1,2,82
"lazy","negative",1,2,82
"irresponsible","negative",1,2,82
"hopeless","negative",1,2,82
"dishonest","negative",1,2,82
"irritating","negative",1,2,82
"unskilled","negative",1,2,82
"pessimistic","negative",1,2,82
"self-conscious","negative",1,2,82
"anguished","negative",1,2,82
"resentful","negative",1,2,82
"sloppy","negative",1,2,82
"ungrateful","negative",1,2,82
"heartless","negative",1,2,82
"abusing","negative",1,2,82
"deceptive","negative",1,2,82
"unfaithful","negative",1,2,82
"possessive","negative",1,2,82
"fun","positive",1,2,82
"interesting","positive",1,2,82
"lucky","positive",1,2,82
"loved","positive",1,2,82
"active","positive",1,2,82
"confident","positive",1,2,82
"perfect","positive",1,2,82
"warm","positive",1,2,82
"useful","positive",1,2,82
"creative","positive",1,2,82
"brave","positive",1,2,82
"pleasant","positive",1,2,82
"peaceful","positive",1,2,82
"smart","positive",1,2,82
"curious","positive",1,2,82
"handsome","positive",1,2,82
"grateful","positive",1,2,82
"flexible","positive",1,2,82
"sensible","positive",1,2,82
"thorough","positive",1,2,82
"competent","positive",1,2,82
"talented","positive",1,2,82
"polite","positive",1,2,82
"expressive","positive",1,2,82
"optimistic","positive",1,2,82
"mighty","positive",1,2,82
"charitable","positive",1,2,82
"cooperative","positive",1,2,82
"fashionable","positive",1,2,82
"ethical","positive",1,2,82
"bad","negative",2,3,82
"cold","negative",2,3,82
"terrible","negative",2,3,82
"withdrawn","negative",2,3,82
"cruel","negative",2,3,82
"useless","negative",2,3,82
"unpleasant","negative",2,3,82
"rude","negative",2,3,82
"rotten","negative",2,3,82
"cynical","negative",2,3,82
"bland","negative",2,3,82
"tortured","negative",2,3,82
"irrational","negative",2,3,82
"volatile","negative",2,3,82
"insane","negative",2,3,82
"vain","negative",2,3,82
"negligent","negative",2,3,82
"irritable","negative",2,3,82
"insensitive","negative",2,3,82
"smug","negative",2,3,82
"unkind","negative",2,3,82
"sluggish","negative",2,3,82
"tiresome","negative",2,3,82
"unproductive","negative",2,3,82
"sinful","negative",2,3,82
