"word","valence_condition","set","run","seed"
"shallow","negative",1,1,28
"vicious","negative",1,1,28
"depressed","negative",1,1,28
"harsh","negative",1,1,28
"bitter","negative",1,1,28
"angry","negative",1,1,28
"lonely","negative",1,1,28
"sad","negative",1,1,28
"ugly","negative",1,1,28
"foul","negative",1,1,28
"inconsistent","negative",1,1,28
"lazy","negative",1,1,28
"careless","negative",1,1,28
"irresponsible","negative",1,1,28
"hopeless","negative",1,1,28
"dishonest","negative",1,1,28
"irritating","negative",1,1,28
"unskilled","negative",1,1,28
"ruthless","negative",1,1,28
"pessimistic","negative",1,1,28
"sour","negative",1,1,28
"anguished","negative",1,1,28
"resentful","negative",1,1,28
"ungrateful","negative",1,1,28
"heartless","negative",1,1,28
"unfriendly","negative",1,1,28
"morbid","negative",1,1,28
"unfaithful","negative",1,1,28
"impractical","negative",1,1,28
"dreary","negative",1,1,28
"happy","positive",1,1,28
"experienced","positive",1,1,28
"proud","positive",1,1,28
"sweet","positive",1,1,28
"lucky","positive",1,1,28
"loved","positive",1,1,28
"active","positive",1,1,28
"confident","positive",1,1,28
"warm","positive",1,1,28
"efficient","positive",1,1,28
"honest","positive",1,1,28
"brave","positive",1,1,28
"ambitious","positive",1,1,28
"clever","positive",1,1,28
"pleasant","positive",1,1,28
"peaceful","positive",1,1,28
"smart","positive",1,1,28
"precious","positive",1,1,28
"devoted","positive",1,1,28
"flexible","positive",1,1,28
"thorough","positive",1,1,28
"imaginative","positive",1,1,28
"competent","positive",1,1,28
"talented","positive",1,1,28
"versatile","positive",1,1,28
"mighty","positive",1,1,28
"charitable","positive",1,1,28
"cooperative","positive",1,1,28
"ethical","positive",1,1,28
"entertaining","positive",1,1,28
"boring","negative",1,2,28
"wicked","negative",1,2,28
"mean","negative",1,2,28
"stupid","negative",1,2,28
"rejected","negative",1,2,28
"hostile","negative",1,2,28
"disturbed","negative",1,2,28
"troubled","negative",1,2,28
"inadequate","negative",1,2,28
"detached","negative",1,2,28
"annoying","negative",1,2,28
"helpless","negative",1,2,28
"selfish","negative",1,2,28
