"word","valence_condition","set","run","seed"
"bad","negative",2,1,35
"terrible","negative",2,1,35
"awful","negative",2,1,35
"controlling","negative",2,1,35
"dull","negative",2,1,35
"nasty","negative",2,1,35
"withdrawn","negative",2,1,35
"dreadful","negative",2,1,35
"unpleasant","negative",2,1,35
"rude","negative",2,1,35
"ignorant","negative",2,1,35
"fearful","negative",2,1,35
"bland","negative",2,1,35
"corrupt","negative",2,1,35
"inefficient","negative",2,1,35
"tortured","negative",2,1,35
"irrational","negative",2,1,35
"greedy","negative",2,1,35
"immature","negative",2,1,35
"flawed","negative",2,1,35
"vain","negative",2,1,35
"negligent","negative",2,1,35
"malicious","negative",2,1,35
"unkind","negative",2,1,35
"sluggish","negative",2,1,35
"tiresome","negative",2,1,35
"unproductive","negative",2,1,35
"antagonistic","negative",2,1,35
"cowardly","negative",2,1,35
"intolerant","negative",2,1,35
"able","positive",2,1,35
"strong","positive",2,1,35
"fair","positive",2,1,35
"beautiful","positive",2,1,35
"pretty","positive",2,1,35
"reasonable","positive",2,1,35
"healthy","positive",2,1,35
"helpful","positive",2,1,35
"outstanding","positive",2,1,35
"calm","positive",2,1,35
"gentle","positive",2,1,35
"sophisticated","positive",2,1,35
"generous","positive",2,1,35
"wise","positive",2,1,35
"romantic","positive",2,1,35
"intelligent","positive",2,1,35
"elegant","positive",2,1,35
"tender","positive",2,1,35
"lively","positive",2,1,35
"enthusiastic","positive",2,1,35
"charming","positive",2,1,35
"glorious","positive",2,1,35
"innovative","positive",2,1,35
"jolly","positive",2,1,35
"daring","positive",2,1,35
"energetic","positive",2,1,35
"merry","positive",2,1,35
"triumphant","positive",2,1,35
"sincere","positive",2,1,35
"admirable","positive",2,1,35
"cold","negative",2,2,35
"guilty","negative",2,2,35
"weak","negative",2,2,35
"evil","negative",2,2,35
"violent","negative",2,2,35
"unhappy","negative",2,2,35
"offensive","negative",2,2,35
"cruel","negative",2,2,35
"useless","negative",2,2,35
"toxic","negative",2,2,35
"petty","negative",2,2,35
"rotten","negative",2,2,35
"cynical","negative",2,2,35
"gloomy","negative",2,2,35
"arrogant","negative",2,2,35
"volatile","negative",2,2,35
"discouraged","negative",2,2,35
"insane","negative",2,2,35
"irritable","negative",2,2,35
"insensitive","negative",2,2,35
"immoral","negative",2,2,35
"wasteful","negative",2,2,35
"smug","negative",2,2,35
