"word","freq_BNC","valence","researcher_remove"
"mean",440.48951,2.06,""
"behind",236.713287,1.97,""
"bad",154.475524,1.73,""
"dark",134.755245,2.17,""
"dead",124.815185,1.39,""
"cold",122.077922,1.81,""
"caught",86.843157,2.03,""
"worse",72.297702,1.94,""
"bloody",72.247752,1.79,""
"broken",71.568432,1.2,""
"shut",50.999001,2.04,""
"terrible",46.713287,1.98,""
"fat",46.033966,2.24,""
"hurt",45.764236,2.03,""
"sick",45.154845,1.93,""
"guilty",42.287712,1.69,""
"angry",42.217782,1.85,""
"rejected",39.78022,1.58,""
"weak",35.674326,2.09,""
"sad",34.355644,1.78,""
"stupid",32.897103,2.08,""
"upset",32.207792,2.12,""
"blind",31.318681,2.13,""
"awful",30.40959,1.37,""
"smoking",29.350649,2.16,""
"evil",28.781219,1.19,""
"stolen",28.521479,1.54,""
"dirty",27.892108,1.3,""
"violent",27.822178,1.8,""
"crash",25.044955,1.72,""
"bitter",25.044955,2.03,""
"illegal",24.455544,1.78,""
"inadequate",23.166833,1.77,""
"grave",21.718282,2.02,""
"controlling",19.55045,1.81,""
"unfair",19.310689,2.09,""
"unhappy",19.100899,1.89,""
"dull",18.221778,2.22,""
"nasty",17.942058,1.46,""
"lonely",17.512488,2.12,""
"boring",17.162837,2.07,""
"withdrawn",16.813187,1.92,""
"disturbed",16.633367,2.16,""
"hostile",16.423576,1.54,""
"depressed",16.353646,1.56,""
"harsh",15.404595,1.53,""
"offensive",14.735265,1.64,""
"worrying",14.665335,1.98,""
"dreadful",14.455544,1.65,""
"shallow",14.045954,2.23,""
"bastard",14.005994,1.68,""
"cruel",13.866134,1.46,""
"crude",13.686314,2.04,""
"ugly",13.636364,1.64,""
"troubled",13.306693,2.23,""
"useless",13.166833,1.33,""
"criticised",13.076923,2.06,""
"unpleasant",13.046953,1.84,""
"tragic",12.367632,1.79,""
"toxic",12.147852,1.5,""
"terrified",11.218781,1.67,""
"ashamed",10.989011,1.74,""
"wicked",10.949051,1.86,""
"crushed",10.45954,2.15,""
"frustrated",10.44955,2.1,""
"foul",10.3996,1.74,""
"detached",10.15984,1.68,""
"rude",9.84016,1.78,""
