word,valence_condition,let,syl,freq_KF,freq_BNC,freq_TV,freq_PG,freq_BN,noun,adjective,ndim1,ndim2,ndim3,ndim4,ndim5,ndim6,ndim7,adim1,adim2,adim3,adim4,adim5,adim6,adim7,adim8,adim9,adim10,p_hit,p_fa,DP,freq_BNC_strat,valence_strat,arousal_strat,set,iter,valence_abs
cooperative,+,11,5,20,6.063936,2.122285,-99,2.039216,0,1,-99,-99,-99,-99,-99,-99,-99,6.21,2.3,5.86,3.52,6.9,4.71,3.45,6.25,6.22,5.2,-99,-99,-99,2,2,1,1,15,2.21
amusing,+,7,3,14,8.061938,8.181065,-99,9.196078,0,1,-99,-99,-99,-99,-99,-99,-99,6.05,1.57,5.14,3.4,6.83,5,4.77,6.57,6.77,4.57,-99,-99,-99,2,2,1,1,15,2.05
charitable,+,10,4,5,6.963037,2.361897,-99,2.039216,0,1,-99,-99,-99,-99,-99,-99,-99,5.95,2.1,5.69,5.05,6.29,3.79,3.88,5.74,5.95,5.38,-99,-99,-99,2,2,1,1,15,1.95
admired,+,7,2,17,11.438561,3.696883,21.5615,3.666667,0,1,-99,-99,-99,-99,-99,-99,-99,6.56,2.44,5.5,4.51,6.14,5.29,4.45,6.36,6.7,4.58,-99,-99,-99,2,2,1,1,15,2.56
terrific,+,8,3,5,6.623377,39.433418,8.36941,41.921569,0,1,-99,-99,-99,-99,-99,-99,-99,6.14,2.03,4.38,3.99,6.83,6.17,3.65,6.07,6.64,5.05,-99,-99,-99,2,2,1,1,15,2.14
loyal,+,5,2,18,13.526474,15.917135,16.6834,12,0,1,-99,-99,-99,-99,-99,-99,-99,6.38,2.52,5.71,6.19,6.95,4.45,4.82,6.52,6.29,5.4,-99,-99,-99,2,2,2,1,15,2.38
brave,+,5,1,24,18.221778,29.301221,60.085,31.705882,0,1,-99,-99,-99,-99,-99,-99,-99,6.21,3.5,6,4.83,6.61,4.11,4.11,5.68,6.47,4.93,-99,-99,-99,2,2,2,1,15,2.21
elegant,+,7,3,14,18.071928,3.731113,17.4603,6.27451,0,1,-99,-99,-99,-99,-99,-99,-99,5.95,2.48,6.4,4.82,6.53,3.62,3.41,5.66,5.33,4.59,-99,-99,-99,2,2,2,1,15,1.95
ambitious,+,9,3,16,15.394605,3.970726,14.3559,4.764706,0,1,-99,-99,-99,-99,-99,-99,-99,6.09,3.7,5.91,4.54,6.21,4.72,3.94,5.77,6.22,5.05,-99,-99,-99,2,2,2,1,15,2.09
versatile,+,9,3,3,5.304695,-99,-99,0.941176,0,1,-99,-99,-99,-99,-99,-99,-99,5.82,2.71,4.93,3.88,5.39,4.06,2.1,5.28,5.82,5.36,-99,-99,-99,2,2,2,1,15,1.82
expressive,+,10,3,7,5.284715,-99,9.47462,0.45098,0,1,-99,-99,-99,-99,-99,-99,-99,5.54,2.63,5.7,3.26,6.61,4.77,2.59,5.49,5.45,4.35,-99,-99,-99,2,1,1,1,15,1.54
sympathetic,+,11,4,34,15.184815,4.655334,12.988,3.803922,0,1,-99,-99,-99,-99,-99,-99,-99,5.43,2.06,6.18,5.49,7,3.76,4.75,5.66,5.61,4.3,-99,-99,-99,2,1,1,1,15,1.43
optimistic,+,10,4,15,12.337662,4.039187,-99,3.392157,0,1,-99,-99,-99,-99,-99,-99,-99,5.48,1.96,5.59,4.63,6.05,5.48,5.08,6.03,6.06,5.3,-99,-99,-99,2,1,1,1,15,1.48
