participant,session,date,exp_name,frame_rate,absolute_time,trigger_time,trial_type,trial_num,word,response_time,reponse_key,condition,word_valence
1094,1,2023-02-27_09h41.59.554,task-selfref_run-01,59.88902565497579,1677509223.0938861,21.457473999937065,word_presentation,1,generous,,,other,positive
1094,1,2023-02-27_09h41.59.554,task-selfref_run-01,59.88902565497579,1677509223.7670596,22.131012999918312,response,1,generous,0.7218513999832794,3,other,positive
1094,1,2023-02-27_09h41.59.554,task-selfref_run-01,59.88902565497579,1677509227.844337,26.207658399944194,fixation,1,,,,,
1094,1,2023-02-27_09h41.59.554,task-selfref_run-01,59.88902565497579,1677509227.8922944,26.255699299974367,word_presentation,1,adventurous,,,other,positive
1094,1,2023-02-27_09h41.59.554,task-selfref_run-01,59.88902565497579,1677509228.6644897,27.02813759993296,response,1,adventurous,0.8169162999838591,3,other,positive
1094,1,2023-02-27_09h41.59.554,task-selfref_run-01,59.88902565497579,1677509231.484551,29.84777039999608,fixation,1,,,,,
1094,1,2023-02-27_09h41.59.554,task-selfref_run-01,59.88902565497579,1677509231.544564,29.908226499916054,word_presentation,1,resentful,,,other,negative
1094,1,2023-02-27_09h41.59.554,task-selfref_run-01,59.88902565497579,1677509232.2697494,30.633008899982087,response,1,resentful,0.7846755998907611,2,other,negative
1094,1,2023-02-27_09h41.59.554,task-selfref_run-01,59.88902565497579,1677509241.9761596,40.339469099999405,fixation,1,,,,,
1094,1,2023-02-27_09h41.59.554,task-selfref_run-01,59.88902565497579,1677509244.527748,42.89098839997314,fixation,1,,,,,
1094,1,2023-02-27_09h41.59.554,task-selfref_run-01,59.88902565497579,1677509244.5772324,42.94103099999484,word_presentation,1,irritable,,,self,negative
1094,1,2023-02-27_09h41.59.554,task-selfref_run-01,59.88902565497579,1677509245.5604732,43.924044999992475,response,1,irritable,1.0324355999473482,2,self,negative
1094,1,2023-02-27_09h41.59.554,task-selfref_run-01,59.88902565497579,1677509248.4385226,46.801835599937476,fixation,1,,,,,
1094,1,2023-02-27_09h41.59.554,task-selfref_run-01,59.88902565497579,1677509248.4747975,46.8381808999693,word_presentation,1,brilliant,,,self,positive
1094,1,2023-02-27_09h41.59.554,task-selfref_run-01,59.88902565497579,1677509249.649247,48.013174499967135,response,1,brilliant,1.2108025000197813,2,self,positive
1094,1,2023-02-27_09h41.59.554,task-selfref_run-01,59.88902565497579,1677509252.204358,50.56832579988986,fixation,1,,,,,
1094,1,2023-02-27_09h41.59.554,task-selfref_run-01,59.88902565497579,1677509252.2590995,50.62296719988808,word_presentation,1,considerate,,,self,positive
1094,1,2023-02-27_09h41.59.554,task-selfref_run-01,59.88902565497579,1677509253.1942918,51.558142699999735,response,1,considerate,0.9892683000070974,3,self,positive
1094,1,2023-02-27_09h41.59.554,task-selfref_run-01,59.88902565497579,1677509256.4022913,54.76553330000024,fixation,1,,,,,
1094,1,2023-02-27_09h41.59.554,task-selfref_run-01,59.88902565497579,1677509256.4417734,54.80515969998669,word_presentation,1,courageous,,,self,positive
1094,1,2023-02-27_09h41.59.554,task-selfref_run-01,59.88902565497579,1677509258.5052435,56.86921009991784,response,1,courageous,2.103132799966261,2,self,positive
1094,1,2023-02-27_09h41.59.554,task-selfref_run-01,59.88902565497579,1677509260.8635209,59.2268325999612,fixation,1,,,,,
1094,1,2023-02-27_09h41.59.554,task-selfref_run-01,59.88902565497579,1677509260.909653,59.27322029997595,word_presentation,1,demanding,,,self,negative
1094,1,2023-02-27_09h41.59.554,task-selfref_run-01,59.88902565497579,1677509262.3119903,60.676038899924606,response,1,demanding,1.4486788000212982,2,self,negative
1094,1,2023-02-27_09h41.59.554,task-selfref_run-01,59.88902565497579,1677509264.791237,63.154533599969,fixation,1,,,,,
1094,1,2023-02-27_09h41.59.554,task-selfref_run-01,59.88902565497579,1677509264.8594651,63.22287309996318,word_presentation,1,fearful,,,self,negative
1094,1,2023-02-27_09h41.59.554,task-selfref_run-01,59.88902565497579,1677509266.167806,64.53101249993779,response,1,fearful,1.375926300068386,3,self,negative
1094,1,2023-02-27_09h41.59.554,task-selfref_run-01,59.88902565497579,1677509275.293391,73.65661829989403,fixation,1,,,,,
1094,1,2023-02-27_09h41.59.554,task-selfref_run-01,59.88902565497579,1677509277.843541,76.2068425999023,fixation,1,,,,,
1094,1,2023-02-27_09h41.59.554,task-selfref_run-01,59.88902565497579,1677509277.892303,76.25589309993666,word_presentation,1,disobedient,,,semantic,negative
1094,1,2023-02-27_09h41.59.554,task-selfref_run-01,59.88902565497579,1677509279.777774,78.14187949988991,response,1,disobedient,1.934447499923408,2,semantic,negative
1094,1,2023-02-27_09h41.59.554,task-selfref_run-01,59.88902565497579,1677509281.452227,79.81554369989317,fixation,1,,,,,
1094,1,2023-02-27_09h41.59.554,task-selfref_run-01,59.88902565497579,1677509281.4922245,79.85579619999044,word_presentation,1,joyful,,,semantic,positive
1094,1,2023-02-27_09h41.59.554,task-selfref_run-01,59.88902565497579,1677509282.2044306,80.56797519989777,response,1,joyful,0.7518471999792382,3,semantic,positive
1094,1,2023-02-27_09h41.59.554,task-selfref_run-01,59.88902565497579,1677509285.8240788,84.18732389993966,fixation,1,,,,,
1094,1,2023-02-27_09h41.59.554,task-selfref_run-01,59.88902565497579,1677509285.8743367,84.23752919991966,word_presentation,1,understanding,,,semantic,positive
1094,1,2023-02-27_09h41.59.554,task-selfref_run-01,59.88902565497579,1677509286.7796087,85.14308019995224,response,1,understanding,0.9551983000710607,3,semantic,positive
1094,1,2023-02-27_09h41.59.554,task-selfref_run-01,59.88902565497579,1677509289.9958587,88.35909719998017,fixation,1,,,,,
1094,1,2023-02-27_09h41.59.554,task-selfref_run-01,59.88902565497579,1677509290.0413988,88.40481449989602,word_presentation,1,selfish,,,semantic,negative
1094,1,2023-02-27_09h41.59.554,task-selfref_run-01,59.88902565497579,1677509291.0414977,89.40502379997633,response,1,selfish,1.0453826000448316,2,semantic,negative
1094,1,2023-02-27_09h41.59.554,task-selfref_run-01,59.88902565497579,1677509293.542773,91.9060944999801,fixation,1,,,,,
1094,1,2023-02-27_09h41.59.554,task-selfref_run-01,59.88902565497579,1677509293.5923364,91.95604589988943,word_presentation,1,irrational,,,semantic,negative
1094,1,2023-02-27_09h41.59.554,task-selfref_run-01,59.88902565497579,1677509294.8576562,93.22101119998842,response,1,irrational,1.3143766999710351,2,semantic,negative
1094,1,2023-02-27_09h41.59.554,task-selfref_run-01,59.88902565497579,1677509297.0523832,95.41571659990586,fixation,1,,,,,
1094,1,2023-02-27_09h41.59.554,task-selfref_run-01,59.88902565497579,1677509297.0917351,95.45534009998664,word_presentation,1,grateful,,,semantic,positive
1094,1,2023-02-27_09h41.59.554,task-selfref_run-01,59.88902565497579,1677509297.9418037,96.3051443999866,response,1,grateful,0.8888470999663696,3,semantic,positive
1094,1,2023-02-27_09h41.59.554,task-selfref_run-01,59.88902565497579,1677509307.5599356,105.92324059992097,fixation,1,,,,,
1094,1,2023-02-27_09h41.59.554,task-selfref_run-01,59.88902565497579,1677509310.1085398,108.47184549993835,fixation,1,,,,,
1094,1,2023-02-27_09h41.59.554,task-selfref_run-01,59.88902565497579,1677509310.159074,108.52280769997742,word_presentation,1,combative,,,self,negative
1094,1,2023-02-27_09h41.59.554,task-selfref_run-01,59.88902565497579,1677509311.152409,109.51610929996241,response,1,combative,1.0437260000035167,2,self,negative
