word,let,syl,freq_KF,freq_BNC,freq_TV,freq_PG,freq_BN,noun,adjective,ndim1,ndim2,ndim3,ndim4,ndim5,ndim6,ndim7,adim1,adim2,adim3,adim4,adim5,adim6,adim7,adim8,adim9,adim10,p_hit,p_fa,DP
lemons,6,2,1,1.278721,-99,-99,1.647059,1,0,4.07,2.67,6.42,6.28,6.28,2.93,2.27,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0.909091,0,3.661526
leprosy,7,3,1,0.709291,-99,1.79271,0.72549,1,0,1.9,5.32,4.96,5.69,6,1.82,3.48,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0.857143,0.029412,2.95708
lesbian,7,3,1,7.072927,9.755663,-99,9.509804,1,1,3.63,3.86,5.6,5.53,6.06,4.13,3.66,3.18,3.62,5.7,5.37,6.8,5.1,3.56,2.88,1.69,4.79,0.913043,0,3.686085
levity,6,3,1,0.32967,-99,3.84886,0.372549,1,0,4.03,3.09,2.64,3.12,3.67,2.38,2.48,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0.848485,0,3.356305
listless,8,2,1,0.789211,-99,3.38922,0.176471,0,1,-99,-99,-99,-99,-99,-99,-99,3.17,3.15,5.39,3.16,5.36,2.19,2.78,3.19,2.29,3.59,-99,-99,-99
loser,5,2,1,3.466533,32.553108,1.4723,27.078431,1,0,2.13,5,4.84,4,6.52,4.47,4.79,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0.692308,0.083333,1.885396
lottery,7,3,1,3.596404,3.731113,2.08384,6.745098,1,0,4.15,3.96,5.81,5.15,6.4,4.5,4.09,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0.807692,0.068966,2.352964
massacre,8,3,1,6.273726,2.156515,6.33936,3.960784,1,0,1.66,5.62,5.29,4.66,5.62,3.7,5.29,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0.85,0.153846,2.05651
meticulous,10,4,1,2.967033,-99,-99,1.019608,0,1,-99,-99,-99,-99,-99,-99,-99,4.04,4.85,5.04,5.18,5.38,3.52,3.56,4.06,3.87,5.05,-99,-99,-99
mildew,6,2,1,0.969031,-99,-99,0.431373,1,0,2.64,4.28,5.53,5.46,5.35,3.17,2.67,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0.740741,0.035714,2.448374
moralistic,10,4,1,0.649351,-99,-99,0.019608,0,1,-99,-99,-99,-99,-99,-99,-99,5.28,3.35,4.86,3.16,5.85,3.75,4.33,5.77,5.95,4.29,-99,-99,-99
morgue,6,1,1,0.719281,6.503776,-99,8.627451,1,0,2.58,5.41,5,5.33,5.66,3.16,4.41,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0.913043,0.075,2.799269
nonchalant,10,3,1,0.649351,-99,-99,0.372549,0,1,-99,-99,-99,-99,-99,-99,-99,3.89,2.58,4.3,4.82,5.28,3.49,2.37,4.04,4.09,4.29,-99,-99,-99
obstinate,9,3,1,1.308691,-99,10.689,0.901961,0,1,-99,-99,-99,-99,-99,-99,-99,3.03,5.5,3.98,3.72,4.99,3.3,3.42,2.65,2.82,3.95,-99,-99,-99
opportunistic,13,5,1,1.048951,-99,-99,0.27451,0,1,-99,-99,-99,-99,-99,-99,-99,4.96,3.1,4.89,5.08,6.38,4.54,2.74,4.4,5.39,5.02,-99,-99,-99
overconfident,13,5,1,0.07992,-99,-99,0.254902,0,1,-99,-99,-99,-99,-99,-99,-99,3.04,4.05,5.77,4.75,6.07,3.46,3.84,2.73,2.92,4.21,-99,-99,-99
paddock,7,2,1,2.447552,-99,1.39477,0.333333,1,0,4.21,3.07,3.21,4,3.1,2.14,2.03,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0.695652,0,2.838284
painstaking,11,3,1,2.107892,-99,1.60521,0.235294,0,1,-99,-99,-99,-99,-99,-99,-99,1.99,4.48,5.07,4.27,6.74,3.76,3.72,2.31,2.3,3.8,-99,-99,-99
