"word","freq_BNC","valence","researcher_remove","condition"
"good-natured",1.338661,6.52,"","+"
"excitable",1.338661,5.13,"","+"
"resourceful",1.328671,5.3,"","+"
"proficient",1.288711,5.53,"","+"
"light-hearted",1.278721,4.98,"","+"
"principled",1.278721,4.65,"","+"
"awed",1.248751,5.27,"","+"
"gregarious",1.248751,4.86,"","+"
"self-discipline",1.208791,5.48,"","+"
"tenacious",1.158841,4.64,"","+"
"jovial",1.148851,5,"","+"
"fastidious",1.148851,4.2,"","+"
"cordial",1.138861,5.2,"","+"
"luscious",1.078921,4.31,"","+"
"opportunistic",1.048951,4.96,"","+"
"talkative",1.048951,4.71,"","+"
"selfless",1.018981,5.17,"","+"
"unassuming",0.989011,4.16,"","+"
"valour",0.979021,4.06,"","+"
"self-confident",0.939061,6.31,"","+"
"masterful",0.929071,5.7,"","+"
"vivacious",0.899101,5.88,"","+"
"introspective",0.899101,4.46,"","+"
"impetuous",0.869131,3.77,"","-"
"impressionable",0.859141,4.19,"","+"
"demonstrative",0.859141,4.06,"","+"
"unselfish",0.799201,5.85,"","+"
"thrifty",0.789211,4.64,"","+"
"self-satisfied",0.779221,5.26,"","+"
"meditative",0.739261,4.95,"","+"
"small",444.065934,3.03,"","-"
"hard",229.020979,2.36,"","-"
"lost",194.005994,2.45,"","-"
"short",186.293706,3.1,"","-"
"material",135.234765,2.81,"","-"
"alone",132.477522,2.41,"","-"
"whatever",132.227772,2.96,"","-"
"heavy",94.735265,2.66,"","-"
"complex",94.605395,3.02,"","-"
"cross",75.454545,2.6,"","-"
"square",70.629371,2.96,"","-"
"afraid",59.61039,2.36,"","-"
"slow",58.891109,2.77,"","-"
"expensive",58.611389,3,"","-"
"mental",57.972028,3.01,"","-"
"beat",56.653347,2.36,"","-"
"narrow",50.18981,2.7,"","-"
"severe",46.023976,2.35,"","-"
"somehow",44.785215,3.21,"","-"
"plain",41.718282,3.15,"","-"
"tired",41.168831,2.97,"","-"
"rough",35.224775,3.23,"","-"
"mad",31.458541,2.38,"","-"
"anxious",30.979021,2.67,"","-"
"nervous",30.899101,2.94,"","-"
"confused",25.024975,2.78,"","-"
"weekly",24.925075,3.04,"","-"
"demanding",24.245754,2.37,"","-"
"resigned",21.978022,2.34,"","-"
"urgent",21.578422,2.84,"","-"
"chicken",20.869131,2.98,"","-"
"strict",20.669331,3.04,"","-"
"aggressive",19.310689,2.58,"","-"
"defeated",17.762238,2.36,"","-"
"delayed",17.322677,3.01,"","-"
"indirect",15.864136,2.85,"","-"
"awkward",15.754246,2.29,"","-"
"bored",15.604396,2.35,"","-"
"stiff",15.584416,2.47,"","-"
"embarrassed",14.815185,2.42,"","-"
"passive",14.485514,2.89,"","-"
"rigid",14.465534,2.65,"","-"
"scared",14.305694,2.6,"","-"
"suspicious",13.786214,2.58,"","-"
"tense",13.026973,2.41,"","-"
"defensive",12.867133,2.7,"","-"
"alien",12.537463,3.05,"","-"
"shy",11.888112,3.17,"","-"
"gray",11.858142,2.53,"","-"
"adverse",11.828172,2.45,"","-"
"foolish",11.618382,2.32,"","-"
"noisy",10.21978,2.52,"","-"
"unreasonable",9.89011,2.42,"","-"
"jealous",9.59041,2.45,"","-"
"complaining",9.420579,2.32,"","-"
"startled",9.300699,3.23,"","-"
"inferior",8.591409,2.33,"","-"
"homosexual",8.401598,3.18,"","-"
"explosive",8.201798,2.7,"","-"
"sheltered",7.922078,2.84,"","-"
"stern",7.892108,2.78,"","-"
"naive",7.702298,2.32,"","-"
"superficial",7.652348,2.3,"","-"
"weary",7.072927,2.54,"","-"
"lesbian",7.072927,3.18,"","-"
"flush",6.803197,3.23,"","-"
"restless",6.613387,2.51,"","-"
"unpopular",6.413586,2.33,"","-"
"coarse",6.403596,2.49,"","-"
"muddy",6.323676,2.8,"","-"
"preoccupied",6.313686,2.84,"","-"
"distressed",6.283716,2.52,"","-"
"authoritative",6.213786,3.2,"","-"
