volume,scale_factor,time,time_plus_1.2,cen,dmn,stage,cen_cumulative_hits,dmn_cumulative_hits,pda_outlier,ball_y_position,top_circle_y_position,bottom_circle_y_position
0,25,2.085202799993567,3.285210700053722,0.0,0.0,baseline,0,0,nan,nan,nan,nan
1,25,2.9552405000431463,4.155247899983078,0.0,0.0,baseline,0,0,nan,nan,nan,nan
2,25,4.1312820999883115,5.331290100049228,0.109865,0.054554,baseline,0,0,nan,nan,nan,nan
3,25,5.334590499987826,6.534601200069301,0.13684,0.111342,baseline,0,0,nan,nan,nan,nan
4,25,6.505590500077233,7.7056005000369625,0.039519,0.077975,baseline,0,0,nan,nan,nan,nan
5,25,7.7129808000754565,8.91298830001615,0.03626,0.151459,baseline,0,0,nan,nan,nan,nan
6,25,8.953768000006676,10.153775500063784,0.057203,0.106552,baseline,0,0,nan,nan,nan,nan
7,25,10.13681220007129,11.336822700034826,0.129981,0.23541,baseline,0,0,nan,nan,nan,nan
8,25,11.296123500098474,12.496131000039167,0.041827,0.214566,baseline,0,0,nan,nan,nan,nan
9,25,12.569484799983911,13.769495700066908,0.053994,0.257352,baseline,0,0,nan,nan,nan,nan
10,25,13.73048930009827,14.930499700061045,0.063641,0.217957,baseline,0,0,nan,nan,nan,nan
11,25,14.936061199987307,16.136071500065736,-0.018818,0.167063,baseline,0,0,nan,nan,nan,nan
12,25,16.1295611000387,17.329571700002997,-0.009241,0.127442,baseline,0,0,nan,nan,nan,nan
13,25,17.314581400016323,18.514589200075715,-0.182176,0.039712,baseline,0,0,nan,nan,nan,nan
14,25,18.499827000079677,19.699838500050827,-0.303182,-0.173311,baseline,0,0,nan,nan,nan,nan
15,25,19.72904730006121,20.929057500022463,-0.320584,-0.291131,baseline,0,0,nan,nan,nan,nan
16,25,20.921053200028837,22.12106100008823,-0.362291,-0.476085,baseline,0,0,nan,nan,nan,nan
17,25,22.149643199983984,23.34965400006622,-0.239883,-0.376385,baseline,0,0,nan,nan,nan,nan
18,25,23.35177350009326,24.551783900056034,-0.272492,-0.264664,baseline,0,0,nan,nan,nan,nan
19,25,24.553893100004643,25.753903800086118,-0.081277,-0.019122,baseline,0,0,nan,nan,nan,nan
20,25,25.715001999982633,26.915009300038218,-0.109671,0.05435,baseline,0,0,nan,nan,nan,nan
21,25,26.904161100042984,28.104168499982915,-0.120237,-0.118973,baseline,0,0,nan,nan,nan,nan
22,25,28.131126700085588,29.331137200049124,-0.046318,-0.132377,baseline,0,0,nan,nan,nan,nan
23,25,29.33018200006336,30.53018930000253,-0.214416,-0.322612,baseline,0,0,nan,nan,nan,nan
24,25,30.581376300076954,31.781380299990996,-0.218156,-0.392341,feedback,0,0,False,0.0,0.33333333333333326,-0.33333333333333326
25,25,31.73256510007195,32.932569099986,-0.239967,-0.504515,feedback,0,0,False,0.027864421630217052,0.33333333333333326,-0.33333333333333326
26,25,32.919332100078464,34.11933629999403,-0.389624,-0.757464,feedback,0,0,False,0.06926424086343858,0.33333333333333326,-0.33333333333333326
27,25,34.10755240009166,35.30755630000495,-0.516284,-0.89797,feedback,0,0,False,0.1268284995490014,0.33333333333333326,-0.33333333333333326
28,25,35.32012020004913,36.52012410007883,-0.23297,-0.82157,feedback,0,0,False,0.19054162595369167,0.33333333333333326,-0.33333333333333326
29,25,36.52911080000922,37.729114400036636,0.014772,-0.6884,feedback,0,0,False,0.28879397527172007,0.33333333333333326,-0.33333333333333326
30,25,37.74472040007822,38.944724299991506,0.248424,-0.749506,feedback,1,0,False,0.0,0.36666666666666664,-0.33333333333333326
31,25,38.89504540001508,40.0950495000463,0.53138,-0.499821,feedback,1,0,False,0.15269830055843553,0.36666666666666664,-0.33333333333333326
32,25,40.12665230000857,41.326656500040556,0.683864,-0.096188,feedback,1,0,False,0.3248320431155203,0.36666666666666664,-0.33333333333333326
33,25,41.34025180002209,42.54025590005331,0.601157,-0.298029,feedback,2,0,False,0.0,0.40333333333333327,-0.33333333333333326
34,25,42.51243840006646,43.71244230009616,0.798166,-0.332632,feedback,2,0,False,0.14697005032323845,0.40333333333333327,-0.33333333333333326
35,25,43.73354410007596,44.93354819999077,0.935563,-0.305581,feedback,2,0,False,0.3357290719068742,0.40333333333333327,-0.33333333333333326
