25,cen,-0.232401,-0.289243
26,dmn,-0.193739,-0.149936
27,cen,-0.013905,-0.329135
28,dmn,-0.143164,-0.095751
29,cen,0.095548,-0.071583
30,dmn,-0.010552,0.09583
31,dmn,-0.020356,0.199716
32,dmn,0.191446,0.288503
33,dmn,0.023668,0.291226
34,dmn,0.578413,0.60664
35,dmn,-42.952094,0.44859
36,dmn,-0.760545,0.61659
37,dmn,-0.992301,0.484217
38,dmn,-1.084722,0.664198
39,dmn,-1.388851,0.473038
40,dmn,-1.531431,0.424234
41,dmn,-1.860305,0.412421
42,dmn,-1.427335,0.647911
43,dmn,-1.720041,0.544197
44,dmn,-1.552483,0.712147
45,dmn,-1.703538,0.741887
46,dmn,-1.603223,0.602391
47,dmn,-2.002035,0.700813
48,dmn,-2.29499,0.556287
49,dmn,-2.105071,0.749197
50,dmn,-1.926526,0.60812
51,dmn,-1.851689,0.660353
52,dmn,-1.825644,0.673551
53,dmn,-1.878443,0.525686
54,dmn,-2.138861,0.639771
55,dmn,-2.200742,0.842807
56,dmn,-2.050483,0.497832
57,dmn,-1.958759,0.71313
58,dmn,-1.990948,0.541239
59,dmn,-21.707912,0.667292
60,cen,2.3681,0.530913
61,dmn,-12.16248,0.522696
62,cen,5.366062,0.488184
63,cen,4.341301,0.456759
64,cen,3.864128,0.263537
65,cen,3.433455,0.498423
66,cen,2.776109,0.520128
67,cen,2.843434,0.333968
68,cen,2.339489,0.301765
69,cen,2.054512,0.417406
70,cen,1.552797,0.328403
71,cen,1.671761,0.257423
72,cen,1.335259,0.274231
73,cen,1.343154,0.430565
74,cen,1.035618,0.306693
75,cen,1.275262,0.525618
76,cen,0.996993,0.370584
77,dmn,-18.343082,0.509061
78,cen,3.936577,0.44037
79,dmn,-18.74436,0.473829
80,dmn,-18.461384,0.29193
81,dmn,-16.210506,0.303675
82,dmn,-14.805777,0.10355
83,dmn,-12.086244,0.084333
84,cen,23.302475,-0.216725
85,dmn,-11.460263,0.020588
86,dmn,-9.243623,0.034547
87,cen,29.32743,-0.009995
88,dmn,-8.390451,-0.026668
89,cen,31.649899,-0.045684
90,cen,30.261536,-0.003903
91,cen,28.791643,0.067472
92,dmn,-11.920199,0.159318
93,cen,30.909153,-0.007461
94,dmn,-10.554862,0.206798
95,cen,32.123886,-0.035977
96,dmn,-14.558581,0.025865
97,dmn,-14.921923,0.063319
98,dmn,-8.29766,0.200732
99,dmn,-11.277781,0.041006
100,dmn,-5.651956,0.168818
101,dmn,-7.354065,-0.157265
102,dmn,-5.581246,-0.052872
103,cen,0.54661,0.076396
104,dmn,-1.928381,0.199344
105,cen,33.620872,0.135722
106,cen,32.726878,0.224961
107,dmn,-2.842983,0.093141
108,dmn,-0.949214,0.23013
109,cen,0.865703,0.061216
