volume,scale_factor,time,time_plus_1.2,cen,dmn,stage,cen_cumulative_hits,dmn_cumulative_hits,ball_y_position,top_circle_y_position,bottom_circle_y_position
0,25,1.7660460999468341,2.9660585999256,0.0,0.0,baseline,0,0,nan,nan,nan
1,25,2.7522837999276817,3.9522962999064477,0.0,0.0,baseline,0,0,nan,nan,nan
2,25,3.9237428999040276,5.123756000003778,0.052935,0.114819,baseline,0,0,nan,nan,nan
3,25,5.189081399934366,6.389094299916178,0.122891,0.139475,baseline,0,0,nan,nan,nan
4,25,6.350307799992152,7.5503204999724405,0.392606,-0.078086,baseline,0,0,nan,nan,nan
5,25,7.5648740999167785,8.764887399901635,0.150699,-0.061215,baseline,0,0,nan,nan,nan
6,25,8.800952499965206,10.000965199945494,-0.068385,-0.099956,baseline,0,0,nan,nan,nan
7,25,9.990621599950828,11.190634199930354,-0.268595,-0.064392,baseline,0,0,nan,nan,nan
8,25,11.162447199923918,12.362459899904206,-0.237715,-0.004207,baseline,0,0,nan,nan,nan
9,25,12.343102999962866,13.543115699943154,-0.052555,0.053211,baseline,0,0,nan,nan,nan
10,25,13.5829289999092,14.782941300002857,0.021714,0.054635,baseline,0,0,nan,nan,nan
11,25,14.745737299905159,15.945750000001862,0.105952,0.076931,baseline,0,0,nan,nan,nan
12,25,15.949261399917305,17.149274299899115,0.065745,0.060625,baseline,0,0,nan,nan,nan
13,25,17.16952679993119,18.36953959991224,0.070371,0.024171,baseline,0,0,nan,nan,nan
14,25,18.347158499993384,19.547170699969865,0.080987,0.069411,baseline,0,0,nan,nan,nan
15,25,19.58786839991808,20.787881599902175,-0.021505,0.017047,baseline,0,0,nan,nan,nan
16,25,20.736278799944557,21.936291699926368,-0.161997,0.088136,baseline,0,0,nan,nan,nan
17,25,21.93658239999786,23.136595499981194,-0.190514,0.159167,baseline,0,0,nan,nan,nan
18,25,23.16214259993285,24.362155099911615,-0.051284,0.015827,baseline,0,0,nan,nan,nan
19,25,24.351902499911375,25.55191699990537,0.126544,-0.025404,baseline,0,0,nan,nan,nan
20,25,25.549537199898623,26.749549899995326,0.063586,-0.131986,baseline,0,0,nan,nan,nan
21,25,26.726036199950613,27.9260488999309,-0.028048,-0.227429,baseline,0,0,nan,nan,nan
22,25,27.95266479998827,29.152677299967035,-0.262242,-0.161387,baseline,0,0,nan,nan,nan
23,25,29.178279599989764,30.378292299970052,-0.338506,-0.039361,baseline,0,0,nan,nan,nan
24,25,30.323135699960403,31.523145999922416,-0.234175,-0.072212,feedback,0,0,0.0,0.33333333333333326,-0.33333333333333326
25,25,31.601102499989793,32.80111289995257,-0.176091,-0.039073,feedback,0,0,-0.01904296776233769,0.33333333333333326,-0.33333333333333326
26,25,32.798748199944384,33.99876179993153,-0.020098,-0.047446,feedback,0,0,-0.0342053522393151,0.33333333333333326,-0.33333333333333326
27,25,33.978824399993755,35.17884029999841,0.030338,-0.01652,feedback,0,0,-0.03146274592353561,0.33333333333333326,-0.33333333333333326
28,25,35.18141119997017,36.3814250999596,0.096724,0.044699,feedback,0,0,-0.026925611128512803,0.33333333333333326,-0.33333333333333326
29,25,36.36251089989673,37.56252229998354,-0.016131,0.059461,feedback,0,0,-0.021528352289244754,0.33333333333333326,-0.33333333333333326
30,25,37.557291199918836,38.75730469990522,-0.132135,0.015786,feedback,0,0,-0.030154754003723208,0.33333333333333326,-0.33333333333333326
31,25,38.77270079997834,39.972711799945685,-0.134706,0.045516,feedback,0,0,-0.04550060551287009,0.33333333333333326,-0.33333333333333326
32,25,39.97095299989451,41.17096690000035,0.249066,0.117547,feedback,0,0,-0.06419747783445708,0.33333333333333326,-0.33333333333333326
33,25,41.178922199993394,42.378932699956934,0.451063,-0.062199,feedback,0,0,-0.05100803655739866,0.33333333333333326,-0.33333333333333326
