volume,scale_factor,time,time_plus_1.2,cen,dmn,stage,cen_cumulative_hits,dmn_cumulative_hits,pda_outlier,ball_y_position,top_circle_y_position,bottom_circle_y_position
0,18.75,2.0357956000370905,3.23580349998083,0.0,0.0,baseline,0,0,nan,nan,nan,nan
1,18.75,2.8976170000387356,4.097624699980952,0.0,0.0,baseline,0,0,nan,nan,nan,nan
2,18.75,4.118766400031745,5.318773899972439,-0.002679,-0.017951,baseline,0,0,nan,nan,nan,nan
3,18.75,5.314911099965684,6.514918700023554,-0.070315,-0.009894,baseline,0,0,nan,nan,nan,nan
4,18.75,6.489785399986431,7.689792800042778,0.029328,0.062211,baseline,0,0,nan,nan,nan,nan
5,18.75,7.728881199960597,8.928888900019228,0.056276,0.029198,baseline,0,0,nan,nan,nan,nan
6,18.75,8.930076600052416,10.130083899991586,-0.030563,-0.011859,baseline,0,0,nan,nan,nan,nan
7,18.75,10.120895800064318,11.32090600002557,0.061348,0.08008,baseline,0,0,nan,nan,nan,nan
8,18.75,11.31074250000529,12.51075020006392,0.073534,0.162022,baseline,0,0,nan,nan,nan,nan
9,18.75,12.51370340003632,13.713710999977774,0.149071,0.081748,baseline,0,0,nan,nan,nan,nan
10,18.75,13.752144600031897,14.952151899971067,0.185916,0.056095,baseline,0,0,nan,nan,nan,nan
11,18.75,14.904362500063144,16.104370100004598,0.226688,-0.063774,baseline,0,0,nan,nan,nan,nan
12,18.75,16.137641999986954,17.337649500044062,0.142505,-0.082337,baseline,0,0,nan,nan,nan,nan
13,18.75,17.31388130004052,18.51388859997969,0.215229,0.062501,baseline,0,0,nan,nan,nan,nan
14,18.75,18.551619600038975,19.751626999978907,0.282435,0.144068,baseline,0,0,nan,nan,nan,nan
15,18.75,19.71247929998208,20.91249429997988,0.389829,0.263711,baseline,0,0,nan,nan,nan,nan
16,18.75,20.968229399994016,22.168232700019143,0.447531,0.219081,baseline,0,0,nan,nan,nan,nan
17,18.75,22.12844550004229,23.328452999982982,0.230769,0.010725,baseline,0,0,nan,nan,nan,nan
18,18.75,23.303960400051437,24.503971100016496,0.144452,-0.014254,baseline,0,0,nan,nan,nan,nan
19,18.75,24.497959900065325,25.69797020002734,0.230747,0.109256,baseline,0,0,nan,nan,nan,nan
20,18.75,25.72096429998055,26.92096770000644,0.273075,0.225461,baseline,0,0,nan,nan,nan,nan
21,18.75,26.91724039998371,28.117249600053764,0.182802,0.18211,baseline,0,0,nan,nan,nan,nan
22,18.75,28.11246650002431,29.3124765999848,0.271963,0.101832,baseline,0,0,nan,nan,nan,nan
23,18.75,29.353603000054136,30.553613200015388,0.222032,-0.030977,baseline,0,0,nan,nan,nan,nan
24,18.75,30.538997699972242,31.739001400000415,0.139217,-0.095853,feedback,0,0,False,0.0,0.33333333333333326,-0.33333333333333326
25,18.75,31.77134980005212,32.97135349996388,0.179499,0.046242,feedback,0,0,False,0.019315131729688975,0.33333333333333326,-0.33333333333333326
26,18.75,32.922088099992834,34.12209190002177,0.041895,0.072841,feedback,0,0,False,0.030264536200285644,0.33333333333333326,-0.33333333333333326
27,18.75,34.1150467999978,35.315050500025976,-0.048198,0.146324,feedback,0,0,False,0.02787588497173922,0.33333333333333326,-0.33333333333333326
28,18.75,35.337719200062566,36.537722799973565,0.221516,0.213338,feedback,0,0,False,0.012861175016355282,0.33333333333333326,-0.33333333333333326
29,18.75,36.514542900025845,37.71454660005402,0.166719,0.111096,feedback,0,0,False,0.01355350405924558,0.33333333333333326,-0.33333333333333326
30,18.75,37.77193080005236,38.97193439996336,0.013735,-0.130614,feedback,0,0,False,0.017569922327152147,0.33333333333333326,-0.33333333333333326
31,18.75,38.93535370007157,40.135357499984096,0.066804,-0.296564,feedback,0,0,False,0.02691480073233009,0.33333333333333326,-0.33333333333333326
32,18.75,40.172225999995135,41.372229300020265,0.100307,-0.288465,feedback,0,0,False,0.05496234870668754,0.33333333333333326,-0.33333333333333326
33,18.75,41.314656600006856,42.51466020003427,0.123116,-0.107496,feedback,0,0,False,0.08400275985236041,0.33333333333333326,-0.33333333333333326
