trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_2.keys,key_resp_2.rt,key_resp_3.keys,key_resp_3.rt,participant,session,No_of_ROIs,Level_1_2_3,No_repetitions,Run_Time,Scale_Factor,date,expName,frameRate,
,,,,2,58.073867700994015,,,sub-R61MBNFD999,run-01,2,1,1,120,5,2022-11-03_14h09.37.770,DMN_BallTask,60.10427969016172,
,,,,,,t,34.74773680046201,sub-R61MBNFD999,run-01,2,1,1,120,5,2022-11-03_14h09.37.770,DMN_BallTask,60.10427969016172,
