volume,scale_factor,time,time_plus_1.2,cen,dmn,stage,cen_cumulative_hits,dmn_cumulative_hits,ball_y_position,top_circle_y_position,bottom_circle_y_position
0,25,1.7075679999543354,2.907579999929294,0.0,0.0,baseline,0,0,nan,nan,nan
1,25,2.7913323999382555,3.991344900033437,0.0,0.0,baseline,0,0,nan,nan,nan
2,25,4.015705300029367,5.215718100010418,0.034272,-0.071022,baseline,0,0,nan,nan,nan
3,25,5.154043499962427,6.354055999941193,0.10005,0.022533,baseline,0,0,nan,nan,nan
4,25,6.402487599989399,7.602499999967404,0.106004,0.007837,baseline,0,0,nan,nan,nan
5,25,7.558490699972026,8.758502899948507,0.095689,0.006061,baseline,0,0,nan,nan,nan
6,25,8.802992000011727,10.003004499990492,0.131029,0.092606,baseline,0,0,nan,nan,nan
7,25,9.94351359992288,11.143526600021868,0.061971,0.145206,baseline,0,0,nan,nan,nan
8,25,11.170471200020984,12.370484100002795,-0.001605,-0.002355,baseline,0,0,nan,nan,nan
9,25,12.38593739992939,13.585950100026093,0.055206,-0.149049,baseline,0,0,nan,nan,nan
10,25,13.579888699925505,14.779901000019162,0.100893,-0.050643,baseline,0,0,nan,nan,nan
11,25,14.793802900006995,15.99381539998576,0.063401,-0.11993,baseline,0,0,nan,nan,nan
12,25,15.953099299920723,17.15311160001438,-0.040695,-0.036797,baseline,0,0,nan,nan,nan
13,25,17.16841249994468,18.368425499927252,-0.028596,-0.032084,baseline,0,0,nan,nan,nan
14,25,18.354442599928007,19.554455600026994,-0.063021,0.01788,baseline,0,0,nan,nan,nan
15,25,19.573311700019985,20.77332409999799,0.039127,0.034821,baseline,0,0,nan,nan,nan
16,25,20.812802799977362,22.012815799959935,0.078331,0.086208,baseline,0,0,nan,nan,nan
17,25,22.013281699968502,23.213294099946506,0.427267,0.267442,baseline,0,0,nan,nan,nan
18,25,23.13741830002982,24.337430800008587,0.367494,0.233276,baseline,0,0,nan,nan,nan
19,25,24.369778899941593,25.56979159992188,0.325912,0.25429,baseline,0,0,nan,nan,nan
20,25,25.578703499981202,26.778715799958444,0.166197,0.21214,baseline,0,0,nan,nan,nan
21,25,26.75144459994044,27.95145700003486,-0.070405,0.071394,baseline,0,0,nan,nan,nan
22,25,27.999146400019526,29.19915879999753,-0.186428,-0.111408,baseline,0,0,nan,nan,nan
23,25,29.181311700027436,30.38132410000544,-0.311294,-0.248032,baseline,0,0,nan,nan,nan
24,25,30.362394699943252,31.56240809992887,-0.401385,-0.167434,feedback,0,0,0.0,0.3333333333333333,-0.3333333333333333
25,25,31.541930399951525,32.741944299940954,-0.436804,-0.05402,feedback,0,0,-0.1738424842109008,0.3333333333333333,-0.3333333333333333
26,25,32.772695699939504,33.97270929992665,-0.526699,-0.159216,feedback,0,1,0.0,0.3333333333333333,-0.3666666666666667
27,25,33.93138399999589,35.131397899985316,-0.530131,-0.172634,feedback,0,1,-0.14418926791915135,0.3333333333333333,-0.3666666666666667
28,25,35.14266339992173,36.34267690002453,-0.572049,-0.170728,feedback,0,1,-0.35025118215294493,0.3333333333333333,-0.3666666666666667
29,25,36.35732279997319,37.55733309993521,-0.566932,-0.090015,feedback,0,2,0.0,0.3333333333333333,-0.4033333333333334
30,25,37.559580700006336,38.75959439999424,-0.444216,-0.047311,feedback,0,2,-0.22190385241391905,0.3333333333333333,-0.4033333333333334
31,25,38.79542219999712,39.99543229995761,-0.207665,0.014847,feedback,0,3,0.0,0.3333333333333333,-0.44366666666666676
32,25,39.9243289999431,41.12434279993177,-0.109542,-0.0142,feedback,0,3,-0.13520997304010104,0.3333333333333333,-0.44366666666666676
33,25,41.12666639999952,42.32668019998819,-0.018136,-0.067683,feedback,0,3,-0.19413794575750984,0.3333333333333333,-0.44366666666666676
34,25,42.33851609996054,43.53852999994997,0.002684,-0.06829,feedback,0,3,-0.17108431131891136,0.3333333333333333,-0.44366666666666676
35,25,43.56493719993159,44.7649473000085,-0.049169,-0.04161,feedback,0,3,-0.13633584548096575,0.3333333333333333,-0.44366666666666676
