volume,scale_factor,time,time_plus_1.2,cen,dmn,stage,cen_cumulative_hits,dmn_cumulative_hits,ball_y_position,top_circle_y_position,bottom_circle_y_position
0,25,1.933114100014791,3.1331257999874653,0.0,0.0,baseline,0,0,nan,nan,nan
1,25,2.9370422000065446,4.137054000096396,0.0,0.0,baseline,0,0,nan,nan,nan
2,25,4.116916199913248,5.316926900111139,0.005471,0.185648,baseline,0,0,nan,nan,nan
3,25,5.302661099936813,6.5026682001072915,-0.063347,-0.159133,baseline,0,0,nan,nan,nan
4,25,6.5326715998817235,7.732684399979189,-0.065577,-0.244761,baseline,0,0,nan,nan,nan
5,25,7.695051700109616,8.895059400051831,0.011558,-0.210994,baseline,0,0,nan,nan,nan
6,25,8.93449870008044,10.134506899910047,0.246292,0.065947,baseline,0,0,nan,nan,nan
7,25,10.129720899974927,11.329728300031274,0.044723,0.149812,baseline,0,0,nan,nan,nan
8,25,11.328563000075519,12.528573900042101,-0.079879,0.116545,baseline,0,0,nan,nan,nan
9,25,12.496124000055715,13.696131299994885,-0.17189,-0.142604,baseline,0,0,nan,nan,nan
10,25,13.727538699982688,14.927550199953838,-0.164192,-0.11731,baseline,0,0,nan,nan,nan
11,25,14.928156099980697,16.128163500037044,-0.057538,-0.2628,baseline,0,0,nan,nan,nan
12,25,16.120499199954793,17.32050709989853,-0.03476,-0.019085,baseline,0,0,nan,nan,nan
13,25,17.31400949996896,18.514020399935543,0.031443,0.188707,baseline,0,0,nan,nan,nan
14,25,18.51226090011187,19.712270899955183,0.114113,0.052662,baseline,0,0,nan,nan,nan
15,25,19.735332699958235,20.935343599924817,0.114104,0.209062,baseline,0,0,nan,nan,nan
16,25,20.92922280007042,22.12923039989546,-0.148762,-0.007468,baseline,0,0,nan,nan,nan
17,25,22.13352150004357,23.33352879998274,-0.067518,-0.015226,baseline,0,0,nan,nan,nan
18,25,23.29502770002,24.49503979999572,-0.11097,0.035831,baseline,0,0,nan,nan,nan
19,25,24.51215950003825,25.71216710009612,-0.038354,-0.014959,baseline,0,0,nan,nan,nan
20,25,25.71173939993605,26.911747100111096,-0.107326,-0.188557,baseline,0,0,nan,nan,nan
21,25,26.927005999954417,28.127013299893587,-0.007527,-0.073234,baseline,0,0,nan,nan,nan
22,25,28.128076300024986,29.328083599964156,0.142874,0.130768,baseline,0,0,nan,nan,nan
23,25,29.333963399985805,30.533973299944773,-0.073226,-0.264826,baseline,0,0,nan,nan,nan
24,25,30.54412640002556,31.74413009993732,0.156884,-0.246678,feedback,0,0,0.0,0.33333333333333326,-0.33333333333333326
25,25,31.736954499967396,32.93695840011351,0.212158,-0.108758,feedback,0,0,0.036379437846424924,0.33333333333333326,-0.33333333333333326
26,25,32.91421750001609,34.11422239993699,0.138821,-0.006217,feedback,0,0,0.06530868211601254,0.33333333333333326,-0.33333333333333326
27,25,34.10505519993603,35.30506720002741,-0.167701,0.102554,feedback,0,0,0.07888612350734439,0.33333333333333326,-0.33333333333333326
28,25,35.32235449994914,36.5223584999796,0.11107,0.138825,feedback,0,0,0.055460771995286214,0.33333333333333326,-0.33333333333333326
29,25,36.542273099999875,37.74227670002729,0.039011,0.236886,feedback,0,0,0.052766312662569856,0.33333333333333326,-0.33333333333333326
30,25,37.72477889992297,38.924783499958,0.291922,0.29181,feedback,0,0,0.034928703413281435,0.33333333333333326,-0.33333333333333326
31,25,38.952488200040534,40.15249229995534,-0.004468,0.344736,feedback,0,0,0.0349384114274509,0.33333333333333326,-0.33333333333333326
32,25,40.129445400089025,41.32944950000383,0.065471,0.154252,feedback,0,0,0.004669863391644947,0.33333333333333326,-0.33333333333333326
33,25,41.32005349989049,42.52005729991943,0.313762,0.123003,feedback,0,0,-0.0030255580902592994,0.33333333333333326,-0.33333333333333326
34,25,42.57362059992738,43.77362410007045,0.307738,0.122841,feedback,0,0,0.014170573319898676,0.33333333333333326,-0.33333333333333326
35,25,43.71974000008777,44.91974539989606,0.123755,-0.100707,feedback,0,0,0.029556139284576507,0.33333333333333326,-0.33333333333333326
