trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_2.keys,key_resp_2.rt,key_resp_3.keys,key_resp_3.rt,participant,session,No_of_ROIs,Level_1_2_3,No_repetitions,Run_Time,Scale_Factor,date,expName,frameRate,
,,,,space,8.650286700576544,,,R61MBNFD998,ses-feedback_run-03,2,1,1,120,5,2022-11-03_15h50.31.420,DMN_BallTask,60.33510103367304,
,,,,,,t,35.18135850131512,R61MBNFD998,ses-feedback_run-03,2,1,1,120,5,2022-11-03_15h50.31.420,DMN_BallTask,60.33510103367304,
