volume,scale_factor,time,time_plus_1.2,cen,dmn,stage,cen_cumulative_hits,dmn_cumulative_hits,ball_y_position,top_circle_y_position,bottom_circle_y_position
0,25,1.7365110000009736,2.9365217000005943,0.0,0.0,baseline,0,0,nan,nan,nan
1,25,2.802827999999863,4.0028382000011336,0.0,0.0,baseline,0,0,nan,nan,nan
2,25,3.970573399999921,5.17058079999988,-0.025806,0.035461,baseline,0,0,nan,nan,nan
3,25,5.177666400000817,6.377676600000268,0.048563,-0.013804,baseline,0,0,nan,nan,nan
4,25,6.367646700000478,7.567654499999844,0.152422,0.041828,baseline,0,0,nan,nan,nan
5,25,7.584879000000001,8.784889499999917,0.065855,0.088529,baseline,0,0,nan,nan,nan
6,25,8.80397030000131,10.003977600000507,0.11363,0.140334,baseline,0,0,nan,nan,nan
7,25,9.986624700000903,11.186636400000861,0.118845,0.06744,baseline,0,0,nan,nan,nan
8,25,11.180505500000436,12.380513200000859,0.036411,0.023264,baseline,0,0,nan,nan,nan
9,25,12.369211000001087,13.5692213000013,0.059818,0.056187,baseline,0,0,nan,nan,nan
10,25,13.529012799999691,14.729020200001468,0.035051,-0.020696,baseline,0,0,nan,nan,nan
11,25,14.739288400000078,15.939295700001093,0.161057,0.04763,baseline,0,0,nan,nan,nan
12,25,15.985226000000694,17.185236700000313,0.008104,0.001924,baseline,0,0,nan,nan,nan
13,25,17.16291210000054,18.362919500000498,0.14783,0.034108,baseline,0,0,nan,nan,nan
14,25,18.362969499999963,19.562976700000217,0.104025,0.05626,baseline,0,0,nan,nan,nan
15,25,19.572264899999936,20.772272299999894,0.168521,0.256257,baseline,0,0,nan,nan,nan
16,25,20.779198500000348,21.9792086999998,0.228237,0.105378,baseline,0,0,nan,nan,nan
17,25,21.96965360000104,23.169664500000362,0.128226,0.137629,baseline,0,0,nan,nan,nan
18,25,23.162478100000953,24.36248600000108,0.042371,0.04975,baseline,0,0,nan,nan,nan
19,25,24.361443900001177,25.561451300001135,-0.078324,-0.011611,baseline,0,0,nan,nan,nan
20,25,25.585358700000143,26.785369000000355,-0.090224,-0.115452,baseline,0,0,nan,nan,nan
21,25,26.787833399999727,27.987843500000235,-0.018299,-0.019829,baseline,0,0,nan,nan,nan
22,25,27.98457960000087,29.184591200000067,0.020026,-0.025098,baseline,0,0,nan,nan,nan
23,25,29.18582609999976,30.385833499999716,-0.086155,-0.081563,baseline,0,0,nan,nan,nan
24,25,30.370761899999707,31.570765499999833,-0.025741,-0.030885,feedback,0,0,0.0,0.33333333333333326,-0.33333333333333326
25,25,31.6069664000006,32.806970700000605,-0.071444,-0.078069,feedback,0,0,0.0006077610494303599,0.33333333333333326,-0.33333333333333326
26,25,32.79310190000069,33.99310570000053,-0.112002,-0.020395,feedback,0,0,0.0014135232929160036,0.33333333333333326,-0.33333333333333326
27,25,34.011867500001244,35.21187130000108,-0.113121,-0.012128,feedback,0,0,-0.009728131324289898,0.33333333333333326,-0.33333333333333326
28,25,35.171552100000554,36.371555700000684,0.024255,0.047253,feedback,0,0,-0.021309454996351996,0.33333333333333326,-0.33333333333333326
29,25,36.37205979999999,37.57206400000105,0.213546,0.246403,feedback,0,0,-0.024026657293163653,0.33333333333333326,-0.33333333333333326
30,25,37.56736960000126,38.76737710000016,0.240818,0.250643,feedback,0,0,-0.027908695551548783,0.33333333333333326,-0.33333333333333326
31,25,38.80132880000019,40.00133300000125,0.296534,0.224548,feedback,0,0,-0.029103656161699167,0.33333333333333326,-0.33333333333333326
32,25,39.97522500000014,41.17522890000073,0.349198,0.27567,feedback,0,0,-0.02059854595479911,0.33333333333333326,-0.33333333333333326
33,25,41.1633010000005,42.36330550000021,0.324914,0.24592,feedback,0,0,-0.011911249212474932,0.33333333333333326,-0.33333333333333326
34,25,42.38867350000146,43.58867759999994,0.313775,0.172913,feedback,0,0,-0.0023036442823761,0.33333333333333326,-0.33333333333333326
35,25,43.55029190000096,44.750295900000495,0.336849,0.208598,feedback,0,0,0.014339131173467478,0.33333333333333326,-0.33333333333333326
36,25,44.76221000000078,45.96221410000108,0.251254,0.118474,feedback,0,0,0.02993759358694322,0.33333333333333326,-0.33333333333333326
37,25,45.98643319999974,47.186436700000925,0.320015,0.082184,feedback,0,0,0.04608689331373922,0.33333333333333326,-0.33333333333333326
38,25,47.18910190000133,48.389110299999814,0.282111,0.128192,feedback,0,0,0.07418650803906424,0.33333333333333326,-0.33333333333333326
39,25,48.388513600000806,49.58852530000077,0.263128,0.145978,feedback,0,0,0.09183709529045901,0.33333333333333326,-0.33333333333333326
40,25,49.56209889999991,50.76210310000097,0.305072,0.182683,feedback,0,0,0.10567830970351612,0.33333333333333326,-0.33333333333333326
41,25,50.80415090000133,52.00415979999998,0.381827,0.192394,feedback,0,0,0.12098910934921622,0.33333333333333326,-0.33333333333333326
42,25,51.97081900000012,53.17082310000042,0.443562,0.25371,feedback,0,0,0.14271224745947875,0.33333333333333326,-0.33333333333333326
43,25,53.15638209999997,54.356385800000865,0.371601,0.273506,feedback,0,0,0.1651431671244188,0.33333333333333326,-0.33333333333333326
44,25,54.37205440000071,55.57205800000084,0.500209,0.334224,feedback,0,0,0.17741480012448357,0.33333333333333326,-0.33333333333333326
45,25,55.57026980000046,56.77027390000076,0.424713,0.34838,feedback,0,0,0.19702584557349234,0.33333333333333326,-0.33333333333333326
46,25,56.773811600000045,57.973820500000514,0.397235,0.350722,feedback,0,0,0.2063098077368115,0.33333333333333326,-0.33333333333333326
47,25,57.99435340000127,59.19435720000111,0.391901,0.363249,feedback,0,0,0.21196692762077318,0.33333333333333326,-0.33333333333333326
