volume,scale_factor,time,time_plus_1.2,cen,dmn,stage,cen_cumulative_hits,dmn_cumulative_hits,pda_outlier,ball_y_position,top_circle_y_position,bottom_circle_y_position
0,18.75,2.0490192999131978,3.249026899971068,0.0,0.0,baseline,0,0,nan,nan,nan,nan
1,18.75,2.904276299988851,4.104285199940205,0.0,0.0,baseline,0,0,nan,nan,nan,nan
2,18.75,4.15123079996556,5.3512421999359505,0.066484,0.080225,baseline,0,0,nan,nan,nan,nan
3,18.75,5.325260899960995,6.525268599903211,0.152793,0.113454,baseline,0,0,nan,nan,nan,nan
4,18.75,6.603384699905291,7.803399799903855,0.202184,0.19001,baseline,0,0,nan,nan,nan,nan
5,18.75,7.788337199948728,8.988344600005075,0.249246,0.209953,baseline,0,0,nan,nan,nan,nan
6,18.75,8.911770499893464,10.11178059997037,0.401775,0.323323,baseline,0,0,nan,nan,nan,nan
7,18.75,10.110533299972303,11.310540599911473,0.246035,0.273121,baseline,0,0,nan,nan,nan,nan
8,18.75,11.346511199953966,12.54651840000879,0.06221,0.155919,baseline,0,0,nan,nan,nan,nan
9,18.75,12.546019400004297,13.746027199947275,-0.077367,0.02464,baseline,0,0,nan,nan,nan,nan
10,18.75,13.742483599926345,14.94249370000325,-0.141585,-0.031519,baseline,0,0,nan,nan,nan,nan
11,18.75,14.912201799917966,16.11220909997355,-0.034974,-0.1829,baseline,0,0,nan,nan,nan,nan
12,18.75,16.149073499953374,17.349083599913865,0.149549,-0.211423,baseline,0,0,nan,nan,nan,nan
13,18.75,17.35844559990801,18.55845329996664,0.202277,-0.151304,baseline,0,0,nan,nan,nan,nan
14,18.75,18.540442299912684,19.74045239998959,0.253991,-0.026661,baseline,0,0,nan,nan,nan,nan
15,18.75,19.751196899916977,20.951207699999213,0.189302,-0.147837,baseline,0,0,nan,nan,nan,nan
16,18.75,20.914881799952127,22.114889499894343,0.138727,-0.104566,baseline,0,0,nan,nan,nan,nan
17,18.75,22.164286899962462,23.364294299902394,-0.011642,-0.058975,baseline,0,0,nan,nan,nan,nan
18,18.75,23.336672300007194,24.536679799947887,-0.198112,0.062073,baseline,0,0,nan,nan,nan,nan
19,18.75,24.523434199974872,25.723441599914803,-0.255141,-0.055136,baseline,0,0,nan,nan,nan,nan
20,18.75,25.686124600004405,26.886132499948143,-0.055857,-0.087356,baseline,0,0,nan,nan,nan,nan
21,18.75,26.900364400004037,28.100371799943968,0.253073,0.069719,baseline,0,0,nan,nan,nan,nan
22,18.75,28.143878799979575,29.343886699923313,0.21688,0.109618,baseline,0,0,nan,nan,nan,nan
23,18.75,29.317090799915604,30.51709809997119,0.149069,0.164091,baseline,0,0,nan,nan,nan,nan
24,18.75,30.535609799902886,31.735613399930298,0.196472,0.160787,feedback,0,0,False,0.0,0.33333333333333326,-0.33333333333333326
25,18.75,31.73035319999326,32.930357099906544,0.165973,0.114248,feedback,0,0,False,0.0042086843684254705,0.33333333333333326,-0.33333333333333326
26,18.75,32.95346129999962,34.15346509991214,0.210305,0.190672,feedback,0,0,False,0.010568717488535878,0.33333333333333326,-0.33333333333333326
27,18.75,34.08871809998527,35.288721999898556,0.222788,0.040767,feedback,0,0,False,0.012884231015376219,0.33333333333333326,-0.33333333333333326
28,18.75,35.34638699993957,36.546390699967745,0.374369,0.035375,feedback,0,0,False,0.0366355448137771,0.33333333333333326,-0.33333333333333326
29,18.75,36.53019839990884,37.73020229993854,0.461177,0.170748,feedback,0,0,False,0.07916842706032615,0.33333333333333326,-0.33333333333333326
30,18.75,37.71231239999179,38.91231599990279,0.675102,0.343436,feedback,0,0,False,0.11269279581418143,0.33333333333333326,-0.33333333333333326
31,18.75,38.93227210000623,40.13227559991647,0.687576,0.388582,feedback,0,0,False,0.1534739798608617,0.33333333333333326,-0.33333333333333326
32,18.75,40.11567199998535,41.315675799897875,0.674838,0.308871,feedback,0,0,False,0.18948757753706802,0.33333333333333326,-0.33333333333333326
33,18.75,41.31476879992988,42.514772399957295,0.470762,0.016802,feedback,0,0,False,0.2326496790435716,0.33333333333333326,-0.33333333333333326
34,18.75,42.53116099990439,43.73116469993256,0.480017,-0.013091,feedback,0,0,False,0.28846796101950745,0.33333333333333326,-0.33333333333333326
35,18.75,43.717714899918064,44.917718199943195,0.354961,-0.04789,feedback,1,0,False,0.0,0.36666666666666664,-0.33333333333333326
36,18.75,44.91849519999232,46.11849889990408,0.432306,-0.038503,feedback,1,0,False,0.04751219578266967,0.36666666666666664,-0.33333333333333326
37,18.75,46.12536269996781,47.32536649999675,0.605095,-0.040958,feedback,1,0,False,0.10422077825702329,0.36666666666666664,-0.33333333333333326
38,18.75,47.34034399990924,48.540347899938936,0.975647,0.216153,feedback,1,0,False,0.18365854485628252,0.36666666666666664,-0.33333333333333326
39,18.75,48.50365789991338,49.70366219994612,0.881646,0.178276,feedback,1,0,False,0.27323317076949305,0.36666666666666664,-0.33333333333333326
40,18.75,49.747956799925305,50.94796039995272,0.743547,0.149232,feedback,1,0,False,0.3597185549298033,0.36666666666666664,-0.33333333333333326
41,18.75,50.90800809999928,52.108016299945305,0.510677,0.111563,feedback,2,0,False,0.0,0.40333333333333327,-0.33333333333333326
42,18.75,52.10211109998636,53.30211479989812,0.491657,0.138845,feedback,2,0,False,0.04707145447722466,0.40333333333333327,-0.33333333333333326
43,18.75,53.33852779993322,54.53853139996063,0.585713,0.21478,feedback,2,0,False,0.09045272088945072,0.40333333333333327,-0.33333333333333326
44,18.75,54.55006199993659,55.750065599964,0.596892,0.226677,feedback,2,0,False,0.13606211992941022,0.40333333333333327,-0.33333333333333326
