trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_2.keys,key_resp_2.rt,key_resp_3.keys,key_resp_3.rt,participant,session,No_of_ROIs,Level_1_2_3,No_repetitions,Run_Time,Scale_Factor,date,expName,frameRate,
,,,,space,10.628536999225616,,,R61MBNFD998,ses-feedback_run-02,2,1,1,120,5,2022-11-03_15h44.34.760,DMN_BallTask,60.11772290348881,
,,,,,,t,35.46430630236864,R61MBNFD998,ses-feedback_run-02,2,1,1,120,5,2022-11-03_15h44.34.760,DMN_BallTask,60.11772290348881,
