trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_2.keys,key_resp_2.rt,key_resp_3.keys,key_resp_3.rt,participant,session,No_of_ROIs,Level_1_2_3,No_repetitions,Run_Time,Scale_Factor,date,expName,frameRate,
,,,,space,28.614410996437073,,,R61MBNF998,99session-feedback_run-01,2,1,1,120,5,2022-11-03_15h37.01.439,DMN_BallTask,60.61021137683583,
,,,,,,t,33.249934401363134,R61MBNF998,99session-feedback_run-01,2,1,1,120,5,2022-11-03_15h37.01.439,DMN_BallTask,60.61021137683583,
