"word","valence_condition","set","run","seed"
"fun","+",1,1,474
"nice","+",1,1,474
"generous","+",1,1,474
"brilliant","+",1,1,474
"strong","+",1,1,474
"composed","+",1,1,474
"efficient","+",1,1,474
"organized","+",1,1,474
"helpful","+",1,1,474
"gentle","+",1,1,474
"lucky","+",1,1,474
"mighty","+",1,1,474
"intelligent","+",1,1,474
"skilled","+",1,1,474
"cooperative","+",1,1,474
"amusing","+",1,1,474
"admired","+",1,1,474
"brave","+",1,1,474
"versatile","+",1,1,474
"sympathetic","+",1,1,474
"optimistic","+",1,1,474
"enthusiastic","+",1,1,474
"charming","+",1,1,474
"adventurous","+",1,1,474
"playful","+",1,1,474
"gracious","+",1,1,474
"inventive","+",1,1,474
"observant","+",1,1,474
"agreeable","+",1,1,474
"affectionate","+",1,1,474
"withdrawn","-",1,1,474
"aggressive","-",1,1,474
"disturbed","-",1,1,474
"inadequate","-",1,1,474
"offensive","-",1,1,474
"nasty","-",1,1,474
"immoral","-",1,1,474
"vicious","-",1,1,474
"greedy","-",1,1,474
"insecure","-",1,1,474
"unpopular","-",1,1,474
"lazy","-",1,1,474
"troublesome","-",1,1,474
"unreliable","-",1,1,474
"fearful","-",1,1,474
"superficial","-",1,1,474
"jealous","-",1,1,474
"stern","-",1,1,474
"thoughtless","-",1,1,474
"unsophisticated","-",1,1,474
"uninspiring","-",1,1,474
"compulsive","-",1,1,474
"manipulative","-",1,1,474
"unethical","-",1,1,474
"deceptive","-",1,1,474
"prejudiced","-",1,1,474
"absent-minded","-",1,1,474
"self-critical","-",1,1,474
"uninteresting","-",1,1,474
"conceited","-",1,1,474
"happy","+",1,2,474
"friendly","+",1,2,474
"outstanding","+",1,2,474
"understanding","+",1,2,474
"honest","+",1,2,474
"devoted","+",1,2,474
"moral","+",1,2,474
"clever","+",1,2,474
"warm","+",1,2,474
"entertaining","+",1,2,474
"lively","+",1,2,474
"charitable","+",1,2,474
"terrific","+",1,2,474
"loyal","+",1,2,474
"elegant","+",1,2,474
"ambitious","+",1,2,474
"expressive","+",1,2,474
"respectful","+",1,2,474
"admirable","+",1,2,474
"trusting","+",1,2,474
"purposeful","+",1,2,474
"self-confident","+",1,2,474
"compassionate","+",1,2,474
"humane","+",1,2,474
"selfless","+",1,2,474
"witty","+",1,2,474
"diligent","+",1,2,474
"down-to-earth","+",1,2,474
"communicative","+",1,2,474
"sociable","+",1,2,474
"mean","-",1,2,474
"foolish","-",1,2,474
"shallow","-",1,2,474
"weak","-",1,2,474
"bitter","-",1,2,474
"lonely","-",1,2,474
"troubled","-",1,2,474
"awful","-",1,2,474
"toxic","-",1,2,474
"detached","-",1,2,474
"violent","-",1,2,474
"useless","-",1,2,474
"unpleasant","-",1,2,474
"rejected","-",1,2,474
"helpless","-",1,2,474
"cynical","-",1,2,474
"timid","-",1,2,474
"feeble","-",1,2,474
"unwise","-",1,2,474
"hopeless","-",1,2,474
