"word","valence_condition","set","run","seed"
"fun","+",1,1,560
"happy","+",1,1,560
"friendly","+",1,1,560
"generous","+",1,1,560
"brilliant","+",1,1,560
"outstanding","+",1,1,560
"understanding","+",1,1,560
"efficient","+",1,1,560
"organized","+",1,1,560
"helpful","+",1,1,560
"warm","+",1,1,560
"entertaining","+",1,1,560
"intelligent","+",1,1,560
"skilled","+",1,1,560
"lively","+",1,1,560
"amusing","+",1,1,560
"admired","+",1,1,560
"terrific","+",1,1,560
"loyal","+",1,1,560
"elegant","+",1,1,560
"enthusiastic","+",1,1,560
"respectful","+",1,1,560
"admirable","+",1,1,560
"gracious","+",1,1,560
"inventive","+",1,1,560
"selfless","+",1,1,560
"observant","+",1,1,560
"down-to-earth","+",1,1,560
"agreeable","+",1,1,560
"communicative","+",1,1,560
"mean","-",1,1,560
"foolish","-",1,1,560
"shallow","-",1,1,560
"withdrawn","-",1,1,560
"aggressive","-",1,1,560
"disturbed","-",1,1,560
"awful","-",1,1,560
"detached","-",1,1,560
"unpleasant","-",1,1,560
"rejected","-",1,1,560
"immoral","-",1,1,560
"greedy","-",1,1,560
"feeble","-",1,1,560
"unwise","-",1,1,560
"troublesome","-",1,1,560
"insensitive","-",1,1,560
"fearful","-",1,1,560
"messy","-",1,1,560
"thoughtless","-",1,1,560
"unhealthy","-",1,1,560
"uninspiring","-",1,1,560
"compulsive","-",1,1,560
"untrustworthy","-",1,1,560
"unsympathetic","-",1,1,560
"manipulative","-",1,1,560
"unethical","-",1,1,560
"prejudiced","-",1,1,560
"absent-minded","-",1,1,560
"self-critical","-",1,1,560
"conceited","-",1,1,560
"nice","+",1,2,560
"honest","+",1,2,560
"strong","+",1,2,560
"devoted","+",1,2,560
"moral","+",1,2,560
"composed","+",1,2,560
"clever","+",1,2,560
"gentle","+",1,2,560
"lucky","+",1,2,560
"mighty","+",1,2,560
"cooperative","+",1,2,560
"charitable","+",1,2,560
"brave","+",1,2,560
"ambitious","+",1,2,560
"versatile","+",1,2,560
"expressive","+",1,2,560
"sympathetic","+",1,2,560
"optimistic","+",1,2,560
"charming","+",1,2,560
"trusting","+",1,2,560
"adventurous","+",1,2,560
"purposeful","+",1,2,560
"self-confident","+",1,2,560
"playful","+",1,2,560
"compassionate","+",1,2,560
"humane","+",1,2,560
"witty","+",1,2,560
"diligent","+",1,2,560
"affectionate","+",1,2,560
"sociable","+",1,2,560
"weak","-",1,2,560
"bitter","-",1,2,560
"lonely","-",1,2,560
"troubled","-",1,2,560
"toxic","-",1,2,560
"inadequate","-",1,2,560
"offensive","-",1,2,560
"nasty","-",1,2,560
"violent","-",1,2,560
"useless","-",1,2,560
"helpless","-",1,2,560
"vicious","-",1,2,560
"cynical","-",1,2,560
"timid","-",1,2,560
"insecure","-",1,2,560
"unpopular","-",1,2,560
"lazy","-",1,2,560
"unreliable","-",1,2,560
