"word","valence_condition","set","run","seed"
"happy","+",2,1,193
"interesting","+",2,1,193
"helpful","+",2,1,193
"honest","+",2,1,193
"gentle","+",2,1,193
"sophisticated","+",2,1,193
"brave","+",2,1,193
"sympathetic","+",2,1,193
"enthusiastic","+",2,1,193
"decisive","+",2,1,193
"thorough","+",2,1,193
"innovative","+",2,1,193
"hopeful","+",2,1,193
"admirable","+",2,1,193
"humorous","+",2,1,193
"purposeful","+",2,1,193
"courteous","+",2,1,193
"respectful","+",2,1,193
"fearless","+",2,1,193
"trustworthy","+",2,1,193
"lucky","+",2,1,193
"entertaining","+",2,1,193
"outstanding","+",2,1,193
"artistic","+",2,1,193
"evil","-",2,1,193
"violent","-",2,1,193
"bitter","-",2,1,193
"dull","-",2,1,193
"withdrawn","-",2,1,193
"cruel","-",2,1,193
"unpleasant","-",2,1,193
"detached","-",2,1,193
"helpless","-",2,1,193
"rotten","-",2,1,193
"arrogant","-",2,1,193
"reckless","-",2,1,193
"greedy","-",2,1,193
"unkind","-",2,1,193
"sloppy","-",2,1,193
"envious","-",2,1,193
"obnoxious","-",2,1,193
"intolerant","-",2,1,193
"toxic","-",2,1,193
"moody","-",2,1,193
"stupid","-",2,1,193
"vicious","-",2,1,193
"good-natured","+",2,1,193
"down-to-earth","+",2,1,193
"proficient","+",2,1,193
"resourceful","+",2,1,193
"observant","+",2,1,193
"inquisitive","+",2,1,193
"hesitant","-",2,1,193
"self-indulgent","-",2,1,193
"materialistic","-",2,1,193
"childish","-",2,1,193
"brooding","-",2,1,193
"fickle","-",2,1,193
"disagreeable","-",2,1,193
"awkward","-",2,1,193
"nice","+",2,2,193
"positive","+",2,2,193
"warm","+",2,2,193
"healthy","+",2,2,193
"creative","+",2,2,193
"organized","+",2,2,193
"flexible","+",2,2,193
"reliable","+",2,2,193
"wise","+",2,2,193
"composed","+",2,2,193
"intelligent","+",2,2,193
"skilled","+",2,2,193
"elegant","+",2,2,193
"ambitious","+",2,2,193
"optimistic","+",2,2,193
"respectable","+",2,2,193
"competent","+",2,2,193
"ethical","+",2,2,193
"humble","+",2,2,193
"sincere","+",2,2,193
"dignified","+",2,2,193
"gracious","+",2,2,193
"agreeable","+",2,2,193
"affectionate","+",2,2,193
"forgiving","+",2,2,193
"communicative","+",2,2,193
"admired","+",2,2,193
"glorious","+",2,2,193
"terrible","-",2,2,193
"angry","-",2,2,193
"awful","-",2,2,193
"unhappy","-",2,2,193
"disturbed","-",2,2,193
"hostile","-",2,2,193
"troubled","-",2,2,193
"wicked","-",2,2,193
"rude","-",2,2,193
"ignorant","-",2,2,193
"ruthless","-",2,2,193
"discouraged","-",2,2,193
"irritating","-",2,2,193
"irresponsible","-",2,2,193
"immature","-",2,2,193
"pessimistic","-",2,2,193
"unfriendly","-",2,2,193
"unruly","-",2,2,193
"unsympathetic","-",2,2,193
"cowardly","-",2,2,193
"spiteful","-",2,2,193
"bad","-",2,2,193
"offensive","-",2,2,193
"self-confident","+",2,2,193
"self-discipline","+",2,2,193
"timid","-",2,2,193
"stern","-",2,2,193
"messy","-",2,2,193
"conceited","-",2,2,193
"devious","-",2,2,193
"unpopular","-",2,2,193
"argumentative","-",2,2,193
"confident","+",1,3,193
"active","+",1,3,193
"brilliant","+",1,3,193
"consistent","+",1,3,193
"fun","+",1,3,193
"pleasant","+",1,3,193
"sweet","+",1,3,193
"bright","+",1,3,193
"understanding","+",1,3,193
"grateful","+",1,3,193
"smart","+",1,3,193
"patient","+",1,3,193
"calm","+",1,3,193
"energetic","+",1,3,193
"loyal","+",1,3,193
"talented","+",1,3,193
"outgoing","+",1,3,193
"jolly","+",1,3,193
"expressive","+",1,3,193
"charitable","+",1,3,193
"cooperative","+",1,3,193
"joyful","+",1,3,193
"courageous","+",1,3,193
"knowledgeable","+",1,3,193
"humane","+",1,3,193
"truthful","+",1,3,193
"comical","+",1,3,193
"witty","+",1,3,193
"selfless","+",1,3,193
"diligent","+",1,3,193
"weak","-",1,3,193
"foolish","-",1,3,193
"shallow","-",1,3,193
"defensive","-",1,3,193
"demanding","-",1,3,193
"lonely","-",1,3,193
"dreadful","-",1,3,193
"guilty","-",1,3,193
"nasty","-",1,3,193
"harsh","-",1,3,193
"useless","-",1,3,193
"careless","-",1,3,193
"selfish","-",1,3,193
"irritable","-",1,3,193
"incompetent","-",1,3,193
"gloomy","-",1,3,193
"feeble","-",1,3,193
"irrational","-",1,3,193
"stubborn","-",1,3,193
"troublesome","-",1,3,193
"abusive","-",1,3,193
"prejudiced","-",1,3,193
"thoughtless","-",1,3,193
"boastful","-",1,3,193
"egotistical","-",1,3,193
"combative","-",1,3,193
"compulsive","-",1,3,193
"disobedient","-",1,3,193
"insecure","-",1,3,193
"uninteresting","-",1,3,193
"strong","+",1,4,193
"friendly","+",1,4,193
"generous","+",1,4,193
"mature","+",1,4,193
"efficient","+",1,4,193
"devoted","+",1,4,193
"clever","+",1,4,193
"daring","+",1,4,193
"lively","+",1,4,193
"disciplined","+",1,4,193
"mighty","+",1,4,193
"productive","+",1,4,193
"cheerful","+",1,4,193
"versatile","+",1,4,193
"charming","+",1,4,193
"polite","+",1,4,193
"amusing","+",1,4,193
"thoughtful","+",1,4,193
"terrific","+",1,4,193
"sociable","+",1,4,193
"trusting","+",1,4,193
"adventurous","+",1,4,193
"playful","+",1,4,193
"compassionate","+",1,4,193
"considerate","+",1,4,193
"dependable","+",1,4,193
"adaptable","+",1,4,193
"perceptive","+",1,4,193
"inventive","+",1,4,193
"attentive","+",1,4,193
"mean","-",1,4,193
"boring","-",1,4,193
"suspicious","-",1,4,193
"aggressive","-",1,4,193
"inadequate","-",1,4,193
"controlling","-",1,4,193
"sad","-",1,4,193
"depressed","-",1,4,193
"rejected","-",1,4,193
"volatile","-",1,4,193
"hopeless","-",1,4,193
"petty","-",1,4,193
"unreliable","-",1,4,193
"tortured","-",1,4,193
"annoying","-",1,4,193
"superficial","-",1,4,193
"lazy","-",1,4,193
"unreasonable","-",1,4,193
"jealous","-",1,4,193
"fearful","-",1,4,193
"resentful","-",1,4,193
"pompous","-",1,4,193
"self-conscious","-",1,4,193
"grumpy","-",1,4,193
"nosey","-",1,4,193
"disdainful","-",1,4,193
"self-critical","-",1,4,193
"indecisive","-",1,4,193
"mediocre","-",1,4,193
"absent-minded","-",1,4,193
