"word","valence_condition","set","run","seed"
"confident","+",1,1,36
"strong","+",1,1,36
"active","+",1,1,36
"brilliant","+",1,1,36
"friendly","+",1,1,36
"pleasant","+",1,1,36
"generous","+",1,1,36
"mature","+",1,1,36
"sweet","+",1,1,36
"understanding","+",1,1,36
"devoted","+",1,1,36
"smart","+",1,1,36
"calm","+",1,1,36
"mighty","+",1,1,36
"productive","+",1,1,36
"talented","+",1,1,36
"polite","+",1,1,36
"outgoing","+",1,1,36
"jolly","+",1,1,36
"expressive","+",1,1,36
"charitable","+",1,1,36
"cooperative","+",1,1,36
"knowledgeable","+",1,1,36
"playful","+",1,1,36
"humane","+",1,1,36
"dependable","+",1,1,36
"perceptive","+",1,1,36
"inventive","+",1,1,36
"attentive","+",1,1,36
"diligent","+",1,1,36
"mean","-",1,1,36
"shallow","-",1,1,36
"suspicious","-",1,1,36
"aggressive","-",1,1,36
"defensive","-",1,1,36
"demanding","-",1,1,36
"lonely","-",1,1,36
"dreadful","-",1,1,36
"sad","-",1,1,36
"rejected","-",1,1,36
"volatile","-",1,1,36
"petty","-",1,1,36
"tortured","-",1,1,36
"annoying","-",1,1,36
"gloomy","-",1,1,36
"superficial","-",1,1,36
"feeble","-",1,1,36
"irrational","-",1,1,36
"jealous","-",1,1,36
"fearful","-",1,1,36
"troublesome","-",1,1,36
"resentful","-",1,1,36
"grumpy","-",1,1,36
"thoughtless","-",1,1,36
"boastful","-",1,1,36
"disdainful","-",1,1,36
"compulsive","-",1,1,36
"indecisive","-",1,1,36
"mediocre","-",1,1,36
"insecure","-",1,1,36
"consistent","+",1,2,36
"fun","+",1,2,36
"bright","+",1,2,36
"efficient","+",1,2,36
"grateful","+",1,2,36
"patient","+",1,2,36
"clever","+",1,2,36
"daring","+",1,2,36
"energetic","+",1,2,36
"lively","+",1,2,36
"disciplined","+",1,2,36
"cheerful","+",1,2,36
"loyal","+",1,2,36
"versatile","+",1,2,36
"charming","+",1,2,36
"amusing","+",1,2,36
"thoughtful","+",1,2,36
"terrific","+",1,2,36
"joyful","+",1,2,36
"courageous","+",1,2,36
"sociable","+",1,2,36
"trusting","+",1,2,36
"adventurous","+",1,2,36
"compassionate","+",1,2,36
"considerate","+",1,2,36
"truthful","+",1,2,36
"adaptable","+",1,2,36
"comical","+",1,2,36
"witty","+",1,2,36
"selfless","+",1,2,36
"weak","-",1,2,36
"foolish","-",1,2,36
"boring","-",1,2,36
"guilty","-",1,2,36
"inadequate","-",1,2,36
"controlling","-",1,2,36
"nasty","-",1,2,36
"harsh","-",1,2,36
"useless","-",1,2,36
"depressed","-",1,2,36
"careless","-",1,2,36
"hopeless","-",1,2,36
"unreliable","-",1,2,36
"selfish","-",1,2,36
"irritable","-",1,2,36
"incompetent","-",1,2,36
"lazy","-",1,2,36
"unreasonable","-",1,2,36
"stubborn","-",1,2,36
"pompous","-",1,2,36
"abusive","-",1,2,36
"self-conscious","-",1,2,36
"prejudiced","-",1,2,36
"nosey","-",1,2,36
"self-critical","-",1,2,36
"egotistical","-",1,2,36
"combative","-",1,2,36
"disobedient","-",1,2,36
"absent-minded","-",1,2,36
"uninteresting","-",1,2,36
"nice","+",2,3,36
"happy","+",2,3,36
"interesting","+",2,3,36
"warm","+",2,3,36
"healthy","+",2,3,36
"helpful","+",2,3,36
"honest","+",2,3,36
"creative","+",2,3,36
"wise","+",2,3,36
"intelligent","+",2,3,36
"elegant","+",2,3,36
"enthusiastic","+",2,3,36
"optimistic","+",2,3,36
"respectable","+",2,3,36
"competent","+",2,3,36
"decisive","+",2,3,36
"thorough","+",2,3,36
"innovative","+",2,3,36
"agreeable","+",2,3,36
"purposeful","+",2,3,36
"courteous","+",2,3,36
"respectful","+",2,3,36
"fearless","+",2,3,36
"trustworthy","+",2,3,36
"communicative","+",2,3,36
"artistic","+",2,3,36
"angry","-",2,3,36
"awful","-",2,3,36
"evil","-",2,3,36
"violent","-",2,3,36
"dull","-",2,3,36
"disturbed","-",2,3,36
"unpleasant","-",2,3,36
"wicked","-",2,3,36
"rotten","-",2,3,36
"ruthless","-",2,3,36
"irritating","-",2,3,36
