"word","valence_condition","set","run","seed"
"fun","+",1,1,916
"happy","+",1,1,916
"honest","+",1,1,916
"strong","+",1,1,916
"devoted","+",1,1,916
"moral","+",1,1,916
"efficient","+",1,1,916
"helpful","+",1,1,916
"gentle","+",1,1,916
"warm","+",1,1,916
"lucky","+",1,1,916
"skilled","+",1,1,916
"lively","+",1,1,916
"amusing","+",1,1,916
"charitable","+",1,1,916
"loyal","+",1,1,916
"brave","+",1,1,916
"elegant","+",1,1,916
"ambitious","+",1,1,916
"versatile","+",1,1,916
"optimistic","+",1,1,916
"enthusiastic","+",1,1,916
"charming","+",1,1,916
"respectful","+",1,1,916
"trusting","+",1,1,916
"purposeful","+",1,1,916
"self-confident","+",1,1,916
"playful","+",1,1,916
"diligent","+",1,1,916
"agreeable","+",1,1,916
"mean","-",1,1,916
"shallow","-",1,1,916
"weak","-",1,1,916
"withdrawn","-",1,1,916
"aggressive","-",1,1,916
"disturbed","-",1,1,916
"bitter","-",1,1,916
"troubled","-",1,1,916
"awful","-",1,1,916
"toxic","-",1,1,916
"inadequate","-",1,1,916
"offensive","-",1,1,916
"nasty","-",1,1,916
"immoral","-",1,1,916
"helpless","-",1,1,916
"unpopular","-",1,1,916
"lazy","-",1,1,916
"superficial","-",1,1,916
"messy","-",1,1,916
"thoughtless","-",1,1,916
"unhealthy","-",1,1,916
"unsophisticated","-",1,1,916
"unkind","-",1,1,916
"uninspiring","-",1,1,916
"compulsive","-",1,1,916
"disagreeable","-",1,1,916
"resentful","-",1,1,916
"deceptive","-",1,1,916
"prejudiced","-",1,1,916
"materialistic","-",1,1,916
"friendly","+",1,2,916
"nice","+",1,2,916
"generous","+",1,2,916
"brilliant","+",1,2,916
"outstanding","+",1,2,916
"understanding","+",1,2,916
"composed","+",1,2,916
"organized","+",1,2,916
"clever","+",1,2,916
"mighty","+",1,2,916
"entertaining","+",1,2,916
"intelligent","+",1,2,916
"cooperative","+",1,2,916
"admired","+",1,2,916
"terrific","+",1,2,916
"expressive","+",1,2,916
"sympathetic","+",1,2,916
"admirable","+",1,2,916
"adventurous","+",1,2,916
"compassionate","+",1,2,916
"gracious","+",1,2,916
"humane","+",1,2,916
"inventive","+",1,2,916
"selfless","+",1,2,916
"witty","+",1,2,916
"observant","+",1,2,916
"down-to-earth","+",1,2,916
"communicative","+",1,2,916
"affectionate","+",1,2,916
"sociable","+",1,2,916
"foolish","-",1,2,916
"lonely","-",1,2,916
"detached","-",1,2,916
"violent","-",1,2,916
"useless","-",1,2,916
"unpleasant","-",1,2,916
"rejected","-",1,2,916
"vicious","-",1,2,916
"cynical","-",1,2,916
"greedy","-",1,2,916
"timid","-",1,2,916
"insecure","-",1,2,916
"feeble","-",1,2,916
"unwise","-",1,2,916
"troublesome","-",1,2,916
"unreliable","-",1,2,916
"hopeless","-",1,2,916
"insensitive","-",1,2,916
"fearful","-",1,2,916
"jealous","-",1,2,916
"stern","-",1,2,916
"untrustworthy","-",1,2,916
"disobedient","-",1,2,916
"unsympathetic","-",1,2,916
"manipulative","-",1,2,916
"unethical","-",1,2,916
"absent-minded","-",1,2,916
"self-critical","-",1,2,916
"uninteresting","-",1,2,916
"conceited","-",1,2,916
"responsible","+",2,3,916
"positive","+",2,3,916
"patient","+",2,3,916
"bright","+",2,3,916
"capable","+",2,3,916
"healthy","+",2,3,916
"sophisticated","+",2,3,916
"wise","+",2,3,916
"productive","+",2,3,916
"respectable","+",2,3,916
"competent","+",2,3,916
"polite","+",2,3,916
"cheerful","+",2,3,916
"thorough","+",2,3,916
"jolly","+",2,3,916
"humble","+",2,3,916
"hopeful","+",2,3,916
"energetic","+",2,3,916
"thoughtful","+",2,3,916
"humorous","+",2,3,916
"courageous","+",2,3,916
"knowledgeable","+",2,3,916
"perceptive","+",2,3,916
"courteous","+",2,3,916
"considerate","+",2,3,916
"fearless","+",2,3,916
"artistic","+",2,3,916
"terrible","-",2,3,916
"controlling","-",2,3,916
"unhappy","-",2,3,916
"cruel","-",2,3,916
"wicked","-",2,3,916
"rude","-",2,3,916
"rotten","-",2,3,916
"ignorant","-",2,3,916
"selfish","-",2,3,916
"ruthless","-",2,3,916
"careless","-",2,3,916
"reckless","-",2,3,916
"irrational","-",2,3,916
"discouraged","-",2,3,916
"annoying","-",2,3,916
"self-conscious","-",2,3,916
"dreary","-",2,3,916
"unruly","-",2,3,916
"obnoxious","-",2,3,916
"grumpy","-",2,3,916
"wasteful","-",2,3,916
"stupid","-",2,3,916
"self-disciplined","+",2,3,916
"comical","+",2,3,916
"dependable","+",2,3,916
"stubborn","-",2,3,916
"combative","-",2,3,916
"mediocre","-",2,3,916
"brooding","-",2,3,916
"fickle","-",2,3,916
"unreasonable","-",2,3,916
"disdainful","-",2,3,916
"insincere","-",2,3,916
"kind","+",2,4,916
"active","+",2,4,916
"sweet","+",2,4,916
"confident","+",2,4,916
"consistent","+",2,4,916
"calm","+",2,4,916
"grateful","+",2,4,916
"pleasant","+",2,4,916
"creative","+",2,4,916
"modest","+",2,4,916
"reliable","+",2,4,916
"mature","+",2,4,916
"smart","+",2,4,916
"decisive","+",2,4,916
"ethical","+",2,4,916
"innovative","+",2,4,916
"talented","+",2,4,916
"outgoing","+",2,4,916
"sincere","+",2,4,916
"dignified","+",2,4,916
"attentive","+",2,4,916
"adaptable","+",2,4,916
"joyful","+",2,4,916
"truthful","+",2,4,916
"forgiving","+",2,4,916
"trustworthy","+",2,4,916
"glorious","+",2,4,916
"daring","+",2,4,916
"guilty","-",2,4,916
"sad","-",2,4,916
"dull","-",2,4,916
"boring","-",2,4,916
"hostile","-",2,4,916
"harsh","-",2,4,916
"dreadful","-",2,4,916
"gloomy","-",2,4,916
"inefficient","-",2,4,916
"irresponsible","-",2,4,916
"dishonest","-",2,4,916
"pompous","-",2,4,916
"unproductive","-",2,4,916
"sloppy","-",2,4,916
"unfriendly","-",2,4,916
"envious","-",2,4,916
"cowardly","-",2,4,916
"intolerant","-",2,4,916
"bossy","-",2,4,916
"lethargic","-",2,4,916
"bad","-",2,4,916
"moody","-",2,4,916
"good-natured","+",2,4,916
"proficient","+",2,4,916
"hesitant","-",2,4,916
"defensive","-",2,4,916
"suspicious","-",2,4,916
"indecisive","-",2,4,916
"childish","-",2,4,916
"demanding","-",2,4,916
"devious","-",2,4,916
"awkward","-",2,4,916
