"word","valence_condition","set","run","seed"
"positive","+",2,1,69
"healthy","+",2,1,69
"confident","+",2,1,69
"calm","+",2,1,69
"grateful","+",2,1,69
"wise","+",2,1,69
"mature","+",2,1,69
"productive","+",2,1,69
"decisive","+",2,1,69
"polite","+",2,1,69
"cheerful","+",2,1,69
"talented","+",2,1,69
"energetic","+",2,1,69
"thoughtful","+",2,1,69
"outgoing","+",2,1,69
"sincere","+",2,1,69
"humorous","+",2,1,69
"dignified","+",2,1,69
"courageous","+",2,1,69
"perceptive","+",2,1,69
"courteous","+",2,1,69
"attentive","+",2,1,69
"adaptable","+",2,1,69
"joyful","+",2,1,69
"truthful","+",2,1,69
"trustworthy","+",2,1,69
"glorious","+",2,1,69
"daring","+",2,1,69
"terrible","-",2,1,69
"guilty","-",2,1,69
"sad","-",2,1,69
"controlling","-",2,1,69
"boring","-",2,1,69
"hostile","-",2,1,69
"harsh","-",2,1,69
"rude","-",2,1,69
"rotten","-",2,1,69
"irrational","-",2,1,69
"annoying","-",2,1,69
"irresponsible","-",2,1,69
"self-conscious","-",2,1,69
"pompous","-",2,1,69
"unproductive","-",2,1,69
"sloppy","-",2,1,69
"unruly","-",2,1,69
"envious","-",2,1,69
"obnoxious","-",2,1,69
"grumpy","-",2,1,69
"bossy","-",2,1,69
"lethargic","-",2,1,69
"bad","-",2,1,69
"moody","-",2,1,69
"proficient","+",2,1,69
"comical","+",2,1,69
"hesitant","-",2,1,69
"suspicious","-",2,1,69
"mediocre","-",2,1,69
"unreasonable","-",2,1,69
"demanding","-",2,1,69
"disdainful","-",2,1,69
"kind","+",2,2,69
"responsible","+",2,2,69
"patient","+",2,2,69
"active","+",2,2,69
"bright","+",2,2,69
"capable","+",2,2,69
"sweet","+",2,2,69
"consistent","+",2,2,69
"pleasant","+",2,2,69
"creative","+",2,2,69
"sophisticated","+",2,2,69
"modest","+",2,2,69
"reliable","+",2,2,69
"smart","+",2,2,69
"respectable","+",2,2,69
"competent","+",2,2,69
"ethical","+",2,2,69
"thorough","+",2,2,69
"innovative","+",2,2,69
"jolly","+",2,2,69
"humble","+",2,2,69
"hopeful","+",2,2,69
"knowledgeable","+",2,2,69
"considerate","+",2,2,69
"fearless","+",2,2,69
"forgiving","+",2,2,69
"artistic","+",2,2,69
"unhappy","-",2,2,69
"dull","-",2,2,69
"dreadful","-",2,2,69
"cruel","-",2,2,69
"wicked","-",2,2,69
"ignorant","-",2,2,69
"selfish","-",2,2,69
"gloomy","-",2,2,69
"ruthless","-",2,2,69
"inefficient","-",2,2,69
"careless","-",2,2,69
"reckless","-",2,2,69
"discouraged","-",2,2,69
"dishonest","-",2,2,69
"dreary","-",2,2,69
"unfriendly","-",2,2,69
"cowardly","-",2,2,69
"intolerant","-",2,2,69
"wasteful","-",2,2,69
"stupid","-",2,2,69
"good-natured","+",2,2,69
"self-disciplined","+",2,2,69
"dependable","+",2,2,69
"stubborn","-",2,2,69
"defensive","-",2,2,69
"combative","-",2,2,69
"indecisive","-",2,2,69
"childish","-",2,2,69
"brooding","-",2,2,69
"fickle","-",2,2,69
"devious","-",2,2,69
"awkward","-",2,2,69
"insincere","-",2,2,69
"fun","+",1,3,69
"friendly","+",1,3,69
"nice","+",1,3,69
"brilliant","+",1,3,69
"outstanding","+",1,3,69
"understanding","+",1,3,69
"strong","+",1,3,69
"devoted","+",1,3,69
"moral","+",1,3,69
"lucky","+",1,3,69
"mighty","+",1,3,69
"amusing","+",1,3,69
"charitable","+",1,3,69
"terrific","+",1,3,69
"loyal","+",1,3,69
"brave","+",1,3,69
"ambitious","+",1,3,69
"expressive","+",1,3,69
"optimistic","+",1,3,69
"charming","+",1,3,69
"admirable","+",1,3,69
"trusting","+",1,3,69
"purposeful","+",1,3,69
"self-confident","+",1,3,69
"compassionate","+",1,3,69
"gracious","+",1,3,69
"inventive","+",1,3,69
"selfless","+",1,3,69
"witty","+",1,3,69
"communicative","+",1,3,69
"foolish","-",1,3,69
"shallow","-",1,3,69
"weak","-",1,3,69
