"word","valence_condition","set","run","seed"
"fun","+",1,1,416
"friendly","+",1,1,416
"brilliant","+",1,1,416
"outstanding","+",1,1,416
"honest","+",1,1,416
"strong","+",1,1,416
"moral","+",1,1,416
"efficient","+",1,1,416
"organized","+",1,1,416
"clever","+",1,1,416
"gentle","+",1,1,416
"lucky","+",1,1,416
"mighty","+",1,1,416
"skilled","+",1,1,416
"lively","+",1,1,416
"cooperative","+",1,1,416
"amusing","+",1,1,416
"charitable","+",1,1,416
"brave","+",1,1,416
"versatile","+",1,1,416
"playful","+",1,1,416
"gracious","+",1,1,416
"humane","+",1,1,416
"inventive","+",1,1,416
"selfless","+",1,1,416
"witty","+",1,1,416
"observant","+",1,1,416
"down-to-earth","+",1,1,416
"agreeable","+",1,1,416
"affectionate","+",1,1,416
"mean","-",1,1,416
"foolish","-",1,1,416
"shallow","-",1,1,416
"weak","-",1,1,416
"lonely","-",1,1,416
"awful","-",1,1,416
"inadequate","-",1,1,416
"offensive","-",1,1,416
"useless","-",1,1,416
"immoral","-",1,1,416
"vicious","-",1,1,416
"greedy","-",1,1,416
"timid","-",1,1,416
"insecure","-",1,1,416
"lazy","-",1,1,416
"unreliable","-",1,1,416
"jealous","-",1,1,416
"messy","-",1,1,416
"stern","-",1,1,416
"thoughtless","-",1,1,416
"unsophisticated","-",1,1,416
"compulsive","-",1,1,416
"untrustworthy","-",1,1,416
"disagreeable","-",1,1,416
"unsympathetic","-",1,1,416
"resentful","-",1,1,416
"deceptive","-",1,1,416
"absent-minded","-",1,1,416
"conceited","-",1,1,416
"materialistic","-",1,1,416
"happy","+",1,2,416
"nice","+",1,2,416
"generous","+",1,2,416
"understanding","+",1,2,416
"devoted","+",1,2,416
"composed","+",1,2,416
"helpful","+",1,2,416
"warm","+",1,2,416
"entertaining","+",1,2,416
"intelligent","+",1,2,416
"admired","+",1,2,416
"terrific","+",1,2,416
"loyal","+",1,2,416
"elegant","+",1,2,416
"ambitious","+",1,2,416
"expressive","+",1,2,416
"sympathetic","+",1,2,416
