"word","valence_condition","set","run","seed"
"happy","+",1,1,128
"nice","+",1,1,128
"understanding","+",1,1,128
"honest","+",1,1,128
"strong","+",1,1,128
"composed","+",1,1,128
"organized","+",1,1,128
"gentle","+",1,1,128
"lucky","+",1,1,128
"mighty","+",1,1,128
"entertaining","+",1,1,128
"intelligent","+",1,1,128
"skilled","+",1,1,128
"lively","+",1,1,128
"admired","+",1,1,128
"elegant","+",1,1,128
"versatile","+",1,1,128
"expressive","+",1,1,128
"sympathetic","+",1,1,128
"optimistic","+",1,1,128
"enthusiastic","+",1,1,128
"admirable","+",1,1,128
"trusting","+",1,1,128
"adventurous","+",1,1,128
"gracious","+",1,1,128
"selfless","+",1,1,128
"witty","+",1,1,128
"agreeable","+",1,1,128
"communicative","+",1,1,128
"affectionate","+",1,1,128
"mean","-",1,1,128
"foolish","-",1,1,128
"aggressive","-",1,1,128
"disturbed","-",1,1,128
"troubled","-",1,1,128
"awful","-",1,1,128
"toxic","-",1,1,128
"nasty","-",1,1,128
"useless","-",1,1,128
"rejected","-",1,1,128
"immoral","-",1,1,128
"cynical","-",1,1,128
"feeble","-",1,1,128
"unpopular","-",1,1,128
"lazy","-",1,1,128
"troublesome","-",1,1,128
"fearful","-",1,1,128
"superficial","-",1,1,128
"stern","-",1,1,128
"unhealthy","-",1,1,128
"unsophisticated","-",1,1,128
"compulsive","-",1,1,128
"untrustworthy","-",1,1,128
"disagreeable","-",1,1,128
"resentful","-",1,1,128
"unethical","-",1,1,128
"deceptive","-",1,1,128
"absent-minded","-",1,1,128
"self-critical","-",1,1,128
"uninteresting","-",1,1,128
"fun","+",1,2,128
"friendly","+",1,2,128
"generous","+",1,2,128
"brilliant","+",1,2,128
"outstanding","+",1,2,128
"devoted","+",1,2,128
"moral","+",1,2,128
"efficient","+",1,2,128
"clever","+",1,2,128
"helpful","+",1,2,128
"warm","+",1,2,128
"cooperative","+",1,2,128
"amusing","+",1,2,128
"charitable","+",1,2,128
"terrific","+",1,2,128
"loyal","+",1,2,128
"brave","+",1,2,128
"ambitious","+",1,2,128
"charming","+",1,2,128
"respectful","+",1,2,128
"purposeful","+",1,2,128
"self-confident","+",1,2,128
"playful","+",1,2,128
"compassionate","+",1,2,128
"humane","+",1,2,128
"inventive","+",1,2,128
"observant","+",1,2,128
"diligent","+",1,2,128
"down-to-earth","+",1,2,128
"sociable","+",1,2,128
"shallow","-",1,2,128
"weak","-",1,2,128
"withdrawn","-",1,2,128
"bitter","-",1,2,128
"lonely","-",1,2,128
"detached","-",1,2,128
"inadequate","-",1,2,128
"offensive","-",1,2,128
"violent","-",1,2,128
"unpleasant","-",1,2,128
"helpless","-",1,2,128
"vicious","-",1,2,128
"greedy","-",1,2,128
"timid","-",1,2,128
"insecure","-",1,2,128
"unwise","-",1,2,128
"unreliable","-",1,2,128
"hopeless","-",1,2,128
"insensitive","-",1,2,128
"jealous","-",1,2,128
"messy","-",1,2,128
"thoughtless","-",1,2,128
"unkind","-",1,2,128
"uninspiring","-",1,2,128
"disobedient","-",1,2,128
"unsympathetic","-",1,2,128
"manipulative","-",1,2,128
"prejudiced","-",1,2,128
"conceited","-",1,2,128
"materialistic","-",1,2,128
"kind","+",2,3,128
"patient","+",2,3,128
"active","+",2,3,128
"bright","+",2,3,128
"capable","+",2,3,128
"sweet","+",2,3,128
"confident","+",2,3,128
"sophisticated","+",2,3,128
"wise","+",2,3,128
"smart","+",2,3,128
"productive","+",2,3,128
"respectable","+",2,3,128
"decisive","+",2,3,128
"polite","+",2,3,128
"ethical","+",2,3,128
"innovative","+",2,3,128
"jolly","+",2,3,128
"talented","+",2,3,128
"humble","+",2,3,128
"thoughtful","+",2,3,128
"sincere","+",2,3,128
"courageous","+",2,3,128
"perceptive","+",2,3,128
"attentive","+",2,3,128
"considerate","+",2,3,128
"truthful","+",2,3,128
"forgiving","+",2,3,128
"trustworthy","+",2,3,128
"daring","+",2,3,128
"terrible","-",2,3,128
"controlling","-",2,3,128
"harsh","-",2,3,128
"dreadful","-",2,3,128
"cruel","-",2,3,128
"wicked","-",2,3,128
"rude","-",2,3,128
"rotten","-",2,3,128
"gloomy","-",2,3,128
"ruthless","-",2,3,128
"careless","-",2,3,128
"irrational","-",2,3,128
"dishonest","-",2,3,128
"self-conscious","-",2,3,128
"unproductive","-",2,3,128
"sloppy","-",2,3,128
"unruly","-",2,3,128
"cowardly","-",2,3,128
"intolerant","-",2,3,128
"grumpy","-",2,3,128
"moody","-",2,3,128
"wasteful","-",2,3,128
"proficient","+",2,3,128
"hesitant","-",2,3,128
"defensive","-",2,3,128
"mediocre","-",2,3,128
"indecisive","-",2,3,128
"childish","-",2,3,128
"demanding","-",2,3,128
"devious","-",2,3,128
"disdainful","-",2,3,128
"responsible","+",2,4,128
"positive","+",2,4,128
"healthy","+",2,4,128
"consistent","+",2,4,128
"calm","+",2,4,128
"grateful","+",2,4,128
"pleasant","+",2,4,128
"creative","+",2,4,128
"modest","+",2,4,128
"reliable","+",2,4,128
"mature","+",2,4,128
"competent","+",2,4,128
"cheerful","+",2,4,128
"thorough","+",2,4,128
"hopeful","+",2,4,128
"energetic","+",2,4,128
"outgoing","+",2,4,128
"humorous","+",2,4,128
"dignified","+",2,4,128
"knowledgeable","+",2,4,128
"courteous","+",2,4,128
"adaptable","+",2,4,128
"joyful","+",2,4,128
"fearless","+",2,4,128
"artistic","+",2,4,128
"glorious","+",2,4,128
"guilty","-",2,4,128
"sad","-",2,4,128
"unhappy","-",2,4,128
"dull","-",2,4,128
"boring","-",2,4,128
"hostile","-",2,4,128
"ignorant","-",2,4,128
"selfish","-",2,4,128
"inefficient","-",2,4,128
"reckless","-",2,4,128
"discouraged","-",2,4,128
"annoying","-",2,4,128
"irresponsible","-",2,4,128
"dreary","-",2,4,128
"pompous","-",2,4,128
"unfriendly","-",2,4,128
"envious","-",2,4,128
"obnoxious","-",2,4,128
"bossy","-",2,4,128
"lethargic","-",2,4,128
"bad","-",2,4,128
"stupid","-",2,4,128
"good-natured","+",2,4,128
"self-disciplined","+",2,4,128
"comical","+",2,4,128
"dependable","+",2,4,128
"stubborn","-",2,4,128
"combative","-",2,4,128
"suspicious","-",2,4,128
"brooding","-",2,4,128
"fickle","-",2,4,128
"unreasonable","-",2,4,128
"awkward","-",2,4,128
"insincere","-",2,4,128
