"word","valence_condition","set","run","seed"
"confident","+",1,1,190
"brilliant","+",1,1,190
"consistent","+",1,1,190
"friendly","+",1,1,190
"fun","+",1,1,190
"pleasant","+",1,1,190
"generous","+",1,1,190
"smart","+",1,1,190
"daring","+",1,1,190
"energetic","+",1,1,190
"disciplined","+",1,1,190
"loyal","+",1,1,190
"versatile","+",1,1,190
"charming","+",1,1,190
"polite","+",1,1,190
"jolly","+",1,1,190
"amusing","+",1,1,190
"thoughtful","+",1,1,190
"adventurous","+",1,1,190
"knowledgeable","+",1,1,190
"playful","+",1,1,190
"compassionate","+",1,1,190
"humane","+",1,1,190
"considerate","+",1,1,190
"dependable","+",1,1,190
"comical","+",1,1,190
"inventive","+",1,1,190
"witty","+",1,1,190
"attentive","+",1,1,190
"diligent","+",1,1,190
"mean","-",1,1,190
"weak","-",1,1,190
"foolish","-",1,1,190
"boring","-",1,1,190
"demanding","-",1,1,190
"inadequate","-",1,1,190
"harsh","-",1,1,190
"rejected","-",1,1,190
"volatile","-",1,1,190
"hopeless","-",1,1,190
"selfish","-",1,1,190
"irritable","-",1,1,190
"incompetent","-",1,1,190
"superficial","-",1,1,190
"lazy","-",1,1,190
"irrational","-",1,1,190
"jealous","-",1,1,190
"stubborn","-",1,1,190
"pompous","-",1,1,190
"self-conscious","-",1,1,190
"thoughtless","-",1,1,190
"nosey","-",1,1,190
"boastful","-",1,1,190
"disdainful","-",1,1,190
"self-critical","-",1,1,190
"combative","-",1,1,190
"compulsive","-",1,1,190
"indecisive","-",1,1,190
"mediocre","-",1,1,190
"uninteresting","-",1,1,190
"strong","+",1,2,190
"active","+",1,2,190
"mature","+",1,2,190
"sweet","+",1,2,190
"bright","+",1,2,190
"efficient","+",1,2,190
"understanding","+",1,2,190
"devoted","+",1,2,190
"grateful","+",1,2,190
"patient","+",1,2,190
"calm","+",1,2,190
"clever","+",1,2,190
"lively","+",1,2,190
"mighty","+",1,2,190
"productive","+",1,2,190
"cheerful","+",1,2,190
"talented","+",1,2,190
"outgoing","+",1,2,190
"expressive","+",1,2,190
"charitable","+",1,2,190
"cooperative","+",1,2,190
"terrific","+",1,2,190
"joyful","+",1,2,190
"courageous","+",1,2,190
"sociable","+",1,2,190
"trusting","+",1,2,190
"truthful","+",1,2,190
"adaptable","+",1,2,190
"perceptive","+",1,2,190
"selfless","+",1,2,190
"shallow","-",1,2,190
"suspicious","-",1,2,190
"aggressive","-",1,2,190
"defensive","-",1,2,190
"lonely","-",1,2,190
"dreadful","-",1,2,190
"guilty","-",1,2,190
"controlling","-",1,2,190
"sad","-",1,2,190
"nasty","-",1,2,190
"useless","-",1,2,190
"depressed","-",1,2,190
"careless","-",1,2,190
"petty","-",1,2,190
"unreliable","-",1,2,190
"tortured","-",1,2,190
"annoying","-",1,2,190
"gloomy","-",1,2,190
"unreasonable","-",1,2,190
"feeble","-",1,2,190
"fearful","-",1,2,190
"troublesome","-",1,2,190
"resentful","-",1,2,190
"abusive","-",1,2,190
"prejudiced","-",1,2,190
"grumpy","-",1,2,190
"egotistical","-",1,2,190
"disobedient","-",1,2,190
"absent-minded","-",1,2,190
"insecure","-",1,2,190
"nice","+",2,3,190
"positive","+",2,3,190
"healthy","+",2,3,190
"gentle","+",2,3,190
"creative","+",2,3,190
"organized","+",2,3,190
"wise","+",2,3,190
"composed","+",2,3,190
"intelligent","+",2,3,190
"brave","+",2,3,190
"skilled","+",2,3,190
"ambitious","+",2,3,190
"competent","+",2,3,190
"humble","+",2,3,190
"hopeful","+",2,3,190
"sincere","+",2,3,190
"admirable","+",2,3,190
"humorous","+",2,3,190
"gracious","+",2,3,190
"agreeable","+",2,3,190
"courteous","+",2,3,190
"fearless","+",2,3,190
"forgiving","+",2,3,190
"entertaining","+",2,3,190
"glorious","+",2,3,190
"angry","-",2,3,190
"awful","-",2,3,190
"violent","-",2,3,190
"unhappy","-",2,3,190
"dull","-",2,3,190
"disturbed","-",2,3,190
"hostile","-",2,3,190
"troubled","-",2,3,190
"unpleasant","-",2,3,190
"wicked","-",2,3,190
"rude","-",2,3,190
"helpless","-",2,3,190
"ruthless","-",2,3,190
"arrogant","-",2,3,190
"greedy","-",2,3,190
"discouraged","-",2,3,190
"irritating","-",2,3,190
"unkind","-",2,3,190
"sloppy","-",2,3,190
"unfriendly","-",2,3,190
"intolerant","-",2,3,190
"bad","-",2,3,190
"toxic","-",2,3,190
"moody","-",2,3,190
"offensive","-",2,3,190
"vicious","-",2,3,190
"good-natured","+",2,3,190
"self-confident","+",2,3,190
"proficient","+",2,3,190
"self-discipline","+",2,3,190
"inquisitive","+",2,3,190
"timid","-",2,3,190
