"word","valence_condition","set","run","seed"
"fun","+",1,1,336
"happy","+",1,1,336
"friendly","+",1,1,336
"brilliant","+",1,1,336
"understanding","+",1,1,336
"strong","+",1,1,336
"moral","+",1,1,336
"efficient","+",1,1,336
"organized","+",1,1,336
"clever","+",1,1,336
"gentle","+",1,1,336
"mighty","+",1,1,336
"entertaining","+",1,1,336
"charitable","+",1,1,336
"admired","+",1,1,336
"terrific","+",1,1,336
"elegant","+",1,1,336
"ambitious","+",1,1,336
"versatile","+",1,1,336
"sympathetic","+",1,1,336
"optimistic","+",1,1,336
"purposeful","+",1,1,336
"playful","+",1,1,336
"compassionate","+",1,1,336
"inventive","+",1,1,336
"observant","+",1,1,336
"diligent","+",1,1,336
"down-to-earth","+",1,1,336
"communicative","+",1,1,336
"affectionate","+",1,1,336
"mean","-",1,1,336
"weak","-",1,1,336
"aggressive","-",1,1,336
"disturbed","-",1,1,336
"bitter","-",1,1,336
"lonely","-",1,1,336
"toxic","-",1,1,336
"detached","-",1,1,336
"useless","-",1,1,336
"unpleasant","-",1,1,336
"rejected","-",1,1,336
"helpless","-",1,1,336
"vicious","-",1,1,336
"greedy","-",1,1,336
"feeble","-",1,1,336
"unpopular","-",1,1,336
"lazy","-",1,1,336
"unwise","-",1,1,336
"troublesome","-",1,1,336
"insensitive","-",1,1,336
"jealous","-",1,1,336
"stern","-",1,1,336
"unhealthy","-",1,1,336
"uninspiring","-",1,1,336
"compulsive","-",1,1,336
"unethical","-",1,1,336
"deceptive","-",1,1,336
"absent-minded","-",1,1,336
"uninteresting","-",1,1,336
"conceited","-",1,1,336
"nice","+",1,2,336
"generous","+",1,2,336
"outstanding","+",1,2,336
"honest","+",1,2,336
"devoted","+",1,2,336
"composed","+",1,2,336
"helpful","+",1,2,336
"warm","+",1,2,336
"lucky","+",1,2,336
"intelligent","+",1,2,336
"skilled","+",1,2,336
"lively","+",1,2,336
"cooperative","+",1,2,336
"amusing","+",1,2,336
"loyal","+",1,2,336
"brave","+",1,2,336
"expressive","+",1,2,336
"enthusiastic","+",1,2,336
"charming","+",1,2,336
"respectful","+",1,2,336
"admirable","+",1,2,336
"trusting","+",1,2,336
"adventurous","+",1,2,336
"self-confident","+",1,2,336
"gracious","+",1,2,336
"humane","+",1,2,336
"selfless","+",1,2,336
"witty","+",1,2,336
"agreeable","+",1,2,336
"sociable","+",1,2,336
"foolish","-",1,2,336
"shallow","-",1,2,336
"withdrawn","-",1,2,336
"troubled","-",1,2,336
"awful","-",1,2,336
"inadequate","-",1,2,336
"offensive","-",1,2,336
"nasty","-",1,2,336
"violent","-",1,2,336
"immoral","-",1,2,336
"cynical","-",1,2,336
"timid","-",1,2,336
"insecure","-",1,2,336
"unreliable","-",1,2,336
"hopeless","-",1,2,336
"fearful","-",1,2,336
"superficial","-",1,2,336
"messy","-",1,2,336
"thoughtless","-",1,2,336
"unsophisticated","-",1,2,336
"unkind","-",1,2,336
"untrustworthy","-",1,2,336
"disagreeable","-",1,2,336
"disobedient","-",1,2,336
"unsympathetic","-",1,2,336
"resentful","-",1,2,336
"manipulative","-",1,2,336
