"word","valence_condition","set","run","seed"
"kind","+",2,1,91
"responsible","+",2,1,91
"positive","+",2,1,91
"patient","+",2,1,91
"active","+",2,1,91
"sweet","+",2,1,91
"healthy","+",2,1,91
"consistent","+",2,1,91
"grateful","+",2,1,91
"pleasant","+",2,1,91
"creative","+",2,1,91
"modest","+",2,1,91
"reliable","+",2,1,91
"smart","+",2,1,91
"thorough","+",2,1,91
"talented","+",2,1,91
"hopeful","+",2,1,91
"thoughtful","+",2,1,91
"sincere","+",2,1,91
"humorous","+",2,1,91
"dignified","+",2,1,91
"perceptive","+",2,1,91
"courteous","+",2,1,91
"attentive","+",2,1,91
"adaptable","+",2,1,91
"forgiving","+",2,1,91
"artistic","+",2,1,91
"daring","+",2,1,91
"sad","-",2,1,91
"dull","-",2,1,91
"hostile","-",2,1,91
"dreadful","-",2,1,91
"cruel","-",2,1,91
"rotten","-",2,1,91
"ignorant","-",2,1,91
"selfish","-",2,1,91
"ruthless","-",2,1,91
"reckless","-",2,1,91
"irrational","-",2,1,91
"discouraged","-",2,1,91
"annoying","-",2,1,91
"dishonest","-",2,1,91
"dreary","-",2,1,91
"pompous","-",2,1,91
"unproductive","-",2,1,91
"sloppy","-",2,1,91
"unfriendly","-",2,1,91
"unruly","-",2,1,91
"obnoxious","-",2,1,91
"bad","-",2,1,91
"moody","-",2,1,91
"wasteful","-",2,1,91
"stupid","-",2,1,91
"proficient","+",2,1,91
"dependable","+",2,1,91
"hesitant","-",2,1,91
"suspicious","-",2,1,91
"fickle","-",2,1,91
"unreasonable","-",2,1,91
"insincere","-",2,1,91
"bright","+",2,2,91
"capable","+",2,2,91
"confident","+",2,2,91
"calm","+",2,2,91
"sophisticated","+",2,2,91
"wise","+",2,2,91
"mature","+",2,2,91
"productive","+",2,2,91
"respectable","+",2,2,91
"competent","+",2,2,91
"decisive","+",2,2,91
"polite","+",2,2,91
"cheerful","+",2,2,91
"ethical","+",2,2,91
"innovative","+",2,2,91
"jolly","+",2,2,91
"humble","+",2,2,91
"energetic","+",2,2,91
"outgoing","+",2,2,91
"courageous","+",2,2,91
"knowledgeable","+",2,2,91
"joyful","+",2,2,91
"considerate","+",2,2,91
"truthful","+",2,2,91
"fearless","+",2,2,91
"trustworthy","+",2,2,91
"glorious","+",2,2,91
"terrible","-",2,2,91
"guilty","-",2,2,91
"controlling","-",2,2,91
"unhappy","-",2,2,91
"boring","-",2,2,91
"harsh","-",2,2,91
"wicked","-",2,2,91
"rude","-",2,2,91
"gloomy","-",2,2,91
"inefficient","-",2,2,91
"careless","-",2,2,91
"irresponsible","-",2,2,91
"self-conscious","-",2,2,91
"envious","-",2,2,91
"cowardly","-",2,2,91
"intolerant","-",2,2,91
"grumpy","-",2,2,91
"bossy","-",2,2,91
"lethargic","-",2,2,91
"good-natured","+",2,2,91
"self-disciplined","+",2,2,91
"comical","+",2,2,91
"stubborn","-",2,2,91
"defensive","-",2,2,91
"combative","-",2,2,91
"mediocre","-",2,2,91
"indecisive","-",2,2,91
"childish","-",2,2,91
"brooding","-",2,2,91
"demanding","-",2,2,91
"devious","-",2,2,91
"awkward","-",2,2,91
"disdainful","-",2,2,91
"fun","+",1,3,91
"happy","+",1,3,91
"friendly","+",1,3,91
"nice","+",1,3,91
"strong","+",1,3,91
"moral","+",1,3,91
"composed","+",1,3,91
"efficient","+",1,3,91
"clever","+",1,3,91
"helpful","+",1,3,91
"warm","+",1,3,91
"mighty","+",1,3,91
"skilled","+",1,3,91
"lively","+",1,3,91
"cooperative","+",1,3,91
"charitable","+",1,3,91
"ambitious","+",1,3,91
"versatile","+",1,3,91
"admirable","+",1,3,91
"purposeful","+",1,3,91
"self-confident","+",1,3,91
"humane","+",1,3,91
"inventive","+",1,3,91
"selfless","+",1,3,91
"witty","+",1,3,91
"diligent","+",1,3,91
"agreeable","+",1,3,91
"communicative","+",1,3,91
"affectionate","+",1,3,91
"sociable","+",1,3,91
"mean","-",1,3,91
"foolish","-",1,3,91
"weak","-",1,3,91
"disturbed","-",1,3,91
"offensive","-",1,3,91
"nasty","-",1,3,91
"violent","-",1,3,91
"useless","-",1,3,91
"rejected","-",1,3,91
"feeble","-",1,3,91
"unpopular","-",1,3,91
"lazy","-",1,3,91
"unwise","-",1,3,91
"troublesome","-",1,3,91
"unreliable","-",1,3,91
"insensitive","-",1,3,91
"fearful","-",1,3,91
"superficial","-",1,3,91
"unhealthy","-",1,3,91
"unsophisticated","-",1,3,91
"uninspiring","-",1,3,91
"compulsive","-",1,3,91
"untrustworthy","-",1,3,91
"disagreeable","-",1,3,91
"disobedient","-",1,3,91
"resentful","-",1,3,91
"manipulative","-",1,3,91
"deceptive","-",1,3,91
"prejudiced","-",1,3,91
"absent-minded","-",1,3,91
"generous","+",1,4,91
"brilliant","+",1,4,91
"outstanding","+",1,4,91
"understanding","+",1,4,91
"honest","+",1,4,91
"devoted","+",1,4,91
"organized","+",1,4,91
"gentle","+",1,4,91
"lucky","+",1,4,91
"entertaining","+",1,4,91
"intelligent","+",1,4,91
"amusing","+",1,4,91
"admired","+",1,4,91
"terrific","+",1,4,91
"loyal","+",1,4,91
"brave","+",1,4,91
"elegant","+",1,4,91
"expressive","+",1,4,91
"sympathetic","+",1,4,91
"optimistic","+",1,4,91
"enthusiastic","+",1,4,91
"charming","+",1,4,91
"respectful","+",1,4,91
"trusting","+",1,4,91
"adventurous","+",1,4,91
"playful","+",1,4,91
"compassionate","+",1,4,91
"gracious","+",1,4,91
"observant","+",1,4,91
"down-to-earth","+",1,4,91
"shallow","-",1,4,91
"withdrawn","-",1,4,91
"aggressive","-",1,4,91
"bitter","-",1,4,91
"lonely","-",1,4,91
"troubled","-",1,4,91
"awful","-",1,4,91
"toxic","-",1,4,91
"detached","-",1,4,91
"inadequate","-",1,4,91
"unpleasant","-",1,4,91
"immoral","-",1,4,91
"helpless","-",1,4,91
"vicious","-",1,4,91
"cynical","-",1,4,91
"greedy","-",1,4,91
"timid","-",1,4,91
"insecure","-",1,4,91
"hopeless","-",1,4,91
"jealous","-",1,4,91
"messy","-",1,4,91
"stern","-",1,4,91
"thoughtless","-",1,4,91
"unkind","-",1,4,91
"unsympathetic","-",1,4,91
"unethical","-",1,4,91
"self-critical","-",1,4,91
"uninteresting","-",1,4,91
"conceited","-",1,4,91
"materialistic","-",1,4,91
