"word","valence_condition","set","run","seed"
"responsible","+",2,1,185
"active","+",2,1,185
"capable","+",2,1,185
"sweet","+",2,1,185
"healthy","+",2,1,185
"confident","+",2,1,185
"wise","+",2,1,185
"smart","+",2,1,185
"respectable","+",2,1,185
"competent","+",2,1,185
"decisive","+",2,1,185
"cheerful","+",2,1,185
"thorough","+",2,1,185
"innovative","+",2,1,185
"talented","+",2,1,185
"humble","+",2,1,185
"hopeful","+",2,1,185
"outgoing","+",2,1,185
"dignified","+",2,1,185
"knowledgeable","+",2,1,185
"perceptive","+",2,1,185
"courteous","+",2,1,185
"attentive","+",2,1,185
"considerate","+",2,1,185
"truthful","+",2,1,185
"forgiving","+",2,1,185
"artistic","+",2,1,185
"glorious","+",2,1,185
"daring","+",2,1,185
"terrible","-",2,1,185
"unhappy","-",2,1,185
"hostile","-",2,1,185
"dreadful","-",2,1,185
"wicked","-",2,1,185
"rude","-",2,1,185
"ignorant","-",2,1,185
"selfish","-",2,1,185
"gloomy","-",2,1,185
"inefficient","-",2,1,185
"discouraged","-",2,1,185
"annoying","-",2,1,185
"self-conscious","-",2,1,185
"unproductive","-",2,1,185
"unfriendly","-",2,1,185
"grumpy","-",2,1,185
"bossy","-",2,1,185
"lethargic","-",2,1,185
"wasteful","-",2,1,185
"stupid","-",2,1,185
"dependable","+",2,1,185
"stubborn","-",2,1,185
"defensive","-",2,1,185
"suspicious","-",2,1,185
"mediocre","-",2,1,185
"indecisive","-",2,1,185
"brooding","-",2,1,185
"fickle","-",2,1,185
"demanding","-",2,1,185
"devious","-",2,1,185
"insincere","-",2,1,185
"kind","+",2,2,185
"positive","+",2,2,185
"patient","+",2,2,185
"bright","+",2,2,185
"consistent","+",2,2,185
"calm","+",2,2,185
"grateful","+",2,2,185
"pleasant","+",2,2,185
"creative","+",2,2,185
"sophisticated","+",2,2,185
"modest","+",2,2,185
"reliable","+",2,2,185
"mature","+",2,2,185
"productive","+",2,2,185
"polite","+",2,2,185
"ethical","+",2,2,185
"jolly","+",2,2,185
"energetic","+",2,2,185
"thoughtful","+",2,2,185
"sincere","+",2,2,185
"humorous","+",2,2,185
"courageous","+",2,2,185
"adaptable","+",2,2,185
"joyful","+",2,2,185
"fearless","+",2,2,185
"trustworthy","+",2,2,185
"guilty","-",2,2,185
"sad","-",2,2,185
"controlling","-",2,2,185
"dull","-",2,2,185
"boring","-",2,2,185
"harsh","-",2,2,185
"cruel","-",2,2,185
"rotten","-",2,2,185
"ruthless","-",2,2,185
"careless","-",2,2,185
"reckless","-",2,2,185
"irrational","-",2,2,185
"irresponsible","-",2,2,185
"dishonest","-",2,2,185
"dreary","-",2,2,185
"pompous","-",2,2,185
"sloppy","-",2,2,185
"unruly","-",2,2,185
"envious","-",2,2,185
"cowardly","-",2,2,185
"obnoxious","-",2,2,185
"intolerant","-",2,2,185
"bad","-",2,2,185
"moody","-",2,2,185
"good-natured","+",2,2,185
"proficient","+",2,2,185
"self-disciplined","+",2,2,185
"comical","+",2,2,185
"hesitant","-",2,2,185
"combative","-",2,2,185
"childish","-",2,2,185
"unreasonable","-",2,2,185
"awkward","-",2,2,185
"disdainful","-",2,2,185
