"word","valence_condition","set","run","seed"
"positive","+",2,1,633
"active","+",2,1,633
"bright","+",2,1,633
"confident","+",2,1,633
"pleasant","+",2,1,633
"modest","+",2,1,633
"wise","+",2,1,633
"mature","+",2,1,633
"smart","+",2,1,633
"respectable","+",2,1,633
"decisive","+",2,1,633
"polite","+",2,1,633
"ethical","+",2,1,633
"thorough","+",2,1,633
"innovative","+",2,1,633
"hopeful","+",2,1,633
"energetic","+",2,1,633
"thoughtful","+",2,1,633
"dignified","+",2,1,633
"perceptive","+",2,1,633
"courteous","+",2,1,633
"attentive","+",2,1,633
"truthful","+",2,1,633
"forgiving","+",2,1,633
"trustworthy","+",2,1,633
"artistic","+",2,1,633
"glorious","+",2,1,633
"daring","+",2,1,633
"sad","-",2,1,633
"controlling","-",2,1,633
"unhappy","-",2,1,633
"dull","-",2,1,633
"boring","-",2,1,633
"harsh","-",2,1,633
"dreadful","-",2,1,633
"cruel","-",2,1,633
"wicked","-",2,1,633
"ignorant","-",2,1,633
"inefficient","-",2,1,633
"careless","-",2,1,633
"reckless","-",2,1,633
"irrational","-",2,1,633
"discouraged","-",2,1,633
"annoying","-",2,1,633
"self-conscious","-",2,1,633
"pompous","-",2,1,633
"unruly","-",2,1,633
"envious","-",2,1,633
"cowardly","-",2,1,633
"intolerant","-",2,1,633
"bad","-",2,1,633
"wasteful","-",2,1,633
"good-natured","+",2,1,633
"comical","+",2,1,633
"hesitant","-",2,1,633
"stubborn","-",2,1,633
"fickle","-",2,1,633
"unreasonable","-",2,1,633
"demanding","-",2,1,633
"disdainful","-",2,1,633
"kind","+",2,2,633
"responsible","+",2,2,633
"patient","+",2,2,633
"capable","+",2,2,633
"sweet","+",2,2,633
"healthy","+",2,2,633
"consistent","+",2,2,633
"calm","+",2,2,633
"grateful","+",2,2,633
"creative","+",2,2,633
"sophisticated","+",2,2,633
"reliable","+",2,2,633
"productive","+",2,2,633
"competent","+",2,2,633
"cheerful","+",2,2,633
"jolly","+",2,2,633
"talented","+",2,2,633
"humble","+",2,2,633
"outgoing","+",2,2,633
"sincere","+",2,2,633
"humorous","+",2,2,633
"courageous","+",2,2,633
"knowledgeable","+",2,2,633
"adaptable","+",2,2,633
"joyful","+",2,2,633
"considerate","+",2,2,633
"fearless","+",2,2,633
"terrible","-",2,2,633
"guilty","-",2,2,633
"hostile","-",2,2,633
"rude","-",2,2,633
"rotten","-",2,2,633
"selfish","-",2,2,633
"gloomy","-",2,2,633
"ruthless","-",2,2,633
"irresponsible","-",2,2,633
"dishonest","-",2,2,633
"dreary","-",2,2,633
"unproductive","-",2,2,633
"sloppy","-",2,2,633
"unfriendly","-",2,2,633
"obnoxious","-",2,2,633
"grumpy","-",2,2,633
"bossy","-",2,2,633
"lethargic","-",2,2,633
"moody","-",2,2,633
"stupid","-",2,2,633
"proficient","+",2,2,633
"self-disciplined","+",2,2,633
"dependable","+",2,2,633
"defensive","-",2,2,633
"combative","-",2,2,633
"suspicious","-",2,2,633
"mediocre","-",2,2,633
"indecisive","-",2,2,633
"childish","-",2,2,633
"brooding","-",2,2,633
"devious","-",2,2,633
"awkward","-",2,2,633
"insincere","-",2,2,633
"fun","+",1,3,633
"friendly","+",1,3,633
"nice","+",1,3,633
"generous","+",1,3,633
"brilliant","+",1,3,633
"honest","+",1,3,633
"strong","+",1,3,633
"moral","+",1,3,633
"organized","+",1,3,633
"clever","+",1,3,633
"gentle","+",1,3,633
"mighty","+",1,3,633
"amusing","+",1,3,633
"admired","+",1,3,633
"brave","+",1,3,633
"ambitious","+",1,3,633
"versatile","+",1,3,633
"expressive","+",1,3,633
"admirable","+",1,3,633
"trusting","+",1,3,633
"adventurous","+",1,3,633
"gracious","+",1,3,633
"humane","+",1,3,633
"selfless","+",1,3,633
"observant","+",1,3,633
"diligent","+",1,3,633
"down-to-earth","+",1,3,633
"agreeable","+",1,3,633
"communicative","+",1,3,633
"affectionate","+",1,3,633
"mean","-",1,3,633
"foolish","-",1,3,633
"shallow","-",1,3,633
"aggressive","-",1,3,633
"lonely","-",1,3,633
"troubled","-",1,3,633
"detached","-",1,3,633
"inadequate","-",1,3,633
"nasty","-",1,3,633
"helpless","-",1,3,633
"cynical","-",1,3,633
"greedy","-",1,3,633
"feeble","-",1,3,633
"lazy","-",1,3,633
"unwise","-",1,3,633
"unreliable","-",1,3,633
"hopeless","-",1,3,633
"superficial","-",1,3,633
"jealous","-",1,3,633
"messy","-",1,3,633
"unhealthy","-",1,3,633
"uninspiring","-",1,3,633
"compulsive","-",1,3,633
"manipulative","-",1,3,633
"unethical","-",1,3,633
"deceptive","-",1,3,633
"prejudiced","-",1,3,633
"absent-minded","-",1,3,633
"uninteresting","-",1,3,633
"materialistic","-",1,3,633
"happy","+",1,4,633
"outstanding","+",1,4,633
"understanding","+",1,4,633
"devoted","+",1,4,633
"composed","+",1,4,633
"efficient","+",1,4,633
"helpful","+",1,4,633
"warm","+",1,4,633
"lucky","+",1,4,633
"entertaining","+",1,4,633
"intelligent","+",1,4,633
"skilled","+",1,4,633
"lively","+",1,4,633
"cooperative","+",1,4,633
"charitable","+",1,4,633
"terrific","+",1,4,633
"loyal","+",1,4,633
"elegant","+",1,4,633
"sympathetic","+",1,4,633
"optimistic","+",1,4,633
"enthusiastic","+",1,4,633
"charming","+",1,4,633
"respectful","+",1,4,633
"purposeful","+",1,4,633
"self-confident","+",1,4,633
"playful","+",1,4,633
"compassionate","+",1,4,633
"inventive","+",1,4,633
"witty","+",1,4,633
"sociable","+",1,4,633
"weak","-",1,4,633
"withdrawn","-",1,4,633
"disturbed","-",1,4,633
"bitter","-",1,4,633
"awful","-",1,4,633
"toxic","-",1,4,633
"offensive","-",1,4,633
"violent","-",1,4,633
"useless","-",1,4,633
"unpleasant","-",1,4,633
"rejected","-",1,4,633
"immoral","-",1,4,633
"vicious","-",1,4,633
"timid","-",1,4,633
"insecure","-",1,4,633
"unpopular","-",1,4,633
"troublesome","-",1,4,633
"insensitive","-",1,4,633
"fearful","-",1,4,633
"stern","-",1,4,633
"thoughtless","-",1,4,633
"unsophisticated","-",1,4,633
"unkind","-",1,4,633
"untrustworthy","-",1,4,633
"disagreeable","-",1,4,633
"disobedient","-",1,4,633
"unsympathetic","-",1,4,633
"resentful","-",1,4,633
"self-critical","-",1,4,633
"conceited","-",1,4,633
