"word","valence_condition","set","run","seed"
"kind","+",2,1,73
"positive","+",2,1,73
"capable","+",2,1,73
"sweet","+",2,1,73
"confident","+",2,1,73
"consistent","+",2,1,73
"calm","+",2,1,73
"creative","+",2,1,73
"modest","+",2,1,73
"wise","+",2,1,73
"smart","+",2,1,73
"productive","+",2,1,73
"competent","+",2,1,73
"ethical","+",2,1,73
"innovative","+",2,1,73
"jolly","+",2,1,73
"humble","+",2,1,73
"energetic","+",2,1,73
"outgoing","+",2,1,73
"perceptive","+",2,1,73
"courteous","+",2,1,73
"attentive","+",2,1,73
"fearless","+",2,1,73
"forgiving","+",2,1,73
"trustworthy","+",2,1,73
"artistic","+",2,1,73
"glorious","+",2,1,73
"daring","+",2,1,73
"terrible","-",2,1,73
"boring","-",2,1,73
"hostile","-",2,1,73
"harsh","-",2,1,73
"cruel","-",2,1,73
"ignorant","-",2,1,73
"selfish","-",2,1,73
"ruthless","-",2,1,73
"careless","-",2,1,73
"annoying","-",2,1,73
"dishonest","-",2,1,73
"dreary","-",2,1,73
"unfriendly","-",2,1,73
"cowardly","-",2,1,73
"obnoxious","-",2,1,73
"intolerant","-",2,1,73
"grumpy","-",2,1,73
"bossy","-",2,1,73
"lethargic","-",2,1,73
"bad","-",2,1,73
"moody","-",2,1,73
"wasteful","-",2,1,73
"stupid","-",2,1,73
"good-natured","+",2,1,73
"dependable","+",2,1,73
"stubborn","-",2,1,73
"combative","-",2,1,73
"indecisive","-",2,1,73
"childish","-",2,1,73
"unreasonable","-",2,1,73
"demanding","-",2,1,73
"devious","-",2,1,73
"responsible","+",2,2,73
"patient","+",2,2,73
"active","+",2,2,73
"bright","+",2,2,73
"healthy","+",2,2,73
"grateful","+",2,2,73
"pleasant","+",2,2,73
"sophisticated","+",2,2,73
"reliable","+",2,2,73
"mature","+",2,2,73
"respectable","+",2,2,73
"decisive","+",2,2,73
"polite","+",2,2,73
"cheerful","+",2,2,73
"thorough","+",2,2,73
"talented","+",2,2,73
"hopeful","+",2,2,73
"thoughtful","+",2,2,73
"sincere","+",2,2,73
"humorous","+",2,2,73
"dignified","+",2,2,73
"courageous","+",2,2,73
"knowledgeable","+",2,2,73
"adaptable","+",2,2,73
"joyful","+",2,2,73
"considerate","+",2,2,73
"truthful","+",2,2,73
"guilty","-",2,2,73
"sad","-",2,2,73
"controlling","-",2,2,73
"unhappy","-",2,2,73
"dull","-",2,2,73
"dreadful","-",2,2,73
"wicked","-",2,2,73
"rude","-",2,2,73
"rotten","-",2,2,73
"gloomy","-",2,2,73
"inefficient","-",2,2,73
"reckless","-",2,2,73
"irrational","-",2,2,73
"discouraged","-",2,2,73
"irresponsible","-",2,2,73
"self-conscious","-",2,2,73
"pompous","-",2,2,73
"unproductive","-",2,2,73
"sloppy","-",2,2,73
"unruly","-",2,2,73
"envious","-",2,2,73
"proficient","+",2,2,73
"self-disciplined","+",2,2,73
"comical","+",2,2,73
"hesitant","-",2,2,73
"defensive","-",2,2,73
"suspicious","-",2,2,73
"mediocre","-",2,2,73
"brooding","-",2,2,73
"fickle","-",2,2,73
"awkward","-",2,2,73
"disdainful","-",2,2,73
"insincere","-",2,2,73
"happy","+",1,3,73
"nice","+",1,3,73
"brilliant","+",1,3,73
"outstanding","+",1,3,73
"honest","+",1,3,73
"composed","+",1,3,73
"clever","+",1,3,73
"helpful","+",1,3,73
"gentle","+",1,3,73
"mighty","+",1,3,73
"intelligent","+",1,3,73
"skilled","+",1,3,73
"charitable","+",1,3,73
"terrific","+",1,3,73
"brave","+",1,3,73
"elegant","+",1,3,73
"expressive","+",1,3,73
"optimistic","+",1,3,73
"enthusiastic","+",1,3,73
"charming","+",1,3,73
"respectful","+",1,3,73
"self-confident","+",1,3,73
"compassionate","+",1,3,73
"gracious","+",1,3,73
"inventive","+",1,3,73
"selfless","+",1,3,73
"down-to-earth","+",1,3,73
"agreeable","+",1,3,73
"communicative","+",1,3,73
"sociable","+",1,3,73
"mean","-",1,3,73
"foolish","-",1,3,73
"weak","-",1,3,73
"disturbed","-",1,3,73
"bitter","-",1,3,73
"toxic","-",1,3,73
"inadequate","-",1,3,73
"offensive","-",1,3,73
"violent","-",1,3,73
"unpleasant","-",1,3,73
"immoral","-",1,3,73
"greedy","-",1,3,73
"timid","-",1,3,73
"insecure","-",1,3,73
"feeble","-",1,3,73
"unpopular","-",1,3,73
"lazy","-",1,3,73
"troublesome","-",1,3,73
"hopeless","-",1,3,73
"fearful","-",1,3,73
"jealous","-",1,3,73
"stern","-",1,3,73
"thoughtless","-",1,3,73
"uninspiring","-",1,3,73
"manipulative","-",1,3,73
"unethical","-",1,3,73
"deceptive","-",1,3,73
"prejudiced","-",1,3,73
"absent-minded","-",1,3,73
"materialistic","-",1,3,73
"fun","+",1,4,73
"friendly","+",1,4,73
"generous","+",1,4,73
"understanding","+",1,4,73
"strong","+",1,4,73
"devoted","+",1,4,73
"moral","+",1,4,73
"efficient","+",1,4,73
"organized","+",1,4,73
"warm","+",1,4,73
"lucky","+",1,4,73
"entertaining","+",1,4,73
"lively","+",1,4,73
"cooperative","+",1,4,73
"amusing","+",1,4,73
"admired","+",1,4,73
"loyal","+",1,4,73
"ambitious","+",1,4,73
"versatile","+",1,4,73
"sympathetic","+",1,4,73
"admirable","+",1,4,73
"trusting","+",1,4,73
"adventurous","+",1,4,73
"purposeful","+",1,4,73
"playful","+",1,4,73
"humane","+",1,4,73
