"word","valence_condition","set","run","seed"
"patient","+",2,1,305
"active","+",2,1,305
"sweet","+",2,1,305
"healthy","+",2,1,305
"confident","+",2,1,305
"consistent","+",2,1,305
"grateful","+",2,1,305
"reliable","+",2,1,305
"wise","+",2,1,305
"competent","+",2,1,305
"polite","+",2,1,305
"cheerful","+",2,1,305
"innovative","+",2,1,305
"jolly","+",2,1,305
"hopeful","+",2,1,305
"energetic","+",2,1,305
"thoughtful","+",2,1,305
"outgoing","+",2,1,305
"courageous","+",2,1,305
"knowledgeable","+",2,1,305
"attentive","+",2,1,305
"joyful","+",2,1,305
"considerate","+",2,1,305
"fearless","+",2,1,305
"forgiving","+",2,1,305
"trustworthy","+",2,1,305
"glorious","+",2,1,305
"daring","+",2,1,305
"guilty","-",2,1,305
"controlling","-",2,1,305
"unhappy","-",2,1,305
"dull","-",2,1,305
"harsh","-",2,1,305
"wicked","-",2,1,305
"selfish","-",2,1,305
"gloomy","-",2,1,305
"careless","-",2,1,305
"irrational","-",2,1,305
"discouraged","-",2,1,305
"annoying","-",2,1,305
"dishonest","-",2,1,305
"self-conscious","-",2,1,305
"dreary","-",2,1,305
"sloppy","-",2,1,305
"unruly","-",2,1,305
"envious","-",2,1,305
"cowardly","-",2,1,305
"intolerant","-",2,1,305
"grumpy","-",2,1,305
"bossy","-",2,1,305
"lethargic","-",2,1,305
"wasteful","-",2,1,305
"stupid","-",2,1,305
"self-disciplined","+",2,1,305
"dependable","+",2,1,305
"mediocre","-",2,1,305
"fickle","-",2,1,305
"demanding","-",2,1,305
"awkward","-",2,1,305
"insincere","-",2,1,305
"kind","+",2,2,305
"responsible","+",2,2,305
"positive","+",2,2,305
"bright","+",2,2,305
"capable","+",2,2,305
"calm","+",2,2,305
"pleasant","+",2,2,305
"creative","+",2,2,305
"sophisticated","+",2,2,305
"modest","+",2,2,305
"mature","+",2,2,305
"smart","+",2,2,305
"productive","+",2,2,305
"respectable","+",2,2,305
"decisive","+",2,2,305
"ethical","+",2,2,305
"thorough","+",2,2,305
"talented","+",2,2,305
"humble","+",2,2,305
"sincere","+",2,2,305
"humorous","+",2,2,305
"dignified","+",2,2,305
"perceptive","+",2,2,305
"courteous","+",2,2,305
"adaptable","+",2,2,305
"truthful","+",2,2,305
"artistic","+",2,2,305
"terrible","-",2,2,305
"sad","-",2,2,305
"boring","-",2,2,305
"hostile","-",2,2,305
"dreadful","-",2,2,305
"cruel","-",2,2,305
"rude","-",2,2,305
"rotten","-",2,2,305
"ignorant","-",2,2,305
"ruthless","-",2,2,305
"inefficient","-",2,2,305
"reckless","-",2,2,305
"irresponsible","-",2,2,305
"pompous","-",2,2,305
"unproductive","-",2,2,305
"unfriendly","-",2,2,305
"obnoxious","-",2,2,305
"bad","-",2,2,305
"moody","-",2,2,305
"good-natured","+",2,2,305
"proficient","+",2,2,305
"comical","+",2,2,305
"hesitant","-",2,2,305
"stubborn","-",2,2,305
"defensive","-",2,2,305
"combative","-",2,2,305
"suspicious","-",2,2,305
"indecisive","-",2,2,305
"childish","-",2,2,305
"brooding","-",2,2,305
"unreasonable","-",2,2,305
"devious","-",2,2,305
"disdainful","-",2,2,305
"nice","+",1,3,305
"generous","+",1,3,305
"understanding","+",1,3,305
"devoted","+",1,3,305
"composed","+",1,3,305
"efficient","+",1,3,305
"helpful","+",1,3,305
"gentle","+",1,3,305
"lucky","+",1,3,305
"entertaining","+",1,3,305
"intelligent","+",1,3,305
"skilled","+",1,3,305
"amusing","+",1,3,305
"terrific","+",1,3,305
"loyal","+",1,3,305
"brave","+",1,3,305
"ambitious","+",1,3,305
"versatile","+",1,3,305
"expressive","+",1,3,305
"sympathetic","+",1,3,305
"respectful","+",1,3,305
"trusting","+",1,3,305
"self-confident","+",1,3,305
"gracious","+",1,3,305
"selfless","+",1,3,305
"witty","+",1,3,305
"observant","+",1,3,305
"diligent","+",1,3,305
"communicative","+",1,3,305
"affectionate","+",1,3,305
"foolish","-",1,3,305
"weak","-",1,3,305
"withdrawn","-",1,3,305
"aggressive","-",1,3,305
"awful","-",1,3,305
"inadequate","-",1,3,305
"offensive","-",1,3,305
"nasty","-",1,3,305
"violent","-",1,3,305
"useless","-",1,3,305
"rejected","-",1,3,305
"immoral","-",1,3,305
"vicious","-",1,3,305
"cynical","-",1,3,305
"greedy","-",1,3,305
"insecure","-",1,3,305
"feeble","-",1,3,305
"unwise","-",1,3,305
"troublesome","-",1,3,305
"hopeless","-",1,3,305
"superficial","-",1,3,305
"jealous","-",1,3,305
"messy","-",1,3,305
"unhealthy","-",1,3,305
"unsophisticated","-",1,3,305
"uninspiring","-",1,3,305
"unsympathetic","-",1,3,305
"resentful","-",1,3,305
"prejudiced","-",1,3,305
"materialistic","-",1,3,305
"fun","+",1,4,305
"happy","+",1,4,305
"friendly","+",1,4,305
"brilliant","+",1,4,305
"outstanding","+",1,4,305
"honest","+",1,4,305
"strong","+",1,4,305
"moral","+",1,4,305
"organized","+",1,4,305
"clever","+",1,4,305
"warm","+",1,4,305
"mighty","+",1,4,305
"lively","+",1,4,305
"cooperative","+",1,4,305
"charitable","+",1,4,305
"admired","+",1,4,305
"elegant","+",1,4,305
"optimistic","+",1,4,305
"enthusiastic","+",1,4,305
"charming","+",1,4,305
"admirable","+",1,4,305
"adventurous","+",1,4,305
"purposeful","+",1,4,305
"playful","+",1,4,305
"compassionate","+",1,4,305
"humane","+",1,4,305
"inventive","+",1,4,305
"down-to-earth","+",1,4,305
"agreeable","+",1,4,305
"sociable","+",1,4,305
"mean","-",1,4,305
"shallow","-",1,4,305
"disturbed","-",1,4,305
"bitter","-",1,4,305
"lonely","-",1,4,305
"troubled","-",1,4,305
"toxic","-",1,4,305
"detached","-",1,4,305
"unpleasant","-",1,4,305
"helpless","-",1,4,305
"timid","-",1,4,305
"unpopular","-",1,4,305
"lazy","-",1,4,305
"unreliable","-",1,4,305
"insensitive","-",1,4,305
"fearful","-",1,4,305
"stern","-",1,4,305
"thoughtless","-",1,4,305
"unkind","-",1,4,305
"compulsive","-",1,4,305
"untrustworthy","-",1,4,305
"disagreeable","-",1,4,305
"disobedient","-",1,4,305
"manipulative","-",1,4,305
"unethical","-",1,4,305
"deceptive","-",1,4,305
"absent-minded","-",1,4,305
"self-critical","-",1,4,305
"uninteresting","-",1,4,305
"conceited","-",1,4,305
