"word","valence_condition","set","run","seed"
"positive","+",2,1,359
"capable","+",2,1,359
"sweet","+",2,1,359
"healthy","+",2,1,359
"consistent","+",2,1,359
"calm","+",2,1,359
"creative","+",2,1,359
"modest","+",2,1,359
"reliable","+",2,1,359
"mature","+",2,1,359
"smart","+",2,1,359
"respectable","+",2,1,359
"competent","+",2,1,359
"decisive","+",2,1,359
"ethical","+",2,1,359
"thorough","+",2,1,359
"energetic","+",2,1,359
"thoughtful","+",2,1,359
"sincere","+",2,1,359
"humorous","+",2,1,359
"courageous","+",2,1,359
"knowledgeable","+",2,1,359
"adaptable","+",2,1,359
"truthful","+",2,1,359
"fearless","+",2,1,359
"trustworthy","+",2,1,359
"glorious","+",2,1,359
"sad","-",2,1,359
"controlling","-",2,1,359
"hostile","-",2,1,359
"dreadful","-",2,1,359
"wicked","-",2,1,359
"rude","-",2,1,359
"ignorant","-",2,1,359
"selfish","-",2,1,359
"ruthless","-",2,1,359
"careless","-",2,1,359
"reckless","-",2,1,359
"self-conscious","-",2,1,359
"dreary","-",2,1,359
"unproductive","-",2,1,359
"unfriendly","-",2,1,359
"unruly","-",2,1,359
"bossy","-",2,1,359
"bad","-",2,1,359
"moody","-",2,1,359
"wasteful","-",2,1,359
"proficient","+",2,1,359
"comical","+",2,1,359
"dependable","+",2,1,359
"defensive","-",2,1,359
"combative","-",2,1,359
"suspicious","-",2,1,359
"indecisive","-",2,1,359
"childish","-",2,1,359
"unreasonable","-",2,1,359
"demanding","-",2,1,359
"awkward","-",2,1,359
"disdainful","-",2,1,359
"insincere","-",2,1,359
"kind","+",2,2,359
"responsible","+",2,2,359
"patient","+",2,2,359
"active","+",2,2,359
"bright","+",2,2,359
"confident","+",2,2,359
"grateful","+",2,2,359
"pleasant","+",2,2,359
"sophisticated","+",2,2,359
"wise","+",2,2,359
"productive","+",2,2,359
"polite","+",2,2,359
"cheerful","+",2,2,359
"innovative","+",2,2,359
"jolly","+",2,2,359
"talented","+",2,2,359
"humble","+",2,2,359
"hopeful","+",2,2,359
"outgoing","+",2,2,359
"dignified","+",2,2,359
"perceptive","+",2,2,359
"courteous","+",2,2,359
"attentive","+",2,2,359
"joyful","+",2,2,359
"considerate","+",2,2,359
"forgiving","+",2,2,359
"artistic","+",2,2,359
"daring","+",2,2,359
"terrible","-",2,2,359
"guilty","-",2,2,359
"unhappy","-",2,2,359
"dull","-",2,2,359
"boring","-",2,2,359
"harsh","-",2,2,359
"cruel","-",2,2,359
"rotten","-",2,2,359
"gloomy","-",2,2,359
"inefficient","-",2,2,359
"irrational","-",2,2,359
"discouraged","-",2,2,359
"annoying","-",2,2,359
"irresponsible","-",2,2,359
"dishonest","-",2,2,359
"pompous","-",2,2,359
"sloppy","-",2,2,359
"envious","-",2,2,359
"cowardly","-",2,2,359
"obnoxious","-",2,2,359
"intolerant","-",2,2,359
"grumpy","-",2,2,359
"lethargic","-",2,2,359
"stupid","-",2,2,359
"good-natured","+",2,2,359
"self-disciplined","+",2,2,359
"hesitant","-",2,2,359
"stubborn","-",2,2,359
"mediocre","-",2,2,359
"brooding","-",2,2,359
"fickle","-",2,2,359
"devious","-",2,2,359
"fun","+",1,3,359
"friendly","+",1,3,359
"outstanding","+",1,3,359
"understanding","+",1,3,359
"moral","+",1,3,359
"composed","+",1,3,359
"helpful","+",1,3,359
"entertaining","+",1,3,359
"lively","+",1,3,359
"cooperative","+",1,3,359
"amusing","+",1,3,359
"charitable","+",1,3,359
"loyal","+",1,3,359
"brave","+",1,3,359
"elegant","+",1,3,359
"versatile","+",1,3,359
"expressive","+",1,3,359
"optimistic","+",1,3,359
"charming","+",1,3,359
"respectful","+",1,3,359
"trusting","+",1,3,359
"purposeful","+",1,3,359
"self-confident","+",1,3,359
"compassionate","+",1,3,359
"inventive","+",1,3,359
"witty","+",1,3,359
"diligent","+",1,3,359
"communicative","+",1,3,359
"affectionate","+",1,3,359
"sociable","+",1,3,359
"withdrawn","-",1,3,359
"disturbed","-",1,3,359
"bitter","-",1,3,359
"awful","-",1,3,359
"toxic","-",1,3,359
"detached","-",1,3,359
"nasty","-",1,3,359
"unpleasant","-",1,3,359
"immoral","-",1,3,359
"helpless","-",1,3,359
"vicious","-",1,3,359
"greedy","-",1,3,359
"insecure","-",1,3,359
"feeble","-",1,3,359
"unpopular","-",1,3,359
"lazy","-",1,3,359
"unwise","-",1,3,359
"troublesome","-",1,3,359
"unreliable","-",1,3,359
"hopeless","-",1,3,359
"fearful","-",1,3,359
"jealous","-",1,3,359
"unsophisticated","-",1,3,359
"compulsive","-",1,3,359
"disobedient","-",1,3,359
"resentful","-",1,3,359
"unethical","-",1,3,359
"self-critical","-",1,3,359
"uninteresting","-",1,3,359
"materialistic","-",1,3,359
