"word","valence_condition","set","run","seed"
"positive","+",2,1,401
"patient","+",2,1,401
"confident","+",2,1,401
"calm","+",2,1,401
"modest","+",2,1,401
"reliable","+",2,1,401
"wise","+",2,1,401
"mature","+",2,1,401
"smart","+",2,1,401
"respectable","+",2,1,401
"competent","+",2,1,401
"decisive","+",2,1,401
"cheerful","+",2,1,401
"ethical","+",2,1,401
"innovative","+",2,1,401
"jolly","+",2,1,401
"talented","+",2,1,401
"humble","+",2,1,401
"thoughtful","+",2,1,401
"outgoing","+",2,1,401
"sincere","+",2,1,401
"humorous","+",2,1,401
"dignified","+",2,1,401
"courageous","+",2,1,401
"knowledgeable","+",2,1,401
"attentive","+",2,1,401
"adaptable","+",2,1,401
"fearless","+",2,1,401
"forgiving","+",2,1,401
"guilty","-",2,1,401
"sad","-",2,1,401
"unhappy","-",2,1,401
"boring","-",2,1,401
"cruel","-",2,1,401
"rude","-",2,1,401
"rotten","-",2,1,401
"gloomy","-",2,1,401
"ruthless","-",2,1,401
"inefficient","-",2,1,401
"reckless","-",2,1,401
"irresponsible","-",2,1,401
"dishonest","-",2,1,401
"dreary","-",2,1,401
"unproductive","-",2,1,401
"unfriendly","-",2,1,401
"unruly","-",2,1,401
"obnoxious","-",2,1,401
"grumpy","-",2,1,401
"lethargic","-",2,1,401
"moody","-",2,1,401
"proficient","+",2,1,401
"hesitant","-",2,1,401
"stubborn","-",2,1,401
"combative","-",2,1,401
"suspicious","-",2,1,401
"indecisive","-",2,1,401
"childish","-",2,1,401
"fickle","-",2,1,401
"demanding","-",2,1,401
"devious","-",2,1,401
"kind","+",2,2,401
"responsible","+",2,2,401
"active","+",2,2,401
"bright","+",2,2,401
"capable","+",2,2,401
"sweet","+",2,2,401
"healthy","+",2,2,401
"consistent","+",2,2,401
"grateful","+",2,2,401
"pleasant","+",2,2,401
"creative","+",2,2,401
"sophisticated","+",2,2,401
"productive","+",2,2,401
"polite","+",2,2,401
"thorough","+",2,2,401
"hopeful","+",2,2,401
"energetic","+",2,2,401
"perceptive","+",2,2,401
"courteous","+",2,2,401
"joyful","+",2,2,401
"considerate","+",2,2,401
"truthful","+",2,2,401
"trustworthy","+",2,2,401
"artistic","+",2,2,401
"glorious","+",2,2,401
"daring","+",2,2,401
"terrible","-",2,2,401
"controlling","-",2,2,401
"dull","-",2,2,401
"hostile","-",2,2,401
"harsh","-",2,2,401
"dreadful","-",2,2,401
"wicked","-",2,2,401
"ignorant","-",2,2,401
"selfish","-",2,2,401
"careless","-",2,2,401
"irrational","-",2,2,401
"discouraged","-",2,2,401
"annoying","-",2,2,401
"self-conscious","-",2,2,401
"pompous","-",2,2,401
"sloppy","-",2,2,401
"envious","-",2,2,401
"cowardly","-",2,2,401
"intolerant","-",2,2,401
"bossy","-",2,2,401
"bad","-",2,2,401
"wasteful","-",2,2,401
"stupid","-",2,2,401
"good-natured","+",2,2,401
"self-disciplined","+",2,2,401
"comical","+",2,2,401
"dependable","+",2,2,401
"defensive","-",2,2,401
"mediocre","-",2,2,401
"brooding","-",2,2,401
"unreasonable","-",2,2,401
"awkward","-",2,2,401
"disdainful","-",2,2,401
"insincere","-",2,2,401
"happy","+",1,3,401
"friendly","+",1,3,401
"generous","+",1,3,401
"brilliant","+",1,3,401
"outstanding","+",1,3,401
"honest","+",1,3,401
"moral","+",1,3,401
"efficient","+",1,3,401
"organized","+",1,3,401
"clever","+",1,3,401
"warm","+",1,3,401
"mighty","+",1,3,401
