"word","valence_condition","set","run","seed"
"generous","+",1,1,868
"brilliant","+",1,1,868
"understanding","+",1,1,868
"strong","+",1,1,868
"moral","+",1,1,868
"composed","+",1,1,868
"organized","+",1,1,868
"clever","+",1,1,868
"gentle","+",1,1,868
"warm","+",1,1,868
"mighty","+",1,1,868
"entertaining","+",1,1,868
"skilled","+",1,1,868
"amusing","+",1,1,868
"admired","+",1,1,868
"terrific","+",1,1,868
"brave","+",1,1,868
"versatile","+",1,1,868
"respectful","+",1,1,868
"admirable","+",1,1,868
"trusting","+",1,1,868
"adventurous","+",1,1,868
"purposeful","+",1,1,868
"playful","+",1,1,868
"compassionate","+",1,1,868
"inventive","+",1,1,868
"selfless","+",1,1,868
"observant","+",1,1,868
"diligent","+",1,1,868
"affectionate","+",1,1,868
"mean","-",1,1,868
"withdrawn","-",1,1,868
"aggressive","-",1,1,868
"bitter","-",1,1,868
"lonely","-",1,1,868
"awful","-",1,1,868
"toxic","-",1,1,868
"inadequate","-",1,1,868
"offensive","-",1,1,868
"nasty","-",1,1,868
"rejected","-",1,1,868
"helpless","-",1,1,868
"vicious","-",1,1,868
"cynical","-",1,1,868
"timid","-",1,1,868
"insecure","-",1,1,868
"feeble","-",1,1,868
"unpopular","-",1,1,868
"lazy","-",1,1,868
"unwise","-",1,1,868
"unreliable","-",1,1,868
"hopeless","-",1,1,868
"messy","-",1,1,868
"unhealthy","-",1,1,868
"unsophisticated","-",1,1,868
"untrustworthy","-",1,1,868
"disobedient","-",1,1,868
"unsympathetic","-",1,1,868
"uninteresting","-",1,1,868
"materialistic","-",1,1,868
"fun","+",1,2,868
"happy","+",1,2,868
"friendly","+",1,2,868
"nice","+",1,2,868
"outstanding","+",1,2,868
"honest","+",1,2,868
"devoted","+",1,2,868
"efficient","+",1,2,868
"helpful","+",1,2,868
"lucky","+",1,2,868
"intelligent","+",1,2,868
"lively","+",1,2,868
"cooperative","+",1,2,868
"charitable","+",1,2,868
"loyal","+",1,2,868
"elegant","+",1,2,868
"ambitious","+",1,2,868
"expressive","+",1,2,868
"sympathetic","+",1,2,868
"optimistic","+",1,2,868
"enthusiastic","+",1,2,868
"charming","+",1,2,868
"self-confident","+",1,2,868
"gracious","+",1,2,868
"humane","+",1,2,868
"witty","+",1,2,868
"down-to-earth","+",1,2,868
"agreeable","+",1,2,868
"communicative","+",1,2,868
"sociable","+",1,2,868
"foolish","-",1,2,868
"shallow","-",1,2,868
"weak","-",1,2,868
"disturbed","-",1,2,868
"troubled","-",1,2,868
"detached","-",1,2,868
"violent","-",1,2,868
"useless","-",1,2,868
"unpleasant","-",1,2,868
"immoral","-",1,2,868
"greedy","-",1,2,868
"troublesome","-",1,2,868
"insensitive","-",1,2,868
"fearful","-",1,2,868
"superficial","-",1,2,868
"jealous","-",1,2,868
"stern","-",1,2,868
"thoughtless","-",1,2,868
"unkind","-",1,2,868
"uninspiring","-",1,2,868
"compulsive","-",1,2,868
"disagreeable","-",1,2,868
"resentful","-",1,2,868
"manipulative","-",1,2,868
"unethical","-",1,2,868
"deceptive","-",1,2,868
"prejudiced","-",1,2,868
"absent-minded","-",1,2,868
"self-critical","-",1,2,868
"conceited","-",1,2,868
"kind","+",2,3,868
"responsible","+",2,3,868
"bright","+",2,3,868
"sweet","+",2,3,868
"healthy","+",2,3,868
"consistent","+",2,3,868
"grateful","+",2,3,868
"pleasant","+",2,3,868
"sophisticated","+",2,3,868
"modest","+",2,3,868
"wise","+",2,3,868
"mature","+",2,3,868
"productive","+",2,3,868
"respectable","+",2,3,868
"ethical","+",2,3,868
"thorough","+",2,3,868
"innovative","+",2,3,868
"talented","+",2,3,868
"hopeful","+",2,3,868
"humorous","+",2,3,868
"dignified","+",2,3,868
"courageous","+",2,3,868
"knowledgeable","+",2,3,868
"courteous","+",2,3,868
"attentive","+",2,3,868
"adaptable","+",2,3,868
"joyful","+",2,3,868
"considerate","+",2,3,868
"fearless","+",2,3,868
"terrible","-",2,3,868
"guilty","-",2,3,868
"unhappy","-",2,3,868
"boring","-",2,3,868
"harsh","-",2,3,868
"dreadful","-",2,3,868
"rude","-",2,3,868
"ignorant","-",2,3,868
"gloomy","-",2,3,868
"inefficient","-",2,3,868
"discouraged","-",2,3,868
"annoying","-",2,3,868
"irresponsible","-",2,3,868
"self-conscious","-",2,3,868
"dreary","-",2,3,868
"pompous","-",2,3,868
"unfriendly","-",2,3,868
"unruly","-",2,3,868
"intolerant","-",2,3,868
"lethargic","-",2,3,868
"bad","-",2,3,868
"moody","-",2,3,868
"proficient","+",2,3,868
"hesitant","-",2,3,868
"stubborn","-",2,3,868
"defensive","-",2,3,868
"combative","-",2,3,868
"mediocre","-",2,3,868
"brooding","-",2,3,868
"fickle","-",2,3,868
"disdainful","-",2,3,868
"positive","+",2,4,868
"patient","+",2,4,868
"active","+",2,4,868
"capable","+",2,4,868
"confident","+",2,4,868
"calm","+",2,4,868
"creative","+",2,4,868
"reliable","+",2,4,868
"smart","+",2,4,868
"competent","+",2,4,868
"decisive","+",2,4,868
"polite","+",2,4,868
"cheerful","+",2,4,868
"jolly","+",2,4,868
"humble","+",2,4,868
"energetic","+",2,4,868
"thoughtful","+",2,4,868
"outgoing","+",2,4,868
"sincere","+",2,4,868
"perceptive","+",2,4,868
"truthful","+",2,4,868
"forgiving","+",2,4,868
"trustworthy","+",2,4,868
"artistic","+",2,4,868
"glorious","+",2,4,868
"daring","+",2,4,868
"sad","-",2,4,868
"controlling","-",2,4,868
"dull","-",2,4,868
"hostile","-",2,4,868
"cruel","-",2,4,868
"wicked","-",2,4,868
"rotten","-",2,4,868
"selfish","-",2,4,868
"ruthless","-",2,4,868
"careless","-",2,4,868
"reckless","-",2,4,868
"irrational","-",2,4,868
"dishonest","-",2,4,868
"unproductive","-",2,4,868
"sloppy","-",2,4,868
"envious","-",2,4,868
"cowardly","-",2,4,868
"obnoxious","-",2,4,868
"grumpy","-",2,4,868
"bossy","-",2,4,868
"wasteful","-",2,4,868
"stupid","-",2,4,868
"good-natured","+",2,4,868
"self-disciplined","+",2,4,868
"comical","+",2,4,868
"dependable","+",2,4,868
"suspicious","-",2,4,868
"indecisive","-",2,4,868
"childish","-",2,4,868
"unreasonable","-",2,4,868
"demanding","-",2,4,868
"devious","-",2,4,868
"awkward","-",2,4,868
"insincere","-",2,4,868
