"word","valence_condition","set","run","seed"
"happy","+",2,1,93
"interesting","+",2,1,93
"healthy","+",2,1,93
"gentle","+",2,1,93
"creative","+",2,1,93
"sophisticated","+",2,1,93
"wise","+",2,1,93
"intelligent","+",2,1,93
"brave","+",2,1,93
"elegant","+",2,1,93
"ambitious","+",2,1,93
"sympathetic","+",2,1,93
"enthusiastic","+",2,1,93
"respectable","+",2,1,93
"decisive","+",2,1,93
"ethical","+",2,1,93
"thorough","+",2,1,93
"innovative","+",2,1,93
"humble","+",2,1,93
"sincere","+",2,1,93
"humorous","+",2,1,93
"dignified","+",2,1,93
"gracious","+",2,1,93
"respectful","+",2,1,93
"fearless","+",2,1,93
"trustworthy","+",2,1,93
"lucky","+",2,1,93
"terrible","-",2,1,93
"angry","-",2,1,93
"unhappy","-",2,1,93
"withdrawn","-",2,1,93
"disturbed","-",2,1,93
"hostile","-",2,1,93
"cruel","-",2,1,93
"unpleasant","-",2,1,93
"wicked","-",2,1,93
"rude","-",2,1,93
"ignorant","-",2,1,93
"ruthless","-",2,1,93
"arrogant","-",2,1,93
"reckless","-",2,1,93
"irritating","-",2,1,93
"immature","-",2,1,93
"unkind","-",2,1,93
"sloppy","-",2,1,93
"envious","-",2,1,93
"unsympathetic","-",2,1,93
"bad","-",2,1,93
"toxic","-",2,1,93
"vicious","-",2,1,93
"good-natured","+",2,1,93
"self-confident","+",2,1,93
"down-to-earth","+",2,1,93
"stern","-",2,1,93
"messy","-",2,1,93
"brooding","-",2,1,93
"fickle","-",2,1,93
"disagreeable","-",2,1,93
"conceited","-",2,1,93
"devious","-",2,1,93
"nice","+",2,2,93
"positive","+",2,2,93
"warm","+",2,2,93
"helpful","+",2,2,93
"honest","+",2,2,93
"organized","+",2,2,93
"flexible","+",2,2,93
"reliable","+",2,2,93
"composed","+",2,2,93
"skilled","+",2,2,93
"optimistic","+",2,2,93
"competent","+",2,2,93
"hopeful","+",2,2,93
"admirable","+",2,2,93
"agreeable","+",2,2,93
"affectionate","+",2,2,93
"purposeful","+",2,2,93
"courteous","+",2,2,93
"forgiving","+",2,2,93
"entertaining","+",2,2,93
"communicative","+",2,2,93
"outstanding","+",2,2,93
"artistic","+",2,2,93
"admired","+",2,2,93
"glorious","+",2,2,93
"awful","-",2,2,93
"evil","-",2,2,93
"violent","-",2,2,93
"bitter","-",2,2,93
"dull","-",2,2,93
"troubled","-",2,2,93
"detached","-",2,2,93
"helpless","-",2,2,93
"rotten","-",2,2,93
"greedy","-",2,2,93
"discouraged","-",2,2,93
"irresponsible","-",2,2,93
"pessimistic","-",2,2,93
"unfriendly","-",2,2,93
"unruly","-",2,2,93
"cowardly","-",2,2,93
"obnoxious","-",2,2,93
"spiteful","-",2,2,93
"intolerant","-",2,2,93
"moody","-",2,2,93
"stupid","-",2,2,93
"offensive","-",2,2,93
"proficient","+",2,2,93
"self-discipline","+",2,2,93
"resourceful","+",2,2,93
"observant","+",2,2,93
"inquisitive","+",2,2,93
"hesitant","-",2,2,93
"timid","-",2,2,93
"self-indulgent","-",2,2,93
"materialistic","-",2,2,93
"childish","-",2,2,93
"unpopular","-",2,2,93
"argumentative","-",2,2,93
"awkward","-",2,2,93
"brilliant","+",1,3,93
"consistent","+",1,3,93
"friendly","+",1,3,93
"fun","+",1,3,93
"generous","+",1,3,93
"mature","+",1,3,93
"sweet","+",1,3,93
"bright","+",1,3,93
