"word","valence_condition","set","run","seed"
"fun","+",1,1,556
"nice","+",1,1,556
"generous","+",1,1,556
"brilliant","+",1,1,556
"outstanding","+",1,1,556
"understanding","+",1,1,556
"strong","+",1,1,556
"moral","+",1,1,556
"composed","+",1,1,556
"organized","+",1,1,556
"warm","+",1,1,556
"skilled","+",1,1,556
"cooperative","+",1,1,556
"admired","+",1,1,556
"terrific","+",1,1,556
"loyal","+",1,1,556
"versatile","+",1,1,556
"optimistic","+",1,1,556
"respectful","+",1,1,556
"trusting","+",1,1,556
"purposeful","+",1,1,556
"compassionate","+",1,1,556
"gracious","+",1,1,556
"humane","+",1,1,556
"inventive","+",1,1,556
"observant","+",1,1,556
"diligent","+",1,1,556
"agreeable","+",1,1,556
"affectionate","+",1,1,556
"sociable","+",1,1,556
"mean","-",1,1,556
"shallow","-",1,1,556
"withdrawn","-",1,1,556
"bitter","-",1,1,556
"awful","-",1,1,556
"toxic","-",1,1,556
"violent","-",1,1,556
"useless","-",1,1,556
"unpleasant","-",1,1,556
"rejected","-",1,1,556
"greedy","-",1,1,556
"timid","-",1,1,556
"insecure","-",1,1,556
"feeble","-",1,1,556
"lazy","-",1,1,556
"unwise","-",1,1,556
"troublesome","-",1,1,556
"unreliable","-",1,1,556
"jealous","-",1,1,556
"messy","-",1,1,556
"thoughtless","-",1,1,556
"unhealthy","-",1,1,556
"unsophisticated","-",1,1,556
"uninspiring","-",1,1,556
"untrustworthy","-",1,1,556
"disagreeable","-",1,1,556
"disobedient","-",1,1,556
"deceptive","-",1,1,556
"uninteresting","-",1,1,556
"materialistic","-",1,1,556
"happy","+",1,2,556
"friendly","+",1,2,556
"honest","+",1,2,556
"devoted","+",1,2,556
"efficient","+",1,2,556
"clever","+",1,2,556
"helpful","+",1,2,556
"gentle","+",1,2,556
"lucky","+",1,2,556
"mighty","+",1,2,556
"entertaining","+",1,2,556
"intelligent","+",1,2,556
"lively","+",1,2,556
"amusing","+",1,2,556
"charitable","+",1,2,556
"brave","+",1,2,556
"elegant","+",1,2,556
"ambitious","+",1,2,556
"expressive","+",1,2,556
"sympathetic","+",1,2,556
"enthusiastic","+",1,2,556
"charming","+",1,2,556
"admirable","+",1,2,556
"adventurous","+",1,2,556
"self-confident","+",1,2,556
"playful","+",1,2,556
"selfless","+",1,2,556
"witty","+",1,2,556
"down-to-earth","+",1,2,556
"communicative","+",1,2,556
"foolish","-",1,2,556
"weak","-",1,2,556
"aggressive","-",1,2,556
"disturbed","-",1,2,556
"lonely","-",1,2,556
"troubled","-",1,2,556
"detached","-",1,2,556
"inadequate","-",1,2,556
"offensive","-",1,2,556
"nasty","-",1,2,556
"immoral","-",1,2,556
"helpless","-",1,2,556
"vicious","-",1,2,556
"cynical","-",1,2,556
"unpopular","-",1,2,556
"hopeless","-",1,2,556
"insensitive","-",1,2,556
"fearful","-",1,2,556
"superficial","-",1,2,556
"stern","-",1,2,556
"unkind","-",1,2,556
"compulsive","-",1,2,556
"unsympathetic","-",1,2,556
"resentful","-",1,2,556
"manipulative","-",1,2,556
"unethical","-",1,2,556
"prejudiced","-",1,2,556
"absent-minded","-",1,2,556
"self-critical","-",1,2,556
"conceited","-",1,2,556
"kind","+",2,3,556
"positive","+",2,3,556
"patient","+",2,3,556
"active","+",2,3,556
"bright","+",2,3,556
"sweet","+",2,3,556
"healthy","+",2,3,556
"confident","+",2,3,556
"calm","+",2,3,556
"grateful","+",2,3,556
"pleasant","+",2,3,556
"creative","+",2,3,556
"modest","+",2,3,556
"mature","+",2,3,556
"smart","+",2,3,556
"productive","+",2,3,556
"cheerful","+",2,3,556
"ethical","+",2,3,556
"thorough","+",2,3,556
"innovative","+",2,3,556
"talented","+",2,3,556
"hopeful","+",2,3,556
"energetic","+",2,3,556
"thoughtful","+",2,3,556
"perceptive","+",2,3,556
"considerate","+",2,3,556
"fearless","+",2,3,556
"artistic","+",2,3,556
"guilty","-",2,3,556
"sad","-",2,3,556
"boring","-",2,3,556
"rude","-",2,3,556
"rotten","-",2,3,556
"ignorant","-",2,3,556
"selfish","-",2,3,556
"ruthless","-",2,3,556
"inefficient","-",2,3,556
"irrational","-",2,3,556
"discouraged","-",2,3,556
"annoying","-",2,3,556
"dishonest","-",2,3,556
"pompous","-",2,3,556
"unproductive","-",2,3,556
"grumpy","-",2,3,556
"lethargic","-",2,3,556
"wasteful","-",2,3,556
"proficient","+",2,3,556
"dependable","+",2,3,556
"hesitant","-",2,3,556
"defensive","-",2,3,556
"suspicious","-",2,3,556
"mediocre","-",2,3,556
"indecisive","-",2,3,556
"childish","-",2,3,556
"brooding","-",2,3,556
"unreasonable","-",2,3,556
"demanding","-",2,3,556
"devious","-",2,3,556
"awkward","-",2,3,556
"insincere","-",2,3,556
"responsible","+",2,4,556
"capable","+",2,4,556
"consistent","+",2,4,556
"sophisticated","+",2,4,556
"reliable","+",2,4,556
"wise","+",2,4,556
"respectable","+",2,4,556
"competent","+",2,4,556
"decisive","+",2,4,556
"polite","+",2,4,556
"jolly","+",2,4,556
"humble","+",2,4,556
"outgoing","+",2,4,556
"sincere","+",2,4,556
"humorous","+",2,4,556
"dignified","+",2,4,556
"courageous","+",2,4,556
"knowledgeable","+",2,4,556
"courteous","+",2,4,556
"attentive","+",2,4,556
"adaptable","+",2,4,556
"joyful","+",2,4,556
"truthful","+",2,4,556
"forgiving","+",2,4,556
"trustworthy","+",2,4,556
"glorious","+",2,4,556
"daring","+",2,4,556
"terrible","-",2,4,556
"controlling","-",2,4,556
"unhappy","-",2,4,556
"dull","-",2,4,556
"hostile","-",2,4,556
"harsh","-",2,4,556
"dreadful","-",2,4,556
"cruel","-",2,4,556
"wicked","-",2,4,556
"gloomy","-",2,4,556
"careless","-",2,4,556
"reckless","-",2,4,556
"irresponsible","-",2,4,556
"self-conscious","-",2,4,556
"dreary","-",2,4,556
"sloppy","-",2,4,556
"unfriendly","-",2,4,556
"unruly","-",2,4,556
"envious","-",2,4,556
"cowardly","-",2,4,556
"obnoxious","-",2,4,556
"intolerant","-",2,4,556
"bossy","-",2,4,556
"bad","-",2,4,556
"moody","-",2,4,556
"stupid","-",2,4,556
"good-natured","+",2,4,556
"self-disciplined","+",2,4,556
"comical","+",2,4,556
"stubborn","-",2,4,556
"combative","-",2,4,556
"fickle","-",2,4,556
"disdainful","-",2,4,556
