"word","valence_condition","set","run","seed"
"friendly","+",1,1,250
"outstanding","+",1,1,250
"understanding","+",1,1,250
"devoted","+",1,1,250
"moral","+",1,1,250
"composed","+",1,1,250
"gentle","+",1,1,250
"lucky","+",1,1,250
"mighty","+",1,1,250
"entertaining","+",1,1,250
"lively","+",1,1,250
"admired","+",1,1,250
"terrific","+",1,1,250
"loyal","+",1,1,250
"brave","+",1,1,250
"elegant","+",1,1,250
"ambitious","+",1,1,250
"versatile","+",1,1,250
"sympathetic","+",1,1,250
"optimistic","+",1,1,250
"charming","+",1,1,250
"respectful","+",1,1,250
"trusting","+",1,1,250
"adventurous","+",1,1,250
"purposeful","+",1,1,250
"playful","+",1,1,250
"compassionate","+",1,1,250
"humane","+",1,1,250
"down-to-earth","+",1,1,250
"agreeable","+",1,1,250
"aggressive","-",1,1,250
"bitter","-",1,1,250
"lonely","-",1,1,250
"awful","-",1,1,250
"detached","-",1,1,250
"nasty","-",1,1,250
"unpleasant","-",1,1,250
"rejected","-",1,1,250
"immoral","-",1,1,250
"vicious","-",1,1,250
"cynical","-",1,1,250
"timid","-",1,1,250
"insecure","-",1,1,250
"feeble","-",1,1,250
"unpopular","-",1,1,250
"unwise","-",1,1,250
"troublesome","-",1,1,250
"hopeless","-",1,1,250
"jealous","-",1,1,250
"stern","-",1,1,250
"unhealthy","-",1,1,250
"unsophisticated","-",1,1,250
"compulsive","-",1,1,250
"untrustworthy","-",1,1,250
"disobedient","-",1,1,250
"unsympathetic","-",1,1,250
"manipulative","-",1,1,250
"deceptive","-",1,1,250
"prejudiced","-",1,1,250
"conceited","-",1,1,250
"fun","+",1,2,250
"happy","+",1,2,250
"nice","+",1,2,250
"generous","+",1,2,250
"brilliant","+",1,2,250
"honest","+",1,2,250
"strong","+",1,2,250
"efficient","+",1,2,250
"organized","+",1,2,250
"clever","+",1,2,250
"helpful","+",1,2,250
"warm","+",1,2,250
"intelligent","+",1,2,250
"skilled","+",1,2,250
"cooperative","+",1,2,250
"amusing","+",1,2,250
"charitable","+",1,2,250
"expressive","+",1,2,250
"enthusiastic","+",1,2,250
"admirable","+",1,2,250
"self-confident","+",1,2,250
"gracious","+",1,2,250
"inventive","+",1,2,250
"selfless","+",1,2,250
"witty","+",1,2,250
"observant","+",1,2,250
"diligent","+",1,2,250
"communicative","+",1,2,250
"affectionate","+",1,2,250
"sociable","+",1,2,250
"mean","-",1,2,250
"foolish","-",1,2,250
"shallow","-",1,2,250
"weak","-",1,2,250
"withdrawn","-",1,2,250
"disturbed","-",1,2,250
"troubled","-",1,2,250
"toxic","-",1,2,250
"inadequate","-",1,2,250
"offensive","-",1,2,250
"violent","-",1,2,250
"useless","-",1,2,250
"helpless","-",1,2,250
"greedy","-",1,2,250
"lazy","-",1,2,250
"unreliable","-",1,2,250
"insensitive","-",1,2,250
"fearful","-",1,2,250
"superficial","-",1,2,250
"messy","-",1,2,250
"thoughtless","-",1,2,250
"unkind","-",1,2,250
"uninspiring","-",1,2,250
"disagreeable","-",1,2,250
"resentful","-",1,2,250
"unethical","-",1,2,250
"absent-minded","-",1,2,250
"self-critical","-",1,2,250
"uninteresting","-",1,2,250
"materialistic","-",1,2,250
"responsible","+",2,3,250
"positive","+",2,3,250
"healthy","+",2,3,250
"consistent","+",2,3,250
"modest","+",2,3,250
"reliable","+",2,3,250
"mature","+",2,3,250
"productive","+",2,3,250
"respectable","+",2,3,250
"competent","+",2,3,250
"polite","+",2,3,250
"innovative","+",2,3,250
"jolly","+",2,3,250
"humble","+",2,3,250
"hopeful","+",2,3,250
"outgoing","+",2,3,250
"sincere","+",2,3,250
"humorous","+",2,3,250
"dignified","+",2,3,250
"courageous","+",2,3,250
"knowledgeable","+",2,3,250
"courteous","+",2,3,250
"adaptable","+",2,3,250
"truthful","+",2,3,250
"fearless","+",2,3,250
"trustworthy","+",2,3,250
"artistic","+",2,3,250
"terrible","-",2,3,250
"guilty","-",2,3,250
"sad","-",2,3,250
"unhappy","-",2,3,250
"dull","-",2,3,250
"hostile","-",2,3,250
"harsh","-",2,3,250
"cruel","-",2,3,250
"ignorant","-",2,3,250
"ruthless","-",2,3,250
"inefficient","-",2,3,250
"careless","-",2,3,250
"reckless","-",2,3,250
"irrational","-",2,3,250
"discouraged","-",2,3,250
"irresponsible","-",2,3,250
"pompous","-",2,3,250
"sloppy","-",2,3,250
"unfriendly","-",2,3,250
"unruly","-",2,3,250
"envious","-",2,3,250
"bossy","-",2,3,250
"proficient","+",2,3,250
"self-disciplined","+",2,3,250
"comical","+",2,3,250
"stubborn","-",2,3,250
"combative","-",2,3,250
"suspicious","-",2,3,250
"mediocre","-",2,3,250
"indecisive","-",2,3,250
"unreasonable","-",2,3,250
"disdainful","-",2,3,250
"insincere","-",2,3,250
"kind","+",2,4,250
"patient","+",2,4,250
"active","+",2,4,250
"bright","+",2,4,250
"capable","+",2,4,250
"sweet","+",2,4,250
"confident","+",2,4,250
"calm","+",2,4,250
"grateful","+",2,4,250
"pleasant","+",2,4,250
"creative","+",2,4,250
"sophisticated","+",2,4,250
"wise","+",2,4,250
"smart","+",2,4,250
"decisive","+",2,4,250
"cheerful","+",2,4,250
"ethical","+",2,4,250
"thorough","+",2,4,250
"talented","+",2,4,250
"energetic","+",2,4,250
"thoughtful","+",2,4,250
"perceptive","+",2,4,250
"attentive","+",2,4,250
"joyful","+",2,4,250
"considerate","+",2,4,250
"forgiving","+",2,4,250
"glorious","+",2,4,250
"daring","+",2,4,250
"controlling","-",2,4,250
"boring","-",2,4,250
"dreadful","-",2,4,250
"wicked","-",2,4,250
"rude","-",2,4,250
"rotten","-",2,4,250
"selfish","-",2,4,250
"gloomy","-",2,4,250
"annoying","-",2,4,250
"dishonest","-",2,4,250
"self-conscious","-",2,4,250
"dreary","-",2,4,250
"unproductive","-",2,4,250
"cowardly","-",2,4,250
"obnoxious","-",2,4,250
"intolerant","-",2,4,250
"grumpy","-",2,4,250
"lethargic","-",2,4,250
"bad","-",2,4,250
"moody","-",2,4,250
"wasteful","-",2,4,250
"stupid","-",2,4,250
"good-natured","+",2,4,250
"dependable","+",2,4,250
"hesitant","-",2,4,250
"defensive","-",2,4,250
"childish","-",2,4,250
"brooding","-",2,4,250
"fickle","-",2,4,250
"demanding","-",2,4,250
"devious","-",2,4,250
"awkward","-",2,4,250
